ms,cci,title,fund,category_of_region,year,dimension_type,dimension_code,dimension_title,eu_cofinancing_rate,total_eligible_costs_selected_fin_data,eu_eligible_costs_selected_fin_data_notional,total_elig_expenditure_declared_fin_data,eu_elig_expenditure_declared_fin_data_notional,reference_date
IT,2014IT16RFOP021,Veneto - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,40000000,20000000,3750781.69,1875390.85,2019-12-31T00:00:00.000
FR,2014FR16M2OP004,Corse - ERDF/ESF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,56.47058824,17211051.76,9638188.99,5479939.2,3068765.95,2020-12-31T00:00:00.000
ES,2014ES16RFOP015,Galicia  - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,190475430.94,152380344.75,99737139.97,79789711.98,2020-12-31T00:00:00.000
IT,2014IT16RFOP014,Piemonte - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,61174531.68,30587265.84,30358589.15,15179294.58,2022-12-31T00:00:00.000
EE,2014EE16M3OP001,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999952,95658393.71,81309634.65,83145155.63,70673382.29,2021-12-31T00:00:00.000
GR,2014GR16M2OP006,Western Macedonia - ERDF/ESF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999421,0,0,0,0,2017-12-31T00:00:00.000
PT,2014PT16M2OP001,Norte - ERDF/ESF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999987,21235076.76,18049815.25,2071486.56,1760763.58,2017-12-31T00:00:00.000
GR,2014GR16M2OP007,Continental Greece - ERDF/ESF,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,0,0,0,0,2018-12-31T00:00:00.000
EE,2014EE16M3OP001,Cohesion Policy Funding - EE - ERDF/ESF/CF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999945,67320693.44,57222589.42,44649516.5,37952089.03,2017-12-31T00:00:00.000
FR,2014FR16M0OP004,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,40,3525939.08,1410375.63,1361528.37,544611.35,2017-12-31T00:00:00.000
UK,2014UK16RFOP004,Scotland - ERDF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,55.00000055,52753500,29014425,0,0,2016-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999931,14464984.68,11571987.74,8732704.6,6986163.68,2018-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,71175284.1,56940227.28,28755611.57,23004489.26,2022-12-31T00:00:00.000
FR,2014FR16M2OP009,Poitou-Charentes - ERDF/ESF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999913,11924215.6,7154529.36,1563455.35,938073.21,2017-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,4358920.42,3487136.34,92611.9,74089.52,2017-12-31T00:00:00.000
ES,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99994795,3108900.29,2487120.23,2135564.31,1708451.45,2022-12-31T00:00:00.000
FR,2014FR16RFOP006,Alsace - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,30.00000019,81087688.12,24326306.44,65907358.79,19772207.64,2020-12-31T00:00:00.000
PL,2014PL16M2OP009,Podkarpackie Voivodeship - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999948,65857275.41,55978684.1,36671875.94,31171094.55,2019-12-31T00:00:00.000
ES,2014ES16RFOP019,Murcia  - ERDF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999892,42206766.55,33765413.24,18476584.81,14781267.85,2021-12-31T00:00:00.000
PL,2014PL16M2OP006,Małopolskie Voivodeship - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999937,156168109.08,132742892.72,120403813.64,102343241.59,2022-12-31T00:00:00.000
PT,2014PT16M2OP007,Algarve - ERDF/ESF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,11021727.52,8817382.02,819519.41,655615.53,2017-12-31T00:00:00.000
IT,2014IT16M2OP006,Calabria  - ERDF/ESF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,75,63152674.13,47364505.6,18514795.97,13886096.98,2017-12-31T00:00:00.000
FR,2014FR16M0OP013,Provence-Alpes-Côte d'Azur - ERDF/ESF/YEI,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,82767579.48,41383789.74,26045780.72,13022890.36,2018-12-31T00:00:00.000
IT,2014IT16RFOP004,Abruzzo - ERDF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,19800298,9900149,0,0,2017-12-31T00:00:00.000
IT,2014IT16RFOP017,Toscana - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,43597092,21798546,13695091.66,6847545.83,2018-12-31T00:00:00.000
ES,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,80.5497526,300730823.11,243591966.72,8261574.76,6691875.56,2017-12-31T00:00:00.000
PL,2014PL16M2OP002,Kujawsko-Pomorskie Voivodeship - ERDF/ESF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999993,62109465.07,52793045.31,30310177.54,25763650.91,2021-12-31T00:00:00.000
IT,2014IT16RFOP019,Umbria - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,25657352.1,12828676.05,11405858.34,5702929.17,2020-12-31T00:00:00.000
FR,2014FR16M0OP008,Picardie - ERDF/ESF/YEI,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,25.58139535,121781087.59,31663082.77,84685285.54,22018174.24,2020-12-31T00:00:00.000
PL,2014PL16M2OP014,Warmińsko-Mazurskie Voivodeship - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999989,61826066.59,52552156.6,7400333.44,6290283.42,2018-12-31T00:00:00.000
SE,2014SE16RFOP007,Central Norrland - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2022-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999837,37103475.79,29682780.63,14991337.26,11993069.81,2022-12-31T00:00:00.000
FR,2014FR16M0OP012,Nord-Pas de Calais - ERDF/ESF/YEI,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.83333379,55871436,33522861.6,11744687,7046812.2,2019-12-31T00:00:00.000
IT,2014IT16RFOP022,Basilicata - ERDF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,75,52508062,39381046.5,30355416.07,22766562.05,2021-12-31T00:00:00.000
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - CZ - ERDF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,52.52756819,76021285.12,40291281.11,0,0,2016-12-31T00:00:00.000
FR,2014FR16M0OP008,Picardie - ERDF/ESF/YEI,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,25.58139535,90649706.76,23568923.76,31249595.4,8124894.8,2018-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999928,54263319.43,43410655.54,20535591.19,16428472.95,2019-12-31T00:00:00.000
ES,2014ES16RFOP021,País Vasco  - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20091711.6,10045855.8,10779985.57,5389992.79,2019-12-31T00:00:00.000
SI,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999811,13645677.47,10916541.98,8904292.97,7123434.38,2020-12-31T00:00:00.000
ES,2014ES16RFOP007,Canarias - ERDF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999981,64627421.58,54933308.34,9844087.15,8367474.08,2019-12-31T00:00:00.000
ES,2014ES16RFOP017,Madrid  - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,6436932.66,3218466.33,0,0,2017-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
PL,2014PL16M2OP009,Podkarpackie Voivodeship - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999948,65153262.6,55380273.21,26599689.14,22609735.77,2018-12-31T00:00:00.000
LV,2014LV16MAOP001,Growth and Employment - LV - ERDF/ESF/CF/YEI,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999998,174747104.37,148535038.71,47571201.17,40435520.99,2019-12-31T00:00:00.000
ES,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,56.86271367,539028007.3,307245964.16,172301638.77,98211934.1,2019-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999985,491754505.58,417991329.74,38904374.6,33068718.41,2017-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999438,7976764,4786058.4,7312949,4387769.4,2022-12-31T00:00:00.000
FR,2014FR16M0OP015,Lorraine et Vosges - ERDF/ESF/YEI,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.9999997,10682774.22,6409664.53,3235036.96,1941022.18,2018-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,10409838,5204919,6931182.89,3465591.45,2022-12-31T00:00:00.000
ES,2014ES16RFOP004,Aragón  - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,137762228.66,68881114.33,85296851.92,42648425.96,2022-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
PL,2014PL16M2OP006,Małopolskie Voivodeship - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999967,156633824.97,133138751.22,52740152.8,44829129.88,2019-12-31T00:00:00.000
FR,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,30.52631579,2089138,647632.78,0,0,2016-12-31T00:00:00.000
FR,2014FR16M0OP011,Martinique - ERDF/ESF/YEI,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,33.4328237,127760539.33,42160977.98,15492252.83,5112443.43,2022-12-31T00:00:00.000
ES,2014ES16RFOP002,Multi-regional Spain - ERDF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,28653992.82,22923194.26,4471738.4,3577390.72,2018-12-31T00:00:00.000
IE,2014IE16RFOP002,Southern & Eastern Regional Programme - IE - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2020-12-31T00:00:00.000
FR,2014FR16RFOP007,Réunion – ERDF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,80.0000005,45306467.6,36245174.08,25606233.9,20484987.12,2022-12-31T00:00:00.000
SE,2014SE16RFOP008,Upper Norrland - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2020-12-31T00:00:00.000
ES,2014ES16RFOP013,Valenciana - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
PT,2014PT16M2OP003,Alentejo - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99998695,8352027.48,7099223.36,7701680.57,6546428.48,2020-12-31T00:00:00.000
GR,2014GR16M2OP002,Central Macedonia - ERDF/ESF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,13567816.23,10854252.98,6404148.29,5123318.63,2021-12-31T00:00:00.000
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - CZ - ERDF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,56.93694629,756910937.94,431439234.63,346588443.5,197555412.8,2022-12-31T00:00:00.000
FR,2014FR16M0OP003,Centre - ERDF/ESF/YEI,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,73320869.5,36660434.75,70221182.86,35110591.43,2021-12-31T00:00:00.000
IT,2014IT16M2OP004,Metrolitan Cities - IT - ERDF/ESF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,57855483.65,28927741.83,40642147.52,20321073.76,2021-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99998638,6592962.56,3955777.54,3697998.43,2218799.06,2019-12-31T00:00:00.000
IT,2014IT16RFOP010,Lazio - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,76048318.4,38024159.2,44195570.92,22097785.46,2021-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999996,1350818421.61,1148195658.37,788268724.07,670028415.46,2021-12-31T00:00:00.000
ES,2014ES16RFOP008,Cantabria  - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,32617970,16308985,32273035.39,16136517.7,2021-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999985,352519083.24,299641220.75,5323445.57,4524928.73,2016-12-31T00:00:00.000
CY,2014CY16M1OP001,Competitiveness and sustainable development - CY - ERDF/CF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999875,61210921.68,52029283.43,11797320.09,10027722.08,2018-12-31T00:00:00.000
MT,2014MT16M1OP001,Fostering a competitive and sustainable economy - MT - ERDF/CF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,38500000,30800000,5118779,4095023.2,2017-12-31T00:00:00.000
ES,2014ES16RFOP020,Navarra  - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,0,0,0,0,2018-12-31T00:00:00.000
ES,2014ES16RFOP001,Smart Growth (merged 2017 with Multi-regional Spain) - ES - ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,,,,,,
ES,2014ES16RFOP016,La Rioja  - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
HU,2014HU16M2OP002,Competitive Central-Hungary  - ERDF/ESF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,9566585.34,4783292.67,0,0,2016-12-31T00:00:00.000
PT,2014PT16M2OP003,Alentejo - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999683,7143579.94,6072042.95,3257481.68,2768859.43,2018-12-31T00:00:00.000
RO,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999989,928233467.06,788998447,257490176.6,218866650.11,2021-12-31T00:00:00.000
PL,2014PL16M2OP007,Mazowieckie Voivodeship - ERDF/ESF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.9999999,136856910.08,109485528.06,22366537.6,17893230.08,2017-12-31T00:00:00.000
SE,2014SE16RFOP001,South Sweden - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,5599667,2799833.5,832247,416123.5,2017-12-31T00:00:00.000
PL,2014PL16M2OP003,Lubelskie Voivodeship - ERDF/ESF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999927,92574676.92,78688475.38,3367681.22,2862529.04,2018-12-31T00:00:00.000
RO,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999989,979898365.02,832913610.27,441757041.5,375493485.28,2022-12-31T00:00:00.000
FR,2014FR16M2OP012,Mayotte - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,56.93232811,5375544.14,3064060.16,2860499.28,1630484.59,2022-12-31T00:00:00.000
SE,2014SE16RFOP001,South Sweden - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,3562831,1781415.5,30741,15370.5,2016-12-31T00:00:00.000
SE,2014SE16RFOP007,Central Norrland - ERDF,ERDF,Outermost or Northern Sparsely Populated,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,59943373,29971686.5,34567646,17283823,2020-12-31T00:00:00.000
IT,2014IT16RFOP014,Piemonte - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,60327654,30163827,7035356,3517678,2018-12-31T00:00:00.000
FR,2014FR16M0OP002,Auvergne - ERDF/ESF/YEI,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,60,56543616.81,33926170.09,43747193.88,26248316.33,2018-12-31T00:00:00.000
ES,2014ES16RFOP012,Ceuta  - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,0,0,0,0,2017-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,12090401,9672320.8,3553597.71,2842878.17,2019-12-31T00:00:00.000
FR,2014FR16M0OP001,Aquitaine - ERDF/ESF/YEI,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,30.91396176,51057009.56,15827672.96,31383537.13,9728896.51,2019-12-31T00:00:00.000
IT,2014IT16M2OP002,Puglia  - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999948,134224904.23,107379923.38,91267922.1,73014337.68,2022-12-31T00:00:00.000
IT,2014IT16RFOP014,Piemonte - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
HU,2014HU16M0OP001,Economic Development and Innovation Programme - HU - ERDF/ESF/YEI,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999985,392617839.31,333725163.41,125895965.27,107011570.48,2020-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999986,187484736.7,149987789.36,56107368,44885894.4,2020-12-31T00:00:00.000
FR,2014FR16RFOP006,Alsace - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,30.00000019,15756859.57,4727057.87,1730421.76,519126.53,2017-12-31T00:00:00.000
IT,2014IT16RFOP018,Trento - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,6611879.85,3305939.93,1867879.99,933940,2020-12-31T00:00:00.000
ES,2014ES16RFOP010,Castilla-La Mancha  - ERDF,ERDF,Transition,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999857,48654278.38,38923422.7,26146689.68,20917351.74,2022-12-31T00:00:00.000
PL,2014PL16M2OP012,Śląskie Voivodeship - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999924,116465025.11,98995271.34,66867229.88,56837145.4,2022-12-31T00:00:00.000
FR,2014FR16M2OP009,Poitou-Charentes - ERDF/ESF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999578,23677303.31,14206381.99,14045986.27,8427591.76,2020-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999888,32746436,19647861.6,14618311,8770986.6,2021-12-31T00:00:00.000
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - CZ - ERDF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.57156738,440588112.36,264352867.42,260540059.21,156324035.53,2019-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,75,31123755.9,23342816.93,0,0,2017-12-31T00:00:00.000
IT,2014IT16RFOP013,Marche - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
GR,2014GR16M2OP012,Attica - ERDF/ESF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999885,39435070.14,31548056.11,31263177.19,25010541.75,2021-12-31T00:00:00.000
ES,2014ES16RFOP005,Asturias  - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999464,8750257.08,7000205.66,4534950.41,3627960.33,2020-12-31T00:00:00.000
PL,2014PL16M2OP014,Warmińsko-Mazurskie Voivodeship - ERDF/ESF,ERDF,Less developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999989,87085995.64,74023096.29,53640338.59,45594287.8,2021-12-31T00:00:00.000
IT,2014IT16RFOP022,Basilicata - ERDF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,22700862,11350431,622314,311157,2016-12-31T00:00:00.000
UK,2014UK16RFOP001,England - ERDF,ERDF,More developed,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,126547917,63273958.5,78660067,39330033.5,2021-12-31T00:00:00.000
FR,2014FR16M0OP009,Guadeloupe - ERDF/ESF/YEI,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,45.0000003,30125648.49,13556541.82,7804018.37,3511808.27,2019-12-31T00:00:00.000
FR,2014FR16M0OP009,Guadeloupe - ERDF/ESF/YEI,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,45.0000003,28933504.86,13020077.19,7237675.69,3256954.06,2018-12-31T00:00:00.000
IT,2014IT16M2OP001,Molise  - ERDF/ESF,ERDF,Transition,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,60,8797603,5278561.8,1324055.06,794433.04,2018-12-31T00:00:00.000
LT,2014LT16MAOP001,EU Structural Funds Investments - LT - ERDF/ESF/CF/YEI,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999962,209777062.22,178310502.89,104974112.23,89227995.4,2020-12-31T00:00:00.000
GR,2014GR16M2OP002,Central Macedonia - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999823,14216729.15,11373383.32,0,0,2019-12-31T00:00:00.000
FR,2014FR16M0OP002,Auvergne - ERDF/ESF/YEI,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99999908,70875056.23,42525033.74,45759482.34,27455689.4,2019-12-31T00:00:00.000
IT,2014IT16RFOP011,Liguria - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,25720465.66,12860232.83,18449258.66,9224629.33,2022-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,2090062.44,1045031.22,0,0,2017-12-31T00:00:00.000
HR,2014HR16M1OP001,Competitiveness and Cohesion  - HR - ERDF/CF,ERDF,Less developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999988,7128560.54,6059276.46,426645.88,362649,2017-12-31T00:00:00.000
FR,2014FR16M2OP003,Bretagne - ERDF/ESF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,36.10923877,287358101.54,103448916.55,45363362.81,16330810.61,2018-12-31T00:00:00.000
ES,2014ES16RFOP021,País Vasco  - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,15473096,7736548,2711082.04,1355541.02,2017-12-31T00:00:00.000
FR,2014FR16M2OP008,Pays de la Loire - ERDF/ESF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,37.04296007,8643245.73,3198000.92,1870041.14,691915.22,2017-12-31T00:00:00.000
IE,2014IE16RFOP002,Southern & Eastern Regional Programme - IE - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,,,,,2016-12-31T00:00:00.000
FR,2014FR16M2OP011,Guyane - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,45.76991487,,,,,2016-12-31T00:00:00.000
SE,2014SE16RFOP008,Upper Norrland - ERDF,ERDF,Outermost or Northern Sparsely Populated,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,27621239,13810619.5,15087228,7543614,2020-12-31T00:00:00.000
PL,2014PL16RFOP002,Digital Poland - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999977,6202814.61,4962251.69,0,0,2016-12-31T00:00:00.000
SE,2014SE16RFOP007,Central Norrland - ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,1228615,614307.5,0,0,2016-12-31T00:00:00.000
HU,2014HU16M2OP002,Competitive Central-Hungary  - ERDF/ESF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20290376.28,10145188.14,517901.04,258950.52,2017-12-31T00:00:00.000
