ms,cci,title,fund,category_of_region,year,dimension_type,dimension_code,dimension_title,eu_cofinancing_rate,total_eligible_costs_selected_fin_data,eu_eligible_costs_selected_fin_data_notional,total_elig_expenditure_declared_fin_data,eu_elig_expenditure_declared_fin_data_notional,reference_date
GR,2014GR16M2OP002,Central Macedonia - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,13276755.14,10621404.11,9568889.24,7655111.39,2022-12-31T00:00:00.000
IT,2014IT16RFOP007,Campania - ERDF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,75.00000038,348811692,261608769,147138916.13,110354187.1,2022-12-31T00:00:00.000
PT,2014PT16M2OP002,Centro - ERDF/ESF,ERDF,Less developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999764,2080000,1768000,103220.81,87737.69,2016-12-31T00:00:00.000
ES,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99994795,2213077.45,1770461.96,150620.16,120496.13,2020-12-31T00:00:00.000
PL,2014PL16M2OP004,Lubuskie Voivodeship - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999845,41339983.49,35138985.97,14209890.9,12078407.27,2020-12-31T00:00:00.000
ES,2014ES16RFOP014,Extremadura  - ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,141852536.24,113482028.99,44121250.73,35297000.58,2020-12-31T00:00:00.000
IT,2014IT16RFOP012,Lombardia - ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,20000000,10000000,0,0,2017-12-31T00:00:00.000
FR,2014FR16M2OP011,Guyane - ERDF/ESF,ERDF,Less developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999816,47148111,40075894.35,12080445,10268378.25,2022-12-31T00:00:00.000
RO,2014RO16RFOP001,Competitiveness Programme - RO - ERDF,ERDF,More developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999947,55060155.8,44048124.64,13149093.59,10519274.87,2018-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.9999996,190208922.76,152167138.21,99838293.37,79870634.7,2020-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,15022719.53,7511359.77,4495753.99,2247877,2020-12-31T00:00:00.000
HR,2014HR16M1OP001,Competitiveness and Cohesion  - HR - ERDF/CF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.9999988,30959372.09,26315466.28,886031.19,753126.51,2018-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,59.99998936,10690792.18,6414475.31,5835619.29,3501371.57,2020-12-31T00:00:00.000
FR,2014FR16M0OP004,Champagne-Ardenne - ERDF/ESF/YEI,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,40,1198118,479247.2,0,0,2016-12-31T00:00:00.000
PL,2014PL16M2OP007,Mazowieckie Voivodeship - ERDF/ESF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.9999999,92705390.68,74164312.54,2401719.78,1921375.82,2016-12-31T00:00:00.000
FR,2014FR16M0OP006,Languedoc-Roussillon - ERDF/ESF/YEI,ERDF,Transition,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,60,9540533.67,5724320.2,6785929.2,4071557.52,2019-12-31T00:00:00.000
GR,2014GR16M2OP006,Western Macedonia - ERDF/ESF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,0,0,0,0,2021-12-31T00:00:00.000
PL,2014PL16M2OP001,Dolnośląskie Voivodeship - ERDF/ESF,ERDF,Less developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999911,61421459.87,52208240.89,48045681.33,40838829.13,2020-12-31T00:00:00.000
GR,2014GR16M2OP007,Continental Greece - ERDF/ESF,ERDF,Transition,2021,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,5085940.76,2542970.38,0,0,2021-12-31T00:00:00.000
IE,2014IE16RFOP001,Border Midland and Western Regional - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,,0,,0,,2020-12-31T00:00:00.000
ES,2014ES16RFOP016,La Rioja  - ERDF,ERDF,More developed,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,5240242.89,2620121.45,2534511.88,1267255.94,2020-12-31T00:00:00.000
UK,2014UK16RFOP004,Scotland - ERDF,ERDF,Transition,2020,Thematic Objective,02,Enhancing access to and use and quality of information ...,55.00000088,23474178.4,12910798.12,6650784.12,3657931.27,2020-12-31T00:00:00.000
IT,2014IT05M2OP002,Governance and Institutional Capacity - IT - ESF/ERDF,ERDF,More developed,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,2659250,1329625,0,0,2016-12-31T00:00:00.000
IT,2014IT16RFOP013,Marche - ERDF,ERDF,More developed,2022,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,16162257.16,8081128.58,12924456.69,6462228.35,2022-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999979,47646229.8,38116983.84,28764665.75,23011732.6,2018-12-31T00:00:00.000
PL,2014PL16M2OP003,Lubelskie Voivodeship - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,84.99999927,92124946.8,78306204.78,32227744.33,27393582.68,2019-12-31T00:00:00.000
MT,2014MT16M1OP001,Fostering a competitive and sustainable economy - MT - ERDF/CF,ERDF,Transition,2016,Thematic Objective,02,Enhancing access to and use and quality of information ...,80,,,,,2016-12-31T00:00:00.000
ES,2014ES16RFOP003,Andalucía  - ERDF,ERDF,Transition,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999989,42706295.9,34165036.72,5575881.45,4460705.16,2017-12-31T00:00:00.000
SI,2014SI16MAOP001,EU Cohesion Policy - SI - ERDF/ESF/CF/YEI,ERDF,Less developed,2018,Thematic Objective,02,Enhancing access to and use and quality of information ...,79.99999881,13616875,10893500,1257501.79,1006001.43,2018-12-31T00:00:00.000
FR,2014FR16M2OP012,Mayotte - ERDF/ESF,ERDF,Less developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,56.93233114,3951533.04,2252373.83,702278.7,400298.86,2019-12-31T00:00:00.000
GR,2014GR05M2OP001,Reform of the Public Sector - GR - ESF/ERDF,ERDF,More developed,2017,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,1763139.51,881569.76,891520.35,445760.18,2017-12-31T00:00:00.000
ES,2014ES16RFOP013,Valenciana - ERDF,ERDF,More developed,2019,Thematic Objective,02,Enhancing access to and use and quality of information ...,50,223208000,111604000,99343308.42,49671654.21,2019-12-31T00:00:00.000
