PublicationDate,countryName,reportingYear,featureType,unit,featureValue
2025/12/15,Croatia,2022,OtherSolidFuels,TJ,576.40955
2025/12/15,Estonia,2016,LiquidFuels,TJ,669.32
2025/12/15,Malta,2018,Coal,TJ,0
2025/12/15,Malta,2016,DUST,tonnes,75.7
2025/12/15,Luxembourg,2019,LiquidFuels,TJ,0.0296
2025/12/15,Malta,2021,OtherGases,TJ,0
2025/12/15,Luxembourg,2024,Biomass,TJ,0
2025/12/15,Luxembourg,2022,Biomass,TJ,0
2025/12/15,Luxembourg,2022,LiquidFuels,TJ,0
2025/12/15,Luxembourg,2021,SO2,tonnes,0
2025/12/15,Luxembourg,2016,Coal,TJ,0
2025/12/15,Luxembourg,2019,Peat,TJ,0
2025/12/15,Luxembourg,2016,Biomass,TJ,0
2025/12/15,Spain,2022,NOX,tonnes,36773.352000000006
2025/12/15,Germany,2021,OtherGases,TJ,399890.528
2025/12/15,Bulgaria,2023,DUST,tonnes,251.03
2025/12/15,Greece,2024,SO2,tonnes,14666.090099999998
2025/12/15,Romania,2023,SO2,tonnes,9431.571060999999
2025/12/15,Croatia,2019,SO2,tonnes,1956.9113000000002
2025/12/15,Netherlands,2019,Peat,TJ,0
2025/12/15,Denmark,2019,LiquidFuels,TJ,3329.3044099999997
2025/12/15,Portugal,2024,NaturalGas,TJ,41479.8140384
2025/12/15,Denmark,2023,NOX,tonnes,3877.925385
2025/12/15,Czechia,2019,NaturalGas,TJ,40151.886224
2025/12/15,Netherlands,2024,OtherSolidFuels,TJ,8361.513856000001
2025/12/15,Sweden,2018,Coal,TJ,6256.6
2025/12/15,Greece,2024,NOX,tonnes,35755.27
2025/12/15,Greece,2016,Installed capacity,MW,35547.375
2025/12/15,Serbia,2019,Installed capacity,MW,19325.75
2025/12/15,Poland,2024,SO2,tonnes,68656.890151408
2025/12/15,Austria,2022,Biomass,TJ,9279.01496
2025/12/15,Hungary,2024,NaturalGas,TJ,49328.51
2025/12/15,Belgium,2016,LiquidFuels,TJ,2919.66
2025/12/15,Italy,2016,Lignite,TJ,0
2025/12/15,Belgium,2019,NaturalGas,TJ,180731.308453
2025/12/15,Spain,2021,Peat,TJ,0
2025/12/15,Romania,2016,DUST,tonnes,4171.483
2025/12/15,Slovenia,2023,Installed capacity,MW,6002.5
2025/12/15,Croatia,2024,SO2,tonnes,264.12
2025/12/15,Sweden,2019,NaturalGas,TJ,5376.74
2025/12/15,Portugal,2019,OtherGases,TJ,17284.319589299997
2025/12/15,Greece,2017,NaturalGas,TJ,117203.79000000001
2025/12/15,Luxembourg,2023,Coal,TJ,0
2025/12/15,France,2017,OtherGases,TJ,120484
2025/12/15,Italy,2016,Coal,TJ,330180.67
2025/12/15,Denmark,2022,Peat,TJ,0
2025/12/15,Czechia,2018,DUST,tonnes,2572.4902739999998
2025/12/15,Bulgaria,2021,NOX,tonnes,15802.001
2025/12/15,Lithuania,2019,SO2,tonnes,8089.3339
2025/12/15,Ireland,2022,DUST,tonnes,215.04410000000001
2025/12/15,Slovenia,2023,DUST,tonnes,94.9378
2025/12/15,Poland,2023,Biomass,TJ,70903.69702000002
2025/12/15,Latvia,2020,OtherGases,TJ,0
2025/12/15,Germany,2019,Peat,TJ,0
2025/12/15,Romania,2018,Biomass,TJ,2334.8590000000004
2025/12/15,Greece,2017,Lignite,TJ,193096
2025/12/15,Latvia,2021,OtherSolidFuels,TJ,0
2025/12/15,Finland,2016,NOX,tonnes,24795.579999999994
2025/12/15,Bulgaria,2018,Installed capacity,MW,22408
2025/12/15,Portugal,2021,NOX,tonnes,10082.01
2025/12/15,Ireland,2018,SO2,tonnes,2801.98124
2025/12/15,Cyprus,2018,Coal,TJ,0
2025/12/15,Slovenia,2017,LiquidFuels,TJ,138.79
2025/12/15,Ireland,2024,OtherGases,TJ,0.32
2025/12/15,Romania,2021,Biomass,TJ,4926.527
2025/12/15,Sweden,2024,LiquidFuels,TJ,5907.23
2025/12/15,Portugal,2018,Peat,TJ,0
2025/12/15,Ireland,2021,Peat,TJ,2783.29
2025/12/15,United Kingdom,2018,OtherGases,TJ,135764.43899999998
2025/12/15,Spain,2022,Biomass,TJ,16357.922074
2025/12/15,France,2018,OtherSolidFuels,TJ,4000.110238
2025/12/15,Finland,2016,Peat,TJ,42232.47
2025/12/15,Finland,2018,OtherSolidFuels,TJ,1131.1
2025/12/15,Belgium,2021,Biomass,TJ,17507.41044
2025/12/15,Ireland,2021,Installed capacity,MW,14528.84
2025/12/15,Estonia,2020,Installed capacity,MW,9063.003999999999
2025/12/15,Portugal,2021,Peat,TJ,0
2025/12/15,Belgium,2017,OtherGases,TJ,63705.060000000005
2025/12/15,Belgium,2024,LiquidFuels,TJ,1385.8756602
2025/12/15,United Kingdom,2017,LiquidFuels,TJ,17752.33
2025/12/15,Cyprus,2018,NaturalGas,TJ,0
2025/12/15,Spain,2023,Coal,TJ,35950.844499
2025/12/15,Denmark,2022,Lignite,TJ,0
2025/12/15,Croatia,2020,NaturalGas,TJ,49143.610120000005
2025/12/15,Poland,2019,DUST,tonnes,8927.787814004
2025/12/15,Finland,2024,LiquidFuels,TJ,5162.4736
2025/12/15,Lithuania,2016,Lignite,TJ,0
2025/12/15,France,2018,Peat,TJ,0
2025/12/15,Sweden,2022,NaturalGas,TJ,1536.5
2025/12/15,Greece,2017,Coal,TJ,1
2025/12/15,Netherlands,2016,Biomass,TJ,14092.600000000002
2025/12/15,Lithuania,2019,NOX,tonnes,2896.6405
2025/12/15,Denmark,2024,DUST,tonnes,108.13152900000001
2025/12/15,Italy,2017,Biomass,TJ,28015.15
2025/12/15,Romania,2016,NaturalGas,TJ,96652.30999999997
2025/12/15,Hungary,2020,Biomass,TJ,17082.3492
2025/12/15,Ireland,2016,OtherGases,TJ,0.8799999999999999
2025/12/15,Poland,2018,Lignite,TJ,468915.8
2025/12/15,Latvia,2022,SO2,tonnes,64.503
2025/12/15,Italy,2019,DUST,tonnes,509.063443
2025/12/15,Ireland,2016,NOX,tonnes,8499.18
2025/12/15,Denmark,2018,Lignite,TJ,0
2025/12/15,Hungary,2016,Lignite,TJ,0
2025/12/15,Portugal,2023,SO2,tonnes,2103.7544
2025/12/15,Lithuania,2020,Biomass,TJ,18518
2025/12/15,Belgium,2016,Peat,TJ,0
2025/12/15,Ireland,2020,DUST,tonnes,170.906894
2025/12/15,Netherlands,2021,Biomass,TJ,67276.170321
2025/12/15,Poland,2022,NOX,tonnes,99124.0241
2025/12/15,Austria,2018,Installed capacity,MW,21420.787000000004
2025/12/15,Slovenia,2022,SO2,tonnes,880.9224999999999
2025/12/15,Cyprus,2022,NaturalGas,TJ,0
2025/12/15,Malta,2020,LiquidFuels,TJ,998
2025/12/15,France,2022,LiquidFuels,TJ,65539.834141
2025/12/15,Serbia,2024,NaturalGas,TJ,30882.62
2025/12/15,Latvia,2023,NOX,tonnes,467.566
2025/12/15,Romania,2020,OtherSolidFuels,TJ,3359.942
2025/12/15,Hungary,2022,SO2,tonnes,354.328
2025/12/15,Austria,2023,Coal,TJ,0
2025/12/15,Estonia,2021,OtherGases,TJ,11086
2025/12/15,Netherlands,2023,OtherGases,TJ,227320.539333
2025/12/15,Austria,2022,Coal,TJ,0
2025/12/15,Germany,2024,Peat,TJ,0
2025/12/15,United Kingdom,2017,Peat,TJ,0
2025/12/15,Latvia,2019,Coal,TJ,0
2025/12/15,Portugal,2022,Biomass,TJ,22139.60577143118
2025/12/15,Hungary,2016,NaturalGas,TJ,59503.1
2025/12/15,Romania,2024,Installed capacity,MW,33024.952
2025/12/15,Hungary,2019,DUST,tonnes,66.07
2025/12/15,Malta,2021,DUST,tonnes,11.73
2025/12/15,Spain,2019,Biomass,TJ,11837.904299999998
2025/12/15,Austria,2021,Peat,TJ,0
2025/12/15,Germany,2020,DUST,tonnes,1624.4740000000002
2025/12/15,Germany,2024,NOX,tonnes,89656.8494
2025/12/15,Romania,2024,NaturalGas,TJ,102899.27699999999
2025/12/15,Portugal,2016,NaturalGas,TJ,82034.52
2025/12/15,Romania,2016,Coal,TJ,22894.52
2025/12/15,Belgium,2024,Peat,TJ,0
2025/12/15,Hungary,2024,Lignite,TJ,0
2025/12/15,Czechia,2019,Lignite,TJ,401017.654731
