PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Greece,2022,3,Mineral industry,3(c)(i),Di-(2-ethyl hexyl) phthalate (DEHP),205
2025/12/15,Portugal,2012,1,Energy sector,1(c),Nitrogen oxides (NOX),23664000
2025/12/15,Poland,2021,3,Mineral industry,3(g),Ammonia (NH3),11700
2025/12/15,Belgium,2011,6,Paper and wood production and processing,6(b),Non-methane volatile organic compounds (NMVOC),898000
2025/12/15,Netherlands,2011,2,Production and processing of metals,2(e)(ii),Fluorine and inorganic compounds (as HF),5440
2025/12/15,Romania,2008,4,Chemical industry,4(b)(iv),Carbon dioxide (CO2),173000000
2025/12/15,France,2010,2,Production and processing of metals,2(d),PCDD + PCDF (dioxins + furans) (as Teq),0.000112
2025/12/15,Slovenia,2016,2,Production and processing of metals,2(d),Chromium and compounds (as Cr),111
2025/12/15,Germany,2017,,,,Chlorofluorocarbons (CFCs),112
2025/12/15,Austria,2012,4,Chemical industry,4(b),Sulphur oxides (SOX),212000
2025/12/15,Belgium,2012,3,Mineral industry,3(e),Chlorine and inorganic compounds (as HCl),57700
2025/12/15,Cyprus,2018,5,Waste and wastewater management,5(d),Methane (CH4),2135000
2025/12/15,Italy,2014,4,Chemical industry,4(a),Mercury and compounds (as Hg),25.8
2025/12/15,Sweden,2011,2,Production and processing of metals,2(b),Chromium and compounds (as Cr),1364
2025/12/15,Germany,2010,6,Paper and wood production and processing,6(b),Particulate matter (PM10),137500
2025/12/15,France,2016,6,Paper and wood production and processing,6(a),Carbon monoxide (CO),4012000
2025/12/15,Italy,2009,2,Production and processing of metals,2(b),Polycyclic aromatic hydrocarbons (PAHs),492
2025/12/15,Germany,2007,4,Chemical industry,4(b)(i),Carbon dioxide (CO2),2325000000
2025/12/15,Netherlands,2018,2,Production and processing of metals,2(b),Methane (CH4),230000
2025/12/15,United Kingdom,2014,9,Other activities,9(c),Hydrochlorofluorocarbons (HCFCs),29.2
2025/12/15,Belgium,2022,7,Intensive livestock production and aquaculture,7(a)(i),Ammonia (NH3),627368
2025/12/15,Czechia,2015,3,Mineral industry,3(c)(iii),Carbon dioxide (CO2) excluding biomass,756000000
2025/12/15,Poland,2008,2,Production and processing of metals,2(c),Carbon dioxide (CO2),4342000000
2025/12/15,France,2007,4,Chemical industry,4(a)(ii),Nitrogen oxides (NOX),2086000
2025/12/15,Italy,2007,3,Mineral industry,3(c)(i),Nitrogen oxides (NOX),10166000
2025/12/15,Italy,2021,1,Energy sector,1(c),Carbon monoxide (CO),5597542.8
2025/12/15,France,2020,2,Production and processing of metals,2(b),Particulate matter (PM10),750000
2025/12/15,Poland,2022,3,Mineral industry,3(c),Nickel and compounds (as Ni),358
2025/12/15,France,2020,3,Mineral industry,3(c)(i),Carbon dioxide (CO2),9411000000
2025/12/15,Finland,2011,7,Intensive livestock production and aquaculture,7(a)(i),Ammonia (NH3),901500
2025/12/15,Greece,2012,2,Production and processing of metals,2(e),Nitrogen oxides (NOX),842000
2025/12/15,United Kingdom,2007,5,Waste and wastewater management,5(c),Ammonia (NH3),18300
2025/12/15,United Kingdom,2018,3,Mineral industry,3(c),Sulphur oxides (SOX),3699000
2025/12/15,Germany,2012,2,Production and processing of metals,2(b),Mercury and compounds (as Hg),445.9
2025/12/15,United Kingdom,2018,5,Waste and wastewater management,5(b),Nitrogen oxides (NOX),9842000
2025/12/15,Germany,2023,1,Energy sector,1(a),Nitrogen oxides (NOX),12692000
