PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,Germany,2008,4,Chemical industry,4(a)(ii),Halogenated organic compounds (as AOX),17400
2025/12/15,Netherlands,2016,5,Waste and wastewater management,5(f),Total organic carbon(as total C or COD/3) (TOC),9278500
2025/12/15,United Kingdom,2008,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Total organic carbon(as total C or COD/3) (TOC),10627000
2025/12/15,Italy,2017,5,Waste and wastewater management,5(f),Arsenic and compounds (as As),8644.27
2025/12/15,United Kingdom,2011,1,Energy sector,1(c),Zinc and compounds (as Zn),20324
2025/12/15,Austria,2014,8,Animal and vegetable products from the food and beverage sector,8(b),Total nitrogen,121000
2025/12/15,France,2024,5,Waste and wastewater management,5(f),Lead and compounds (as Pb),1127.700002
2025/12/15,Italy,2007,5,Waste and wastewater management,5(a),Chromium and compounds (as Cr),483
2025/12/15,Germany,2014,1,Energy sector,1(c),Lead and compounds (as Pb),202.5
2025/12/15,Germany,2018,5,Waste and wastewater management,5(b),Isoproturon,2.71
2025/12/15,Germany,2014,4,Chemical industry,4(b)(v),Chlorides (as total Cl),13700000
2025/12/15,Belgium,2012,4,Chemical industry,4(a)(iii),Arsenic and compounds (as As),17.6
2025/12/15,Czechia,2013,5,Waste and wastewater management,5(f),Nonylphenol and Nonylphenol ethoxylates,58.400000000000006
2025/12/15,Sweden,2009,2,Production and processing of metals,2(e)(i),Fluorides (as total F),40800
2025/12/15,Netherlands,2015,4,Chemical industry,4(a)(i),Total phosphorus,12800
2025/12/15,Poland,2011,3,Mineral industry,3(b),Copper and compounds (as Cu),610.3000000000001
2025/12/15,France,2021,6,Paper and wood production and processing,6(b),Total organic carbon(as total C or COD/3) (TOC),2814100
2025/12/15,France,2015,4,Chemical industry,4(e),Halogenated organic compounds (as AOX),1820
2025/12/15,Spain,2016,5,Waste and wastewater management,5(f),Arsenic and compounds (as As),1072.29
2025/12/15,Norway,2011,3,Mineral industry,3(a),Isoproturon,210616
2025/12/15,United Kingdom,2010,6,Paper and wood production and processing,6(b),Cadmium and compounds (as Cd),31.14
2025/12/15,Germany,2022,4,Chemical industry,4(a)(ii),Halogenated organic compounds (as AOX),10600
2025/12/15,Spain,2017,4,Chemical industry,4(b)(i),Chlorides (as total Cl),104760000
2025/12/15,Spain,2017,6,Paper and wood production and processing,6(a),Mercury and compounds (as Hg),11.319999999999999
2025/12/15,Czechia,2015,4,Chemical industry,4(a)(iv),Total nitrogen,112000
2025/12/15,Finland,2012,5,Waste and wastewater management,5(d),Chlorides (as total Cl),4250000
2025/12/15,Netherlands,2021,5,Waste and wastewater management,5(f),Total phosphorus,674710
2025/12/15,Switzerland,2019,5,Waste and wastewater management,5(g),Zinc and compounds (as Zn),266
2025/12/15,France,2008,1,Energy sector,1(a),Alachlor,2.9
2025/12/15,Latvia,2015,5,Waste and wastewater management,5(f),Copper and compounds (as Cu),361
2025/12/15,Austria,2011,6,Paper and wood production and processing,6(a),Total organic carbon(as total C or COD/3) (TOC),2151000
2025/12/15,Finland,2016,3,Mineral industry,3(b),Nickel and compounds (as Ni),599.6
2025/12/15,Belgium,2024,2,Production and processing of metals,2(e)(ii),Zinc and compounds (as Zn),115
2025/12/15,Netherlands,2014,6,Paper and wood production and processing,6(b),Total organic carbon(as total C or COD/3) (TOC),467900
2025/12/15,Finland,2022,6,Paper and wood production and processing,6(a),Cadmium and compounds (as Cd),108.7
2025/12/15,Italy,2021,4,Chemical industry,4(b),Fluorides (as total F),77745.39
2025/12/15,Poland,2011,4,Chemical industry,4(c),Lead and compounds (as Pb),131.4
2025/12/15,Sweden,2023,1,Energy sector,1(a),Phenols (as total C),311.7
2025/12/15,Poland,2014,5,Waste and wastewater management,5(f),Trichloroethylene (TRI),15.1
2025/12/15,Italy,2010,4,Chemical industry,4(b)(i),"1,2-dichloroethane (DCE-1,2)",19.4
2025/12/15,Austria,2007,5,Waste and wastewater management,5(f),Arsenic and compounds (as As),34.9
2025/12/15,Poland,2016,3,Mineral industry,3(a),Copper and compounds (as Cu),927
2025/12/15,Slovakia,2009,4,Chemical industry,4(c),Polycyclic aromatic hydrocarbons (PAHs),6.14
2025/12/15,Greece,2007,2,Production and processing of metals,2(e)(i),Total organic carbon(as total C or COD/3) (TOC),1500000
2025/12/15,Finland,2019,2,Production and processing of metals,2(e)(i),Arsenic and compounds (as As),83.5
2025/12/15,Hungary,2019,5,Waste and wastewater management,5(c),Total nitrogen,157500
2025/12/15,Belgium,2017,2,Production and processing of metals,2(e)(ii),Fluorides (as total F),11300
2025/12/15,Serbia,2018,1,Energy sector,1(c),Tetrachloroethylene,395
2025/12/15,Germany,2021,4,Chemical industry,4(b)(i),Nickel and compounds (as Ni),120.7
2025/12/15,Serbia,2018,1,Energy sector,1(c),Arsenic and compounds (as As),12033
2025/12/15,France,2013,1,Energy sector,1(c),Nickel and compounds (as Ni),1716.4
2025/12/15,Austria,2017,4,Chemical industry,4(e),Halogenated organic compounds (as AOX),1780
2025/12/15,Czechia,2007,3,Mineral industry,3(a),Chlorides (as total Cl),38400000
2025/12/15,Germany,2022,4,Chemical industry,4(e),Nickel and compounds (as Ni),91.7
2025/12/15,Austria,2023,2,Production and processing of metals,2(e),Lead and compounds (as Pb),128
2025/12/15,Poland,2015,2,Production and processing of metals,2(c),Zinc and compounds (as Zn),132
2025/12/15,Romania,2013,4,Chemical industry,4(c),Total nitrogen,470000
2025/12/15,Slovenia,2011,5,Waste and wastewater management,5(f),Di-(2-ethyl hexyl) phthalate (DEHP),16.5
2025/12/15,Netherlands,2024,6,Paper and wood production and processing,6(b),Fluorides (as total F),10500
2025/12/15,Poland,2008,5,Waste and wastewater management,5(d),Trichlorobenzenes (TCB),5.8
2025/12/15,Spain,2018,1,Energy sector,1(a),Simazine,1.02
2025/12/15,United Kingdom,2015,1,Energy sector,1(c),Polycyclic aromatic hydrocarbons (PAHs),57.86
2025/12/15,Luxembourg,2021,2,Production and processing of metals,2(b),Nickel and compounds (as Ni),45.7
2025/12/15,Slovenia,2011,2,Production and processing of metals,2(b),Fluorides (as total F),2490
2025/12/15,Denmark,2024,5,Waste and wastewater management,5(g),Nickel and compounds (as Ni),35
2025/12/15,Belgium,2010,5,Waste and wastewater management,5(f),Halogenated organic compounds (as AOX),1820
2025/12/15,Belgium,2008,4,Chemical industry,4(a)(ii),Phenols (as total C),172
2025/12/15,Italy,2014,9,Other activities,9(c),Phenols (as total C),253.4
2025/12/15,Germany,2007,4,Chemical industry,4(a)(viii),Fluorides (as total F),11430
2025/12/15,Iceland,2013,2,Production and processing of metals,2(e)(i),Cyanides (as total CN),33
2025/12/15,United Kingdom,2011,5,Waste and wastewater management,5(g),Trichlorobenzenes (TCB),45.6
2025/12/15,Belgium,2018,2,Production and processing of metals,2(b),Total nitrogen,68000
2025/12/15,Romania,2008,5,Waste and wastewater management,5(d),Total phosphorus,63000
2025/12/15,Bulgaria,2009,5,Waste and wastewater management,5(f),Cyanides (as total CN),442
2025/12/15,Croatia,2014,5,Waste and wastewater management,5(d),Nickel and compounds (as Ni),32.2
2025/12/15,Germany,2024,4,Chemical industry,4(a),Total nitrogen,134000
2025/12/15,Germany,2018,4,Chemical industry,4(b)(iv),Zinc and compounds (as Zn),2150
2025/12/15,Netherlands,2021,2,Production and processing of metals,2(b),Phenols (as total C),23.6
2025/12/15,Slovakia,2016,1,Energy sector,1(c),Cyanides (as total CN),92.5
2025/12/15,France,2018,5,Waste and wastewater management,5(a),Halogenated organic compounds (as AOX),3550
2025/12/15,Ireland,2022,5,Waste and wastewater management,5(f),Dichloromethane (DCM),240
2025/12/15,Italy,2011,5,Waste and wastewater management,5(f),Endrin,27.9
2025/12/15,Italy,2009,9,Other activities,9(c),Trichloroethylene (TRI),56
2025/12/15,Spain,2016,4,Chemical industry,4(b)(i),Mercury and compounds (as Hg),15.45
2025/12/15,France,2010,4,Chemical industry,4(b)(i),Fluorides (as total F),15200
2025/12/15,Serbia,2021,1,Energy sector,1(c),Nickel and compounds (as Ni),276
2025/12/15,Italy,2010,5,Waste and wastewater management,5(f),Atrazine,72.5
2025/12/15,Denmark,2018,5,Waste and wastewater management,5(b),Total nitrogen,102062.4
2025/12/15,Netherlands,2007,4,Chemical industry,4(a),Nickel and compounds (as Ni),63
2025/12/15,France,2012,4,Chemical industry,4(f),Zinc and compounds (as Zn),122
2025/12/15,Belgium,2010,2,Production and processing of metals,2(b),Nonylphenol and Nonylphenol ethoxylates,1.64
2025/12/15,Germany,2023,2,Production and processing of metals,2(f),Fluorides (as total F),3230
2025/12/15,Finland,2018,2,Production and processing of metals,2(b),Cadmium and compounds (as Cd),7.9
2025/12/15,Czechia,2018,3,Mineral industry,3(a),Arsenic and compounds (as As),5.5
2025/12/15,France,2009,4,Chemical industry,4(a)(x),Zinc and compounds (as Zn),740
2025/12/15,Iceland,2019,7,Intensive livestock production and aquaculture,7(b),Total phosphorus,280045
2025/12/15,Germany,2023,3,Mineral industry,3(b),Fluorides (as total F),4480
2025/12/15,Poland,2011,3,Mineral industry,3(a),Cadmium and compounds (as Cd),840.9
2025/12/15,Slovakia,2007,2,Production and processing of metals,2(e)(ii),Cadmium and compounds (as Cd),19
2025/12/15,United Kingdom,2014,4,Chemical industry,4(d),Trichloromethane,77.3
2025/12/15,Netherlands,2020,2,Production and processing of metals,2(b),Chromium and compounds (as Cr),92.7
2025/12/15,Poland,2011,5,Waste and wastewater management,5(f),Chromium and compounds (as Cr),2579
2025/12/15,Germany,2022,5,Waste and wastewater management,5(a),Copper and compounds (as Cu),82
2025/12/15,France,2024,4,Chemical industry,4(b)(ii),Arsenic and compounds (as As),6.73
2025/12/15,Germany,2007,4,Chemical industry,4(b)(v),Total nitrogen,391000
2025/12/15,France,2017,4,Chemical industry,4(a)(viii),Trichloromethane,92.10000000000001
2025/12/15,Netherlands,2012,4,Chemical industry,4(a)(viii),Zinc and compounds (as Zn),1694
2025/12/15,Belgium,2007,2,Production and processing of metals,2(b),Mercury and compounds (as Hg),2.91
2025/12/15,Spain,2020,5,Waste and wastewater management,5(f),Di-(2-ethyl hexyl) phthalate (DEHP),839.2299999999998
2025/12/15,Germany,2023,5,Waste and wastewater management,5(f),Isoproturon,19.2
2025/12/15,Austria,2011,4,Chemical industry,4(c),Fluorides (as total F),15500
2025/12/15,Slovakia,2012,4,Chemical industry,4(a)(ii),"1,2-dichloroethane (DCE-1,2)",243
2025/12/15,Italy,2008,5,Waste and wastewater management,5(f),Fluorides (as total F),63040
2025/12/15,France,2021,5,Waste and wastewater management,5(g),Zinc and compounds (as Zn),1732
2025/12/15,Norway,2013,2,Production and processing of metals,2(e)(i),Arsenic and compounds (as As),419.79
2025/12/15,Ireland,2011,3,Mineral industry,3(a),Mercury and compounds (as Hg),16.96
2025/12/15,Netherlands,2022,5,Waste and wastewater management,5(c),Total organic carbon(as total C or COD/3) (TOC),3413900
2025/12/15,Belgium,2008,2,Production and processing of metals,2(b),Lead and compounds (as Pb),2801
2025/12/15,Hungary,2016,4,Chemical industry,4(a)(viii),Phenols (as total C),73.2
2025/12/15,Italy,2010,6,Paper and wood production and processing,6(b),Mercury and compounds (as Hg),32.71
2025/12/15,Netherlands,2023,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Total organic carbon(as total C or COD/3) (TOC),309500
2025/12/15,Romania,2015,1,Energy sector,1(a),Phenols (as total C),257.1
2025/12/15,Netherlands,2021,4,Chemical industry,4(b)(iv),Chlorides (as total Cl),46700000
2025/12/15,Austria,2019,5,Waste and wastewater management,5(f),Cyanides (as total CN),1210
2025/12/15,Finland,2012,5,Waste and wastewater management,5(f),Nickel and compounds (as Ni),2559.5
2025/12/15,Belgium,2024,2,Production and processing of metals,2(e)(i),Chlorides (as total Cl),6090000
2025/12/15,Italy,2009,2,Production and processing of metals,2(f),Phenols (as total C),58.2
2025/12/15,Belgium,2023,6,Paper and wood production and processing,6(a),Chlorides (as total Cl),2090000
2025/12/15,Sweden,2008,,,,Halogenated organic compounds (as AOX),20000
2025/12/15,Finland,2022,5,Waste and wastewater management,5(f),Mercury and compounds (as Hg),2
2025/12/15,Poland,2016,4,Chemical industry,4(a),Total nitrogen,2691200
2025/12/15,Slovenia,2007,5,Waste and wastewater management,5(f),Copper and compounds (as Cu),87
2025/12/15,Germany,2007,4,Chemical industry,4(a)(vii),Chlorides (as total Cl),12640000
2025/12/15,Belgium,2015,2,Production and processing of metals,2(f),Fluorides (as total F),3690
2025/12/15,Poland,2022,2,Production and processing of metals,2(b),Nickel and compounds (as Ni),61.7
2025/12/15,Finland,2011,5,Waste and wastewater management,5(f),Lead and compounds (as Pb),255
2025/12/15,France,2022,8,Animal and vegetable products from the food and beverage sector,8(c),Zinc and compounds (as Zn),326
2025/12/15,United Kingdom,2009,5,Waste and wastewater management,5(f),Fluoranthene,3.8
2025/12/15,Hungary,2019,5,Waste and wastewater management,5(f),Mercury and compounds (as Hg),20.89
2025/12/15,France,2012,4,Chemical industry,4(a)(viii),Pentachlorobenzene,44
2025/12/15,Serbia,2013,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Nickel and compounds (as Ni),27
2025/12/15,Germany,2008,4,Chemical industry,4(f),Zinc and compounds (as Zn),161
2025/12/15,Finland,2010,6,Paper and wood production and processing,6(a),Halogenated organic compounds (as AOX),908000
2025/12/15,Sweden,2008,4,Chemical industry,4(e),Total organic carbon(as total C or COD/3) (TOC),118000
2025/12/15,Serbia,2013,1,Energy sector,1(c),Total nitrogen,5895200
2025/12/15,Slovakia,2019,2,Production and processing of metals,2(b),Zinc and compounds (as Zn),1420
2025/12/15,Poland,2015,2,Production and processing of metals,2(b),Total nitrogen,51200
2025/12/15,Hungary,2013,5,Waste and wastewater management,5(c),Total organic carbon(as total C or COD/3) (TOC),189700
2025/12/15,Germany,2017,4,Chemical industry,4(a)(viii),Chlorides (as total Cl),42530000
2025/12/15,France,2017,4,Chemical industry,4(e),Halogenated organic compounds (as AOX),1850
2025/12/15,Belgium,2019,1,Energy sector,1(a),Arsenic and compounds (as As),20.9
2025/12/15,France,2017,9,Other activities,9(c),Zinc and compounds (as Zn),104
2025/12/15,Denmark,2019,2,Production and processing of metals,2(c)(i),Chromium and compounds (as Cr),0.226
2025/12/15,France,2009,5,Waste and wastewater management,5(g),Fluorides (as total F),2380
2025/12/15,France,2017,5,Waste and wastewater management,5(g),Total nitrogen,106000
2025/12/15,Italy,2017,5,Waste and wastewater management,5(f),"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",24.1
2025/12/15,Germany,2023,2,Production and processing of metals,2(b),Chlorides (as total Cl),3400000
2025/12/15,Denmark,2021,,,,Nickel and compounds (as Ni),0.18
2025/12/15,Slovakia,2008,1,Energy sector,1(a),Mercury and compounds (as Hg),68.2
2025/12/15,Slovenia,2011,4,Chemical industry,4(a)(ii),Total organic carbon(as total C or COD/3) (TOC),65500
2025/12/15,France,2018,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Total nitrogen,283000
2025/12/15,United Kingdom,2019,2,Production and processing of metals,2(c),Copper and compounds (as Cu),170
2025/12/15,United Kingdom,2019,4,Chemical industry,4(a),Tetrachloroethylene,24.5
2025/12/15,Netherlands,2022,6,Paper and wood production and processing,6(b),Arsenic and compounds (as As),23.42
2025/12/15,France,2014,1,Energy sector,1(c),Cadmium and compounds (as Cd),19.67
2025/12/15,Italy,2008,5,Waste and wastewater management,5(g),Dieldrin,2.37
2025/12/15,Norway,2013,4,Chemical industry,4(b)(v),Copper and compounds (as Cu),165.5
2025/12/15,France,2012,4,Chemical industry,4(b)(iv),Cadmium and compounds (as Cd),29
2025/12/15,Poland,2015,6,Paper and wood production and processing,6(a),Total organic carbon(as total C or COD/3) (TOC),1703000
2025/12/15,Spain,2008,4,Chemical industry,4(d),Di-(2-ethyl hexyl) phthalate (DEHP),7.56
2025/12/15,Slovakia,2014,2,Production and processing of metals,2(b),Fluoranthene,1.06
2025/12/15,United Kingdom,2010,8,Animal and vegetable products from the food and beverage sector,8(b)(ii),Total phosphorus,665000
2025/12/15,Spain,2011,3,Mineral industry,3(a),Nickel and compounds (as Ni),116
2025/12/15,Netherlands,2012,,,,Total phosphorus,11470
2025/12/15,Spain,2008,4,Chemical industry,4(a)(x),Chlorides (as total Cl),3440000
2025/12/15,Ireland,2020,3,Mineral industry,3(c)(ii),Chromium and compounds (as Cr),92.19
2025/12/15,Italy,2021,3,Mineral industry,3(e),Chromium and compounds (as Cr),75.771
2025/12/15,Germany,2011,4,Chemical industry,4(a)(vii),Lead and compounds (as Pb),70.2
2025/12/15,France,2016,2,Production and processing of metals,2(e)(ii),Copper and compounds (as Cu),323
2025/12/15,Netherlands,2018,5,Waste and wastewater management,5(d),Lead and compounds (as Pb),140
2025/12/15,France,2017,3,Mineral industry,3(e),Lead and compounds (as Pb),123
2025/12/15,Serbia,2023,5,Waste and wastewater management,5(f),Anthracene,1.03
2025/12/15,Finland,2008,3,Mineral industry,3(a),Copper and compounds (as Cu),213
2025/12/15,Germany,2013,2,Production and processing of metals,2(e)(ii),Zinc and compounds (as Zn),137
2025/12/15,Netherlands,2011,2,Production and processing of metals,2(e)(ii),Fluorides (as total F),2160
2025/12/15,Czechia,2011,2,Production and processing of metals,2(b),Fluoranthene,3.59
2025/12/15,France,2022,6,Paper and wood production and processing,6(b),Nickel and compounds (as Ni),157
2025/12/15,Poland,2019,5,Waste and wastewater management,5(f),Trichloroethylene (TRI),13.9
2025/12/15,France,2007,4,Chemical industry,4(a)(iii),Nonylphenol and Nonylphenol ethoxylates,17
2025/12/15,Poland,2019,5,Waste and wastewater management,5(g),Trichloromethane,69.3
2025/12/15,Spain,2022,5,Waste and wastewater management,5(g),Chlorides (as total Cl),16600000
2025/12/15,France,2021,4,Chemical industry,4(a)(iv),Total phosphorus,5560
2025/12/15,Finland,2019,5,Waste and wastewater management,5(f),Total phosphorus,29200
2025/12/15,Norway,2017,6,Paper and wood production and processing,6(a),Cadmium and compounds (as Cd),18.48
2025/12/15,Spain,2014,5,Waste and wastewater management,5(f),Atrazine,3900
2025/12/15,Switzerland,2009,4,Chemical industry,4(e),Nickel and compounds (as Ni),113
2025/12/15,Czechia,2007,4,Chemical industry,4(c),Total nitrogen,291000
2025/12/15,France,2009,5,Waste and wastewater management,5(f),Alachlor,1.45
2025/12/15,Austria,2024,2,Production and processing of metals,2(f),Nickel and compounds (as Ni),21.6
2025/12/15,Spain,2007,1,Energy sector,1(a),"Chloro-alkanes, C10-C13",41.9
2025/12/15,Czechia,2007,4,Chemical industry,4(a)(i),Total nitrogen,272000
2025/12/15,United Kingdom,2007,5,Waste and wastewater management,5(f),Lead and compounds (as Pb),12747.100000000002
2025/12/15,Italy,2023,5,Waste and wastewater management,5(f),Total phosphorus,2315487.0926
2025/12/15,Poland,2020,4,Chemical industry,4(c),Zinc and compounds (as Zn),2973
2025/12/15,Spain,2014,1,Energy sector,1(a),Dichloromethane (DCM),4300
2025/12/15,Spain,2020,9,Other activities,9(b),Chromium and compounds (as Cr),175
2025/12/15,Ireland,2015,5,Waste and wastewater management,5(f),Nonylphenol and Nonylphenol ethoxylates,28.89
2025/12/15,France,2013,2,Production and processing of metals,2(f),Nickel and compounds (as Ni),1619.8
2025/12/15,France,2015,2,Production and processing of metals,2(c)(i),Total nitrogen,471000
2025/12/15,Portugal,2009,2,Production and processing of metals,2(e)(ii),Lead and compounds (as Pb),70
2025/12/15,Belgium,2022,2,Production and processing of metals,2(c)(iii),Zinc and compounds (as Zn),343
2025/12/15,Poland,2019,5,Waste and wastewater management,5(g),Total organic carbon(as total C or COD/3) (TOC),140700
2025/12/15,Serbia,2015,3,Mineral industry,3(b),Nickel and compounds (as Ni),678
2025/12/15,Italy,2022,5,Waste and wastewater management,5(a),Arsenic and compounds (as As),51.5884
2025/12/15,United Kingdom,2011,5,Waste and wastewater management,5(c),Total phosphorus,1063300
2025/12/15,Italy,2007,5,Waste and wastewater management,5(a),Mercury and compounds (as Hg),5.1
2025/12/15,Finland,2015,3,Mineral industry,3(b),Nickel and compounds (as Ni),492
2025/12/15,Italy,2010,6,Paper and wood production and processing,6(b),Chromium and compounds (as Cr),516
2025/12/15,Ireland,2013,5,Waste and wastewater management,5(f),Zinc and compounds (as Zn),13001
2025/12/15,United Kingdom,2013,1,Energy sector,1(c),Nickel and compounds (as Ni),2544.2000000000003
2025/12/15,Germany,2021,6,Paper and wood production and processing,6(b),Total phosphorus,17350
2025/12/15,Switzerland,2019,4,Chemical industry,4(e),Total organic carbon(as total C or COD/3) (TOC),277000
2025/12/15,Cyprus,2018,5,Waste and wastewater management,5(f),Nickel and compounds (as Ni),74.80000000000001
2025/12/15,United Kingdom,2013,1,Energy sector,1(a),Nonylphenol and Nonylphenol ethoxylates,8.89
2025/12/15,Romania,2011,2,Production and processing of metals,2(b),Chromium and compounds (as Cr),1821
2025/12/15,Switzerland,2019,3,Mineral industry,3(a),Chlorides (as total Cl),9450000
2025/12/15,France,2011,4,Chemical industry,4(a)(x),Phenols (as total C),35
2025/12/15,Finland,2013,6,Paper and wood production and processing,6(a),Zinc and compounds (as Zn),23137
2025/12/15,Italy,2018,,,,Nickel and compounds (as Ni),59.749
2025/12/15,Finland,2023,6,Paper and wood production and processing,6(a),Total nitrogen,704600
2025/12/15,Spain,2020,5,Waste and wastewater management,5(f),"Benzo(g,h,i)perylene",47.29
2025/12/15,Spain,2022,2,Production and processing of metals,2(b),Total phosphorus,7400
2025/12/15,Germany,2023,4,Chemical industry,4(a)(iii),Chlorides (as total Cl),12990000
2025/12/15,Austria,2010,4,Chemical industry,4(b),Cyanides (as total CN),310
2025/12/15,Czechia,2011,4,Chemical industry,4(a)(vii),Copper and compounds (as Cu),114
2025/12/15,Spain,2010,5,Waste and wastewater management,5(b),Tetrachloromethane (TCM),1540
2025/12/15,Austria,2012,5,Waste and wastewater management,5(g),Cadmium and compounds (as Cd),7.81
2025/12/15,Finland,2016,5,Waste and wastewater management,5(f),Total phosphorus,59150
2025/12/15,Spain,2013,6,Paper and wood production and processing,6(a),Cadmium and compounds (as Cd),6.8
2025/12/15,France,2016,4,Chemical industry,4(a)(ii),Trichloromethane,64
2025/12/15,Sweden,2008,2,Production and processing of metals,2(a),Total nitrogen,367000
2025/12/15,Serbia,2018,1,Energy sector,1(c),Chromium and compounds (as Cr),6028
2025/12/15,United Kingdom,2008,1,Energy sector,1(c),Xylenes,230981
2025/12/15,France,2013,4,Chemical industry,4(a)(i),Trichloromethane,59
2025/12/15,Finland,2008,1,Energy sector,1(a),Total nitrogen,86300
2025/12/15,Finland,2010,2,Production and processing of metals,2(b),Cadmium and compounds (as Cd),11.9
2025/12/15,France,2018,2,Production and processing of metals,2(c)(iii),Zinc and compounds (as Zn),143
2025/12/15,Lithuania,2020,5,Waste and wastewater management,5(f),Copper and compounds (as Cu),2905.5
2025/12/15,Spain,2024,5,Waste and wastewater management,5(f),Mercury and compounds (as Hg),199.72
2025/12/15,Norway,2012,2,Production and processing of metals,2(e)(i),"Benzo(g,h,i)perylene",1.03
2025/12/15,Belgium,2010,2,Production and processing of metals,2(b),Polycyclic aromatic hydrocarbons (PAHs),43.2
2025/12/15,Estonia,2011,5,Waste and wastewater management,5(f),Copper and compounds (as Cu),524.5
2025/12/15,Slovenia,2015,5,Waste and wastewater management,5(f),Halogenated organic compounds (as AOX),1150
2025/12/15,Denmark,2022,2,Production and processing of metals,2(c)(i),Chromium and compounds (as Cr),0
2025/12/15,Slovenia,2014,6,Paper and wood production and processing,6(b),Zinc and compounds (as Zn),540
2025/12/15,Sweden,2020,5,Waste and wastewater management,5(f),Fluorides (as total F),72540
2025/12/15,Italy,2013,9,Other activities,9(a),Total organic carbon(as total C or COD/3) (TOC),210000
2025/12/15,United Kingdom,2008,2,Production and processing of metals,2(a),Chromium and compounds (as Cr),106
2025/12/15,Austria,2013,2,Production and processing of metals,2(b),Arsenic and compounds (as As),7
2025/12/15,Italy,2014,4,Chemical industry,4(a),Copper and compounds (as Cu),733.5
2025/12/15,Malta,2017,7,Intensive livestock production and aquaculture,7(b),Total phosphorus,113700
2025/12/15,Norway,2012,8,Animal and vegetable products from the food and beverage sector,8(b)(i),Total nitrogen,53000
2025/12/15,Portugal,2024,6,Paper and wood production and processing,6(a),Arsenic and compounds (as As),102.4
2025/12/15,Poland,2023,3,Mineral industry,3(c),Nickel and compounds (as Ni),27
2025/12/15,Slovakia,2013,1,Energy sector,1(a),Polycyclic aromatic hydrocarbons (PAHs),21.6
2025/12/15,United Kingdom,2008,5,Waste and wastewater management,5(c),Cadmium and compounds (as Cd),23.6
2025/12/15,Norway,2013,6,Paper and wood production and processing,6(a),Cadmium and compounds (as Cd),18.52
2025/12/15,Germany,2007,4,Chemical industry,4(a)(iii),Total organic carbon(as total C or COD/3) (TOC),69400
2025/12/15,Germany,2015,3,Mineral industry,3(a),Cadmium and compounds (as Cd),7.3
2025/12/15,Italy,2011,4,Chemical industry,4(b),Cyanides (as total CN),1210
2025/12/15,Netherlands,2021,1,Energy sector,1(a),Total phosphorus,22720
2025/12/15,United Kingdom,2007,5,Waste and wastewater management,5(c),Polycyclic aromatic hydrocarbons (PAHs),12.19
2025/12/15,Denmark,2009,4,Chemical industry,4(d),Phenols (as total C),96
2025/12/15,France,2020,4,Chemical industry,4(a)(vi),Mercury and compounds (as Hg),2.55
2025/12/15,Finland,2024,5,Waste and wastewater management,5(f),Total organic carbon(as total C or COD/3) (TOC),1598000
2025/12/15,Poland,2019,3,Mineral industry,3(b),Lead and compounds (as Pb),57.8
2025/12/15,United Kingdom,2009,6,Paper and wood production and processing,6(b),Lead and compounds (as Pb),60.6
2025/12/15,Ireland,2017,1,Energy sector,1(a),Phenols (as total C),88.2
2025/12/15,Germany,2016,2,Production and processing of metals,2(f),Zinc and compounds (as Zn),181
2025/12/15,Belgium,2022,4,Chemical industry,4(b),Nickel and compounds (as Ni),26.7
2025/12/15,Belgium,2020,2,Production and processing of metals,2(e)(ii),Chromium and compounds (as Cr),52
2025/12/15,Italy,2010,4,Chemical industry,4(b),Chromium and compounds (as Cr),1540
2025/12/15,Spain,2009,5,Waste and wastewater management,5(b),Total nitrogen,1180000
2025/12/15,Serbia,2024,3,Mineral industry,3(c)(i),Arsenic and compounds (as As),5.27
2025/12/15,Poland,2009,6,Paper and wood production and processing,6(b),Nickel and compounds (as Ni),103
2025/12/15,Slovakia,2010,1,Energy sector,1(c),Fluorides (as total F),18900
2025/12/15,Slovakia,2010,2,Production and processing of metals,2(b),Triphenyltin and compounds,8.5
2025/12/15,Poland,2009,6,Paper and wood production and processing,6(b),Chlorides (as total Cl),2950000
2025/12/15,Germany,2017,4,Chemical industry,4(b),Chlorides (as total Cl),398880000
2025/12/15,Spain,2022,4,Chemical industry,4(b)(v),Chlorides (as total Cl),9830000
2025/12/15,Poland,2010,1,Energy sector,1(a),Lead and compounds (as Pb),576
2025/12/15,Austria,2015,2,Production and processing of metals,2(c),Zinc and compounds (as Zn),135
2025/12/15,United Kingdom,2010,4,Chemical industry,4(b),Phenols (as total C),6100
2025/12/15,Italy,2009,5,Waste and wastewater management,5(f),Zinc and compounds (as Zn),110563
2025/12/15,Sweden,2024,6,Paper and wood production and processing,6(a),Nickel and compounds (as Ni),1373.47
2025/12/15,Poland,2024,1,Energy sector,1(c),Chlorides (as total Cl),31350000
2025/12/15,Norway,2007,3,Mineral industry,3(a),Isoproturon,246217.50000000003
2025/12/15,Germany,2010,5,Waste and wastewater management,5(g),Halogenated organic compounds (as AOX),1470
2025/12/15,Poland,2024,6,Paper and wood production and processing,6(b),Total nitrogen,241700
