PublicationDate,countryName,reportingYear,EPRTR_SectorCode,EPRTR_SectorName,EPRTRAnnexIMainActivity,Pollutant,Releases
2025/12/15,France,2009,5,Waste and wastewater management,5(f),Tributyltin and compounds,18.2
2025/12/15,Spain,2011,1,Energy sector,1(a),Chromium and compounds (as Cr),56
2025/12/15,Norway,2017,3,Mineral industry,3(a),Mercury and compounds (as Hg),3.96
2025/12/15,Austria,2008,5,Waste and wastewater management,5(f),Nonylphenol and Nonylphenol ethoxylates,23.25
2025/12/15,France,2017,6,Paper and wood production and processing,6(b),Total phosphorus,19850
2025/12/15,Norway,2011,6,Paper and wood production and processing,6(a),Cadmium and compounds (as Cd),30
2025/12/15,Spain,2020,4,Chemical industry,4(a)(i),Zinc and compounds (as Zn),354
2025/12/15,Sweden,2013,5,Waste and wastewater management,5(f),Fluoranthene,2.2
2025/12/15,Poland,2021,8,Animal and vegetable products from the food and beverage sector,8(b),Lead and compounds (as Pb),139
2025/12/15,Germany,2016,5,Waste and wastewater management,5(f),Pentachlorophenol (PCP),61.96
2025/12/15,Spain,2012,4,Chemical industry,4(a)(viii),Octylphenols and Octylphenol ethoxylates,659
2025/12/15,Austria,2015,2,Production and processing of metals,2(b),Trichloromethane,26.1
2025/12/15,Finland,2018,5,Waste and wastewater management,5(d),Chlorides (as total Cl),3070000
2025/12/15,France,2017,2,Production and processing of metals,2(e)(i),Cyanides (as total CN),64.8
2025/12/15,United Kingdom,2016,5,Waste and wastewater management,5(a),Total organic carbon(as total C or COD/3) (TOC),60600
2025/12/15,Belgium,2017,6,Paper and wood production and processing,6(a),Lead and compounds (as Pb),24
2025/12/15,France,2024,6,Paper and wood production and processing,6(a),Mercury and compounds (as Hg),1.11
2025/12/15,Switzerland,2016,4,Chemical industry,4(e),Dichloromethane (DCM),1200
2025/12/15,Netherlands,2019,2,Production and processing of metals,2(b),Fluoranthene,1.51
2025/12/15,Italy,2019,8,Animal and vegetable products from the food and beverage sector,8(a),Chlorides (as total Cl),15117890
2025/12/15,Spain,2012,4,Chemical industry,4(d),Chlorides (as total Cl),6470000
2025/12/15,Sweden,2013,7,Intensive livestock production and aquaculture,7(b),Total phosphorus,10100
2025/12/15,United Kingdom,2015,4,Chemical industry,4(c),Di-(2-ethyl hexyl) phthalate (DEHP),1.49
2025/12/15,France,2019,2,Production and processing of metals,2(e)(ii),Halogenated organic compounds (as AOX),1250
2025/12/15,Netherlands,2007,1,Energy sector,1(a),Mercury and compounds (as Hg),16.3
2025/12/15,Serbia,2017,2,Production and processing of metals,2(a),Cyanides (as total CN),83
2025/12/15,Poland,2018,4,Chemical industry,4(c),"1,2-dichloroethane (DCE-1,2)",211
2025/12/15,Norway,2010,8,Animal and vegetable products from the food and beverage sector,8(a),Total phosphorus,34070
2025/12/15,United Kingdom,2012,8,Animal and vegetable products from the food and beverage sector,8(c),Total organic carbon(as total C or COD/3) (TOC),917000
2025/12/15,Italy,2019,2,Production and processing of metals,2(b),Total nitrogen,236583
2025/12/15,Germany,2014,1,Energy sector,1(c),Chlorides (as total Cl),405960000
2025/12/15,Netherlands,2017,4,Chemical industry,4(a)(i),Cyanides (as total CN),312
2025/12/15,Slovakia,2010,5,Waste and wastewater management,5(f),Cadmium and compounds (as Cd),7
2025/12/15,Slovakia,2011,1,Energy sector,1(a),Cadmium and compounds (as Cd),119
2025/12/15,Poland,2012,3,Mineral industry,3(a),Chromium and compounds (as Cr),1478.6
2025/12/15,Italy,2021,5,Waste and wastewater management,5(f),Arsenic and compounds (as As),17033.1592
