PublicationDate,countryName,reportingYear,Pollutant,transfers
2025/12/15,Portugal,2013,Trichloroethylene (TRI),52.4
2025/12/15,Portugal,2014,Copper and compounds (as Cu),1418.3
2025/12/15,Portugal,2014,Toluene,1670
2025/12/15,Portugal,2015,Di-(2-ethyl hexyl) phthalate (DEHP),22.4
2025/12/15,Portugal,2015,Vinyl chloride,143
2025/12/15,Portugal,2016,Naphthalene,22.8
2025/12/15,Portugal,2016,Phenols (as total C),18152.5
2025/12/15,Portugal,2016,Total phosphorus,7210
2025/12/15,Portugal,2017,Toluene,1340
2025/12/15,Portugal,2018,Chromium and compounds (as Cr),2740.8999999999996
2025/12/15,Portugal,2019,Phenols (as total C),33822.1
2025/12/15,Portugal,2019,Total phosphorus,67200
2025/12/15,Portugal,2020,Toluene,1630
2025/12/15,Portugal,2021,Chromium and compounds (as Cr),1106.6
2025/12/15,Portugal,2021,Tetrachloromethane (TCM),1.04
2025/12/15,Portugal,2022,Phenols (as total C),34946.1
2025/12/15,Portugal,2022,Total phosphorus,53610
2025/12/15,Portugal,2023,Toluene,2570
2025/12/15,Portugal,2024,Chromium and compounds (as Cr),1901.9
2025/12/15,Romania,2008,Lead and compounds (as Pb),138.7
2025/12/15,Romania,2008,Nickel and compounds (as Ni),152.2
2025/12/15,Romania,2009,Total nitrogen,293000
2025/12/15,Romania,2011,Nickel and compounds (as Ni),89.8
2025/12/15,Romania,2012,Total nitrogen,457400
2025/12/15,Romania,2015,Total nitrogen,293000
2025/12/15,Romania,2019,Total phosphorus,94400
2025/12/15,Romania,2022,Phenols (as total C),354.1
2025/12/15,Romania,2022,Total phosphorus,17900
2025/12/15,Serbia,2011,Lead and compounds (as Pb),96
2025/12/15,Slovakia,2011,Zinc and compounds (as Zn),913
2025/12/15,Slovakia,2014,Zinc and compounds (as Zn),173
2025/12/15,Slovakia,2017,Zinc and compounds (as Zn),1420
2025/12/15,Slovakia,2019,Total organic carbon(as total C or COD/3) (TOC),3903100
2025/12/15,Slovakia,2020,Zinc and compounds (as Zn),903
2025/12/15,Slovakia,2022,Total organic carbon(as total C or COD/3) (TOC),1527900
2025/12/15,Slovenia,2007,Nickel and compounds (as Ni),199.4
2025/12/15,Slovenia,2010,Arsenic and compounds (as As),9
2025/12/15,Slovenia,2013,Zinc and compounds (as Zn),121
2025/12/15,Slovenia,2021,Total organic carbon(as total C or COD/3) (TOC),1809226.6
2025/12/15,Slovenia,2022,Zinc and compounds (as Zn),0.26
2025/12/15,Slovenia,2024,Total organic carbon(as total C or COD/3) (TOC),1078006.8
2025/12/15,Spain,2007,Copper and compounds (as Cu),12409.9
2025/12/15,Spain,2007,Toluene,1070
2025/12/15,Spain,2007,Zinc and compounds (as Zn),31016
2025/12/15,Spain,2008,Di-(2-ethyl hexyl) phthalate (DEHP),1.15
2025/12/15,Spain,2008,Halogenated organic compounds (as AOX),49360
2025/12/15,Spain,2009,Octylphenols and Octylphenol ethoxylates,1984.08
2025/12/15,Spain,2009,Organotin compounds (as total Sn),148.3
2025/12/15,Spain,2010,Copper and compounds (as Cu),2205.5
2025/12/15,Spain,2010,Mercury and compounds (as Hg),70.82000000000002
2025/12/15,Spain,2010,Toluene,381
2025/12/15,Spain,2010,Zinc and compounds (as Zn),12358
2025/12/15,Spain,2011,Chromium and compounds (as Cr),4116.799999999999
2025/12/15,Spain,2011,Halogenated organic compounds (as AOX),125030
2025/12/15,Spain,2012,Organotin compounds (as total Sn),216
2025/12/15,Spain,2012,Trichloromethane,23.4
2025/12/15,Spain,2013,Cyanides (as total CN),538
2025/12/15,Spain,2013,Mercury and compounds (as Hg),39.69
2025/12/15,Spain,2013,Zinc and compounds (as Zn),17854
2025/12/15,Spain,2014,Chromium and compounds (as Cr),1966.9999999999998
2025/12/15,Spain,2014,Halogenated organic compounds (as AOX),80600
2025/12/15,Spain,2016,Cyanides (as total CN),371
2025/12/15,Spain,2016,Dichloromethane (DCM),52.9
2025/12/15,Spain,2016,Mercury and compounds (as Hg),17.28
2025/12/15,Spain,2016,Zinc and compounds (as Zn),9502
2025/12/15,Spain,2017,Chromium and compounds (as Cr),1166.2
2025/12/15,Spain,2017,Halogenated organic compounds (as AOX),41540
2025/12/15,Spain,2018,Trichloromethane,191
2025/12/15,Spain,2019,Cadmium and compounds (as Cd),86.13000000000001
2025/12/15,Spain,2019,Cyanides (as total CN),2377
2025/12/15,Spain,2019,Dichloromethane (DCM),1536.8
2025/12/15,Spain,2019,Mercury and compounds (as Hg),31.52
2025/12/15,Spain,2020,Chromium and compounds (as Cr),6237.3
2025/12/15,Spain,2021,Total nitrogen,3024300
2025/12/15,Spain,2022,Cadmium and compounds (as Cd),470.38000000000005
2025/12/15,Spain,2022,Cyanides (as total CN),525.2
2025/12/15,Spain,2022,Dichloromethane (DCM),887.7
2025/12/15,Spain,2023,Polycyclic aromatic hydrocarbons (PAHs),925.47
2025/12/15,Spain,2024,Ethyl benzene,255
2025/12/15,Spain,2024,Total nitrogen,2955400
2025/12/15,Sweden,2007,Chlorides (as total Cl),8420000
2025/12/15,Sweden,2007,Polycyclic aromatic hydrocarbons (PAHs),384.13
2025/12/15,Sweden,2010,Chlorides (as total Cl),8860000
2025/12/15,Sweden,2010,Polycyclic aromatic hydrocarbons (PAHs),73.7
2025/12/15,Sweden,2012,Fluorides (as total F),2090
2025/12/15,Sweden,2013,Chlorides (as total Cl),4360000
2025/12/15,Sweden,2019,Phenols (as total C),32800
2025/12/15,Sweden,2022,Phenols (as total C),3079
2025/12/15,Switzerland,2007,Copper and compounds (as Cu),3270
2025/12/15,Switzerland,2008,Total phosphorus,124570
2025/12/15,Switzerland,2010,Copper and compounds (as Cu),2243
2025/12/15,Switzerland,2010,Zinc and compounds (as Zn),2058
2025/12/15,Switzerland,2011,Halogenated organic compounds (as AOX),411270
2025/12/15,Switzerland,2011,Total phosphorus,107460
2025/12/15,Switzerland,2013,Mercury and compounds (as Hg),5.4
2025/12/15,Switzerland,2013,Zinc and compounds (as Zn),988
2025/12/15,Switzerland,2014,Halogenated organic compounds (as AOX),387600
2025/12/15,Switzerland,2014,Total phosphorus,116150
2025/12/15,Switzerland,2016,Mercury and compounds (as Hg),2.1
2025/12/15,Switzerland,2016,Zinc and compounds (as Zn),876
2025/12/15,Switzerland,2017,Halogenated organic compounds (as AOX),312180
2025/12/15,Switzerland,2018,Ethyl benzene,71
2025/12/15,Switzerland,2019,Cyanides (as total CN),7.474
2025/12/15,Switzerland,2019,Dichloromethane (DCM),551
2025/12/15,Switzerland,2019,Ethylene oxide,2
2025/12/15,Switzerland,2019,Mercury and compounds (as Hg),1.321
2025/12/15,Switzerland,2019,Zinc and compounds (as Zn),937.27
2025/12/15,Switzerland,2021,Xylenes,2999
2025/12/15,Switzerland,2022,Cyanides (as total CN),7.335
2025/12/15,Switzerland,2022,Dichloromethane (DCM),316.4
2025/12/15,Switzerland,2022,Ethylene oxide,2.9
2025/12/15,Switzerland,2022,Mercury and compounds (as Hg),1.2650000000000001
2025/12/15,United Kingdom,2007,Fluorides (as total F),176090
2025/12/15,United Kingdom,2008,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",1.22
2025/12/15,United Kingdom,2008,Chlorides (as total Cl),33770000
2025/12/15,United Kingdom,2008,Pentachlorophenol (PCP),10.5
2025/12/15,United Kingdom,2009,Benzene,20446
2025/12/15,United Kingdom,2009,Zinc and compounds (as Zn),15647989
2025/12/15,United Kingdom,2010,Halogenated organic compounds (as AOX),13800
2025/12/15,United Kingdom,2010,Hexachlorobutadiene (HCBD),661.8
2025/12/15,United Kingdom,2011,Pentachlorophenol (PCP),1.8
2025/12/15,United Kingdom,2012,Benzene,26505
2025/12/15,United Kingdom,2012,Carbon monoxide (CO),1e-5
2025/12/15,United Kingdom,2012,Fluorine and inorganic compounds (as HF),1590.00001
2025/12/15,United Kingdom,2012,Mercury and compounds (as Hg),47.43
2025/12/15,United Kingdom,2012,Zinc and compounds (as Zn),25549
2025/12/15,United Kingdom,2013,Halogenated organic compounds (as AOX),18400
2025/12/15,United Kingdom,2014,Trichloromethane,156.9
2025/12/15,United Kingdom,2015,Benzene,16342
2025/12/15,United Kingdom,2015,Mercury and compounds (as Hg),25.63
2025/12/15,United Kingdom,2015,Zinc and compounds (as Zn),10245
2025/12/15,United Kingdom,2016,Halogenated organic compounds (as AOX),14640
2025/12/15,United Kingdom,2017,Total organic carbon(as total C or COD/3) (TOC),37626500
2025/12/15,United Kingdom,2017,Trichloromethane,824.5
2025/12/15,United Kingdom,2018,Mercury and compounds (as Hg),12.350000000000001
2025/12/15,United Kingdom,2018,Tetrachloroethylene,186
2025/12/15,United Kingdom,2018,Zinc and compounds (as Zn),12382
2025/12/15,United Kingdom,2019,Cyanides (as total CN),1570
2025/12/15,United Kingdom,2019,Halogenated organic compounds (as AOX),13600
2025/12/15,Austria,2007,"1,2-dichloroethane (DCE-1,2)",355
2025/12/15,Austria,2008,Total phosphorus,103630
2025/12/15,Austria,2008,Zinc and compounds (as Zn),1293103
2025/12/15,Austria,2009,Lead and compounds (as Pb),252049
2025/12/15,Austria,2009,Total organic carbon(as total C or COD/3) (TOC),183512100
2025/12/15,Austria,2010,"1,2-dichloroethane (DCE-1,2)",68.7
2025/12/15,Austria,2011,Arsenic and compounds (as As),5.37
2025/12/15,Austria,2011,Total phosphorus,164010
2025/12/15,Austria,2011,Zinc and compounds (as Zn),596035
2025/12/15,Austria,2012,Lead and compounds (as Pb),255212.19999999998
2025/12/15,Austria,2014,Arsenic and compounds (as As),28.6
2025/12/15,Austria,2014,Benzene,32600
2025/12/15,Austria,2014,Naphthalene,229
2025/12/15,Austria,2014,Zinc and compounds (as Zn),536255
2025/12/15,Austria,2015,Lead and compounds (as Pb),135067.2
2025/12/15,Austria,2016,"Benzo(g,h,i)perylene",35.07
2025/12/15,Austria,2016,Di-(2-ethyl hexyl) phthalate (DEHP),51.050000000000004
2025/12/15,Austria,2017,Benzene,40200
2025/12/15,Austria,2017,Zinc and compounds (as Zn),381724
2025/12/15,Austria,2018,Copper and compounds (as Cu),694
2025/12/15,Austria,2018,Fluorides (as total F),35650
2025/12/15,Austria,2018,Lead and compounds (as Pb),68282.3
2025/12/15,Austria,2019,"Benzo(g,h,i)perylene",34.25
2025/12/15,Austria,2019,Di-(2-ethyl hexyl) phthalate (DEHP),53.78
2025/12/15,Austria,2019,Ethyl benzene,1260
2025/12/15,Austria,2020,Benzene,25400
2025/12/15,Austria,2020,Mercury and compounds (as Hg),4.24
2025/12/15,Austria,2021,Copper and compounds (as Cu),632
2025/12/15,Austria,2021,Fluorides (as total F),82450
2025/12/15,Austria,2022,"Benzo(g,h,i)perylene",35
2025/12/15,Austria,2022,Di-(2-ethyl hexyl) phthalate (DEHP),58.8
2025/12/15,Austria,2022,Ethyl benzene,1830
2025/12/15,Austria,2022,Pentachlorophenol (PCP),8.46
2025/12/15,Austria,2023,Benzene,47500
2025/12/15,Austria,2024,Copper and compounds (as Cu),518
2025/12/15,Austria,2024,Fluorides (as total F),163870
2025/12/15,Belgium,2007,Mercury and compounds (as Hg),1.38
2025/12/15,Belgium,2008,Copper and compounds (as Cu),55.3
2025/12/15,Belgium,2008,Fluorides (as total F),9830
2025/12/15,Belgium,2009,Chromium and compounds (as Cr),918.8
2025/12/15,Belgium,2011,Copper and compounds (as Cu),75
2025/12/15,Belgium,2011,Fluorides (as total F),3670
2025/12/15,Belgium,2012,Chromium and compounds (as Cr),151.8
2025/12/15,Belgium,2014,Copper and compounds (as Cu),84.3
2025/12/15,Belgium,2014,Fluorides (as total F),2610
2025/12/15,Belgium,2015,Di-(2-ethyl hexyl) phthalate (DEHP),15.3
2025/12/15,Belgium,2015,Ethyl benzene,847
2025/12/15,Belgium,2016,Nickel and compounds (as Ni),99.89999999999999
2025/12/15,Belgium,2017,Fluorides (as total F),44850
2025/12/15,Belgium,2018,Pentachlorophenol (PCP),8.35
2025/12/15,Belgium,2019,Ethylene oxide,26.5
2025/12/15,Belgium,2019,Nickel and compounds (as Ni),99.1
2025/12/15,Belgium,2020,Halogenated organic compounds (as AOX),4160
2025/12/15,Belgium,2022,Nickel and compounds (as Ni),46.9
2025/12/15,Belgium,2023,Cadmium and compounds (as Cd),7.33
2025/12/15,Belgium,2024,Trichloromethane,257
2025/12/15,Bulgaria,2008,Zinc and compounds (as Zn),35984
2025/12/15,Bulgaria,2009,Lead and compounds (as Pb),61.9
2025/12/15,Bulgaria,2011,Arsenic and compounds (as As),370.21
2025/12/15,Bulgaria,2011,Mercury and compounds (as Hg),1.1
2025/12/15,Bulgaria,2011,Zinc and compounds (as Zn),30883
2025/12/15,Bulgaria,2012,Copper and compounds (as Cu),145
2025/12/15,Bulgaria,2012,Lead and compounds (as Pb),283.3
2025/12/15,Bulgaria,2013,Chromium and compounds (as Cr),85
2025/12/15,Bulgaria,2014,Mercury and compounds (as Hg),5
2025/12/15,Bulgaria,2014,Zinc and compounds (as Zn),14164
2025/12/15,Bulgaria,2015,Copper and compounds (as Cu),264
2025/12/15,Bulgaria,2015,Lead and compounds (as Pb),851
2025/12/15,Bulgaria,2016,Chromium and compounds (as Cr),56.5
2025/12/15,Bulgaria,2018,Copper and compounds (as Cu),904.31
2025/12/15,Bulgaria,2021,Fluorides (as total F),463518
2025/12/15,Bulgaria,2022,Chromium and compounds (as Cr),94
2025/12/15,Bulgaria,2023,Nickel and compounds (as Ni),687
2025/12/15,Croatia,2016,Di-(2-ethyl hexyl) phthalate (DEHP),1.79
2025/12/15,Croatia,2017,Nickel and compounds (as Ni),57.400000000000006
2025/12/15,Croatia,2018,Total phosphorus,8510
2025/12/15,Croatia,2020,Nickel and compounds (as Ni),31.9
2025/12/15,Croatia,2021,Total phosphorus,8330
2025/12/15,Croatia,2023,Nickel and compounds (as Ni),70.2
2025/12/15,Croatia,2024,Total phosphorus,6950
2025/12/15,Cyprus,2010,Mercury and compounds (as Hg),2.58
2025/12/15,Cyprus,2012,Total nitrogen,634000
2025/12/15,Czechia,2007,Chlorides (as total Cl),27690000
2025/12/15,Czechia,2007,Xylenes,2210
2025/12/15,Czechia,2008,Dichloromethane (DCM),96.5
2025/12/15,Czechia,2009,Phenols (as total C),277664
2025/12/15,Czechia,2010,Chlorides (as total Cl),26490000
2025/12/15,Czechia,2012,Cyanides (as total CN),8040
2025/12/15,Czechia,2015,Cyanides (as total CN),5801.4
2025/12/15,Czechia,2018,Cyanides (as total CN),5932.1566
2025/12/15,Czechia,2020,"1,2-dichloroethane (DCE-1,2)",10.02
2025/12/15,Czechia,2021,Cyanides (as total CN),4941.0960000000005
2025/12/15,Czechia,2022,Cadmium and compounds (as Cd),22.115667000000002
2025/12/15,Czechia,2022,Polychlorinated biphenyls (PCBs),0.04798
2025/12/15,Czechia,2022,Total organic carbon(as total C or COD/3) (TOC),6489336.806553
2025/12/15,Denmark,2007,Lead and compounds (as Pb),157
2025/12/15,Denmark,2008,Total nitrogen,2266700
2025/12/15,Denmark,2010,Chlorides (as total Cl),2010000
2025/12/15,Denmark,2011,Di-(2-ethyl hexyl) phthalate (DEHP),2.1100000000000003
2025/12/15,Denmark,2011,Total nitrogen,355300
2025/12/15,Denmark,2013,Chlorides (as total Cl),7280000
2025/12/15,Denmark,2014,Total nitrogen,737800
2025/12/15,Denmark,2016,Chlorides (as total Cl),8350000
2025/12/15,Denmark,2017,Di-(2-ethyl hexyl) phthalate (DEHP),8.5
2025/12/15,Denmark,2018,Cyanides (as total CN),4.3
2025/12/15,Denmark,2019,Chlorides (as total Cl),9929966.31
2025/12/15,Denmark,2019,Copper and compounds (as Cu),38.045115
2025/12/15,Denmark,2020,Di-(2-ethyl hexyl) phthalate (DEHP),3.9278999999999997
2025/12/15,Denmark,2021,Cyanides (as total CN),0.866
2025/12/15,Denmark,2024,Cyanides (as total CN),0.123
2025/12/15,Finland,2007,Organotin compounds (as total Sn),107
2025/12/15,Finland,2007,Total nitrogen,1352100
2025/12/15,Finland,2008,Phenols (as total C),20364
2025/12/15,Finland,2010,Total nitrogen,1268800
2025/12/15,Finland,2011,Phenols (as total C),21786.6
2025/12/15,Finland,2014,Cyanides (as total CN),2000
2025/12/15,Finland,2014,Phenols (as total C),30008.9
2025/12/15,Finland,2024,Total organic carbon(as total C or COD/3) (TOC),5924300
2025/12/15,France,2007,Dichloromethane (DCM),11417.7
2025/12/15,France,2008,Phenols (as total C),83377.70000000001
2025/12/15,France,2009,Chlorides (as total Cl),20660000
2025/12/15,France,2009,PCDD + PCDF (dioxins + furans) (as Teq),76.971381
2025/12/15,France,2009,Xylenes,553
2025/12/15,France,2011,Cyanides (as total CN),4510
2025/12/15,France,2012,Nonylphenol and Nonylphenol ethoxylates,203.6
2025/12/15,France,2013,Vinyl chloride,148
2025/12/15,France,2014,Cyanides (as total CN),126
2025/12/15,France,2014,Ethylene oxide,28400
2025/12/15,France,2015,Nonylphenol and Nonylphenol ethoxylates,3.23
2025/12/15,France,2016,Vinyl chloride,150
2025/12/15,France,2018,Nonylphenol and Nonylphenol ethoxylates,29.96
2025/12/15,France,2019,"1,2-dichloroethane (DCE-1,2)",42.8
2025/12/15,France,2019,Vinyl chloride,178
2025/12/15,France,2021,Polychlorinated biphenyls (PCBs),0.128
2025/12/15,France,2021,Total organic carbon(as total C or COD/3) (TOC),34258500
2025/12/15,France,2022,"1,2-dichloroethane (DCE-1,2)",115.499996
2025/12/15,France,2022,Vinyl chloride,17
2025/12/15,France,2024,Total organic carbon(as total C or COD/3) (TOC),34586600
2025/12/15,Germany,2007,Benzene,8727
2025/12/15,Germany,2007,Tributyltin and compounds,2.39
2025/12/15,Germany,2007,Vinyl chloride,2953.6
2025/12/15,Germany,2008,Copper and compounds (as Cu),14473.2
2025/12/15,Germany,2008,Fluoranthene,109.19
2025/12/15,Germany,2008,Fluorides (as total F),332600
2025/12/15,Germany,2009,Chromium and compounds (as Cr),2236.9
2025/12/15,Germany,2009,Ethyl benzene,6260
2025/12/15,Germany,2009,Pentachlorophenol (PCP),2.53
2025/12/15,Germany,2010,Nickel and compounds (as Ni),10259.000000000004
2025/12/15,Germany,2010,Tetrachloroethylene,14.8
2025/12/15,Germany,2010,Tributyltin and compounds,8.32
2025/12/15,Germany,2010,Vinyl chloride,2737.6
2025/12/15,Germany,2011,Fluoranthene,35.120000000000005
2025/12/15,Germany,2011,Fluorides (as total F),284940
2025/12/15,Germany,2011,Total phosphorus,2410430
2025/12/15,Germany,2012,Trichlorobenzenes (TCB),6.96
2025/12/15,Germany,2013,Nickel and compounds (as Ni),7400.4
2025/12/15,Germany,2013,Octylphenols and Octylphenol ethoxylates,158
2025/12/15,Germany,2013,Tributyltin and compounds,3.8
2025/12/15,Germany,2013,Vinyl chloride,2549.8
2025/12/15,Germany,2014,Fluoranthene,16.4
2025/12/15,Germany,2014,Halogenated organic compounds (as AOX),460360
2025/12/15,Germany,2014,Total phosphorus,2178830
2025/12/15,Germany,2015,Trichlorobenzenes (TCB),47.9
2025/12/15,Germany,2016,Nickel and compounds (as Ni),5615.6
2025/12/15,Germany,2016,Octylphenols and Octylphenol ethoxylates,13.82
2025/12/15,Germany,2017,Halogenated organic compounds (as AOX),498060
2025/12/15,Germany,2017,Total phosphorus,2683200
2025/12/15,Germany,2019,Nickel and compounds (as Ni),5635.300000000001
2025/12/15,Germany,2019,Octylphenols and Octylphenol ethoxylates,20.560000000000002
2025/12/15,Germany,2020,Halogenated organic compounds (as AOX),491960
2025/12/15,Germany,2020,Total phosphorus,2637590
2025/12/15,Germany,2022,Total nitrogen,11674300
2025/12/15,Germany,2023,Halogenated organic compounds (as AOX),444730
2025/12/15,Greece,2016,Phenols (as total C),340
2025/12/15,Greece,2018,Mercury and compounds (as Hg),1.41
2025/12/15,Greece,2019,Phenols (as total C),655
2025/12/15,Greece,2021,Mercury and compounds (as Hg),7.97
2025/12/15,Greece,2022,Phenols (as total C),1520
2025/12/15,Greece,2023,Chromium and compounds (as Cr),114
2025/12/15,Greece,2024,Mercury and compounds (as Hg),4
2025/12/15,Hungary,2010,Xylenes,610
2025/12/15,Hungary,2011,Benzene,620
2025/12/15,Hungary,2011,Mercury and compounds (as Hg),2
2025/12/15,Hungary,2011,Trichloroethylene (TRI),25
2025/12/15,Hungary,2012,Toluene,4220
2025/12/15,Hungary,2016,Chromium and compounds (as Cr),331
2025/12/15,Hungary,2018,Fluorides (as total F),21800
2025/12/15,Hungary,2019,Chromium and compounds (as Cr),206
2025/12/15,Hungary,2020,Nickel and compounds (as Ni),347.7
2025/12/15,Hungary,2021,Total phosphorus,28390
2025/12/15,Hungary,2022,Total organic carbon(as total C or COD/3) (TOC),2790500
2025/12/15,Hungary,2023,Nickel and compounds (as Ni),135.6
2025/12/15,Ireland,2007,Cadmium and compounds (as Cd),13.9
2025/12/15,Ireland,2009,Dichloromethane (DCM),823
2025/12/15,Ireland,2010,Phenols (as total C),3267.5
2025/12/15,Ireland,2011,Chlorides (as total Cl),2200000
2025/12/15,Ireland,2012,Dichloromethane (DCM),69.5
2025/12/15,Ireland,2013,Phenols (as total C),2846.3
2025/12/15,Ireland,2014,Chlorides (as total Cl),3330000
2025/12/15,Ireland,2015,Dichloromethane (DCM),38.6
2025/12/15,Ireland,2016,Phenols (as total C),1398.4
2025/12/15,Ireland,2016,Toluene,376
2025/12/15,Ireland,2017,Chlorides (as total Cl),4080000
2025/12/15,Ireland,2017,Nonylphenol and Nonylphenol ethoxylates,556
2025/12/15,Ireland,2018,Benzene,0.3
2025/12/15,Ireland,2018,Dichloromethane (DCM),289.15999999999997
2025/12/15,Ireland,2019,Phenols (as total C),1974.573
2025/12/15,Ireland,2020,Nonylphenol and Nonylphenol ethoxylates,501.86
2025/12/15,Ireland,2020,Xylenes,7.32
2025/12/15,Ireland,2022,Toluene,352.07
2025/12/15,Ireland,2023,Nonylphenol and Nonylphenol ethoxylates,222.01
2025/12/15,Italy,2007,Cyanides (as total CN),2633
2025/12/15,Italy,2008,Nonylphenol and Nonylphenol ethoxylates,4200.4400000000005
2025/12/15,Italy,2009,Pentachlorophenol (PCP),6.3
2025/12/15,Italy,2010,Cyanides (as total CN),2211
2025/12/15,Italy,2011,"Chloro-alkanes, C10-C13",2.5
2025/12/15,Italy,2011,Nonylphenol and Nonylphenol ethoxylates,2691.37
2025/12/15,Italy,2013,Cyanides (as total CN),2504.1
2025/12/15,Italy,2014,Polychlorinated biphenyls (PCBs),0.628
2025/12/15,Italy,2014,Total organic carbon(as total C or COD/3) (TOC),124911400
2025/12/15,Italy,2015,"1,2-dichloroethane (DCE-1,2)",105.30000000000001
2025/12/15,Italy,2015,Aldrin,1.1
2025/12/15,Italy,2017,Cadmium and compounds (as Cd),125.01999999999998
2025/12/15,Italy,2017,"Chloro-alkanes, C10-C13",87.9
2025/12/15,Italy,2017,Hexachlorobenzene (HCB),178
2025/12/15,Italy,2017,Polychlorinated biphenyls (PCBs),0.701
2025/12/15,Italy,2017,Total organic carbon(as total C or COD/3) (TOC),154040800
2025/12/15,Italy,2018,"1,2-dichloroethane (DCE-1,2)",143.2345
2025/12/15,Italy,2018,Aldrin,1.2
2025/12/15,Italy,2018,Polycyclic aromatic hydrocarbons (PAHs),15043.720000000001
2025/12/15,Italy,2019,Anthracene,238.12
2025/12/15,Italy,2019,Naphthalene,16739.6314
2025/12/15,Italy,2020,Cadmium and compounds (as Cd),254.39489999999998
2025/12/15,Italy,2020,"Chloro-alkanes, C10-C13",24
2025/12/15,Italy,2020,Hexachlorobenzene (HCB),1.6963
2025/12/15,Italy,2020,Total organic carbon(as total C or COD/3) (TOC),20792720.527
2025/12/15,Italy,2021,"1,2-dichloroethane (DCE-1,2)",62.4652
2025/12/15,Italy,2021,Aldrin,3.0060000000000002
2025/12/15,Italy,2021,PCDD + PCDF (dioxins + furans) (as Teq),0.000143
2025/12/15,Italy,2021,Polycyclic aromatic hydrocarbons (PAHs),70083.8507
2025/12/15,Italy,2021,Tetrachloromethane (TCM),22.7104
2025/12/15,Italy,2022,Arsenic and compounds (as As),737.3529
2025/12/15,Italy,2022,Naphthalene,126.58
2025/12/15,Italy,2022,Trichloroethylene (TRI),15.3522
2025/12/15,Italy,2022,Zinc and compounds (as Zn),6344.591100000001
2025/12/15,Italy,2023,Cadmium and compounds (as Cd),35.627700000000004
2025/12/15,Italy,2023,Lead and compounds (as Pb),3397.7117
2025/12/15,Italy,2023,Polychlorinated biphenyls (PCBs),0.194
2025/12/15,Italy,2023,Total organic carbon(as total C or COD/3) (TOC),16573474.399999999
2025/12/15,Lithuania,2022,Phenols (as total C),48.3
2025/12/15,Netherlands,2007,Halogenated organic compounds (as AOX),12000
2025/12/15,Netherlands,2007,Total phosphorus,1223900
2025/12/15,Netherlands,2008,Trichloromethane,112
2025/12/15,Netherlands,2009,Total nitrogen,3330000
2025/12/15,Netherlands,2010,Cadmium and compounds (as Cd),5.1
2025/12/15,Netherlands,2010,Halogenated organic compounds (as AOX),8110
2025/12/15,Netherlands,2010,Total phosphorus,1047390
2025/12/15,Netherlands,2011,Trichloromethane,15
2025/12/15,Netherlands,2012,Dichloromethane (DCM),130.3
2025/12/15,Netherlands,2012,Total nitrogen,3532000
2025/12/15,Netherlands,2013,Phenols (as total C),19768.7
2025/12/15,Netherlands,2014,Chlorides (as total Cl),125230000
2025/12/15,Netherlands,2014,Trichloromethane,28
2025/12/15,Netherlands,2014,Xylenes,2530
2025/12/15,Netherlands,2015,Dichloromethane (DCM),163.7
2025/12/15,Netherlands,2015,Total nitrogen,4108000
2025/12/15,Netherlands,2016,Cadmium and compounds (as Cd),5.5
2025/12/15,Netherlands,2016,Phenols (as total C),3865.6
2025/12/15,Netherlands,2017,Chlorides (as total Cl),123780000
2025/12/15,Netherlands,2017,Trichloromethane,18
2025/12/15,Netherlands,2017,Xylenes,439
2025/12/15,Netherlands,2018,Dichloromethane (DCM),175.9
2025/12/15,Netherlands,2018,Total nitrogen,4841500
2025/12/15,Netherlands,2019,Phenols (as total C),5206
2025/12/15,Netherlands,2020,Chlorides (as total Cl),102780000
2025/12/15,Netherlands,2020,Xylenes,1766
2025/12/15,Netherlands,2021,Dichloromethane (DCM),115
2025/12/15,Netherlands,2022,Phenols (as total C),3287.9
2025/12/15,Netherlands,2023,Chlorides (as total Cl),104100000
2025/12/15,Netherlands,2023,Xylenes,1444.2369999999999
2025/12/15,Poland,2007,Arsenic and compounds (as As),160859.68
2025/12/15,Poland,2007,Benzene,46500
2025/12/15,Poland,2007,Mercury and compounds (as Hg),349.27
2025/12/15,Poland,2007,Naphthalene,17300
2025/12/15,Poland,2007,Zinc and compounds (as Zn),253157
2025/12/15,Poland,2008,Lead and compounds (as Pb),68198.7
2025/12/15,Poland,2009,Tetrachloromethane (TCM),17.5
2025/12/15,Poland,2010,Benzene,807
2025/12/15,Poland,2010,Mercury and compounds (as Hg),1809.45
2025/12/15,Poland,2010,Zinc and compounds (as Zn),354449
2025/12/15,Poland,2011,Copper and compounds (as Cu),51477.90000000001
2025/12/15,Poland,2011,Fluorides (as total F),362360
2025/12/15,Poland,2011,Lead and compounds (as Pb),49419.799999999996
2025/12/15,Poland,2013,Benzene,200
2025/12/15,Poland,2013,Mercury and compounds (as Hg),2327.9499999999994
2025/12/15,Poland,2014,Copper and compounds (as Cu),28203.4
2025/12/15,Poland,2014,Fluorides (as total F),427730
2025/12/15,Poland,2017,Copper and compounds (as Cu),36087.4
2025/12/15,Poland,2017,Fluorides (as total F),1332670
2025/12/15,Poland,2019,Nickel and compounds (as Ni),13481.199999999999
2025/12/15,Poland,2020,Fluorides (as total F),1246080
2025/12/15,Poland,2022,Nickel and compounds (as Ni),10082.3
2025/12/15,Poland,2023,Halogenated organic compounds (as AOX),60400
2025/12/15,Portugal,2007,Total phosphorus,66650
