PublicationDate,countryName,reportingYear,wasteTreatment,wasteClassification,wasteTransfers
2025/12/15,Spain,2010,Recovery,HW,765947.3911000002
2025/12/15,Sweden,2019,Recovery,HW,612520.94
2025/12/15,Germany,2013,Disposal,NONHW,16990762.786
2025/12/15,Spain,2014,Disposal,HW,846879.2077899999
2025/12/15,Norway,2014,Recovery,HW,426319.36899999995
2025/12/15,Spain,2013,Recovery,HW,878895.5431999998
2025/12/15,Portugal,2013,Recovery,HW,108128.235
2025/12/15,Portugal,2016,Disposal,NONHW,139736.393
2025/12/15,Czechia,2013,Recovery,HW,105418.48838000001
2025/12/15,Malta,2012,Disposal,NONHW,28300
2025/12/15,Norway,2017,Disposal,HW,678150.9800000001
2025/12/15,Slovenia,2020,Recovery,HW,71064.18599999997
2025/12/15,Germany,2007,Recovery,NONHW,52008495.199999996
2025/12/15,Hungary,2010,Recovery,NONHW,1077611
2025/12/15,Sweden,2012,Disposal,NONHW,1141659.82
2025/12/15,Belgium,2007,Disposal,HW,680131.1489999999
2025/12/15,Slovenia,2009,Recovery,HW,22053.480999999996
2025/12/15,Slovakia,2015,Disposal,NONHW,356532.83
2025/12/15,Greece,2014,Recovery,HW,124636.40000000001
2025/12/15,Switzerland,2007,Recovery,NONHW,187166
2025/12/15,France,2013,Disposal,NONHW,5556200.788
2025/12/15,Switzerland,2007,Disposal,HW,344525.29699999996
2025/12/15,Czechia,2016,Recovery,HW,145747.86600000004
2025/12/15,Lithuania,2008,Disposal,NONHW,84194.3
2025/12/15,France,2009,Disposal,HW,1658140.0840000003
2025/12/15,Sweden,2007,Disposal,HW,157545.78900000002
2025/12/15,Estonia,2017,Disposal,HW,1735272.9710000004
2025/12/15,Switzerland,2014,Disposal,HW,465062.95700000005
2025/12/15,Cyprus,2022,Recovery,HW,6444.552000000001
2025/12/15,Latvia,2019,Disposal,HW,22860.010000000002
2025/12/15,Greece,2016,Recovery,HW,210491.55
2025/12/15,Malta,2010,Recovery,HW,2655.6
2025/12/15,Spain,2023,Disposal,HW,875696.6905900002
2025/12/15,Denmark,2016,Disposal,HW,96579.65300000002
2025/12/15,Lithuania,2018,Disposal,NONHW,8906.14
2025/12/15,Bulgaria,2017,Disposal,HW,71654.95
2025/12/15,France,2015,Disposal,HW,1991317.6126099997
2025/12/15,Netherlands,2014,Recovery,NONHW,18005398.895
2025/12/15,Belgium,2020,Recovery,NONHW,11590589.136
2025/12/15,Latvia,2008,Disposal,HW,430.56
2025/12/15,Italy,2010,Disposal,NONHW,9391012.983000001
2025/12/15,Poland,2007,Recovery,NONHW,64807189.815
2025/12/15,Ireland,2024,Disposal,HW,126255.52420000003
2025/12/15,France,2014,Disposal,NONHW,6039556.7095
2025/12/15,Iceland,2017,Disposal,HW,5563
