area_fips,own_code,industry_code,agglvl_code,year,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,avg_annual_pay
05079,5,10,71,2015,,263,1614,50593332,31350
05079,5,51,74,2015,,3,4,230915,54333
05081,5,10,71,2015,,210,2642,146679407,55520
05081,5,51,74,2015,N,2,0,0,0
05081,5,5415,76,2015,N,1,0,0,0
05083,5,10,71,2015,,449,4106,126532137,30819
05083,5,51,74,2015,,6,33,1445149,44352
05083,5,5415,76,2015,N,3,0,0,0
05085,5,10,71,2015,,1257,11013,352723418,32029
05085,5,51,74,2015,,15,92,3829817,41441
05085,5,5415,76,2015,,9,37,1967276,52813
05087,5,10,71,2015,,234,2639,83625355,31684
05087,5,51,74,2015,,6,44,3263683,73479
05089,5,10,71,2015,,251,3203,115198504,35962
05089,5,51,74,2015,N,3,0,0,0
05089,5,5415,76,2015,N,2,0,0,0
05091,5,10,71,2015,,816,11282,414348592,36727
05091,5,51,74,2015,,8,75,5510036,73142
05091,5,5415,76,2015,,4,6,393929,70554
05093,5,10,71,2015,,1114,15183,645896288,42541
05093,5,51,74,2015,,7,57,1507522,26371
05093,5,5415,76,2015,N,1,0,0,0
05095,5,10,71,2015,,280,1713,49532799,28916
05095,5,51,74,2015,N,4,0,0,0
05097,5,10,71,2015,,156,911,21516728,23632
05097,5,51,74,2015,N,2,0,0,0
05099,5,10,71,2015,,156,1942,71837487,36991
05099,5,51,74,2015,N,2,0,0,0
05101,5,10,71,2015,,103,614,13210793,21501
05101,5,51,74,2015,N,1,0,0,0
05103,5,10,71,2015,,621,5298,166538293,31435
05103,5,51,74,2015,,6,41,1785804,43118
05103,5,5415,76,2015,N,1,0,0,0
05105,5,10,71,2015,,135,839,28135981,33542
05105,5,51,74,2015,N,2,0,0,0
05105,5,5415,76,2015,N,1,0,0,0
05107,5,10,71,2015,,773,4348,134222380,30872
05107,5,51,74,2015,,8,40,1651831,41382
05109,5,10,71,2015,,228,1757,49056911,27922
05109,5,51,74,2015,,6,25,1281143,52114
05111,5,10,71,2015,,484,3997,138304373,34600
05111,5,51,74,2015,,5,53,1946311,36723
05111,5,5415,76,2015,N,1,0,0,0
05113,5,10,71,2015,,456,4815,140998477,29286
05113,5,51,74,2015,,7,63,1842754,29289
05113,5,5415,76,2015,N,1,0,0,0
05115,5,10,71,2015,,1747,22875,865645958,37842
05115,5,51,74,2015,,23,188,6730106,35862
05115,5,5415,76,2015,,14,28,2867277,102708
05117,5,10,71,2015,,233,1155,37406635,32398
05117,5,51,74,2015,N,3,0,0,0
05119,5,10,71,2015,,13970,193511,8722794195,45076
05119,5,51,74,2015,,191,5618,362400363,64513
05119,5,5415,76,2015,,235,3763,271846935,72248
05121,5,10,71,2015,,367,3199,84628864,26455
05121,5,51,74,2015,,5,33,1278920,38272
05121,5,5415,76,2015,N,1,0,0,0
05123,5,10,71,2015,,715,5873,174651070,29738
05123,5,51,74,2015,,5,63,2212207,35114
05123,5,5415,76,2015,N,1,0,0,0
05125,5,10,71,2015,,1890,18244,590991990,32393
05125,5,51,74,2015,,13,145,6512779,44967
05125,5,5415,76,2015,,17,29,2741019,93978
05127,5,10,71,2015,,169,2411,64148276,26602
05127,5,51,74,2015,N,2,0,0,0
05127,5,5415,76,2015,N,1,0,0,0
05129,5,10,71,2015,,160,1107,27002674,24400
05129,5,51,74,2015,N,2,0,0,0
05131,5,10,71,2015,,3619,58356,2331549815,39954
05131,5,51,74,2015,,40,902,54862581,60840
05131,5,5415,76,2015,,35,114,5926010,52212
05133,5,10,71,2015,,296,3646,111570433,30599
05133,5,51,74,2015,N,2,0,0,0
05135,5,10,71,2015,,359,2959,83692898,28289
05135,5,51,74,2015,,6,40,1624989,40880
05135,5,5415,76,2015,N,2,0,0,0
05137,5,10,71,2015,,259,1895,47877980,25271
05137,5,51,74,2015,N,2,0,0,0
05137,5,5415,76,2015,N,1,0,0,0
05139,5,10,71,2015,,1284,15941,775840681,48671
05139,5,51,74,2015,,9,135,4246414,31533
05139,5,5415,76,2015,N,2,0,0,0
05141,5,10,71,2015,,338,3172,129042464,40686
05141,5,51,74,2015,,7,32,1230366,38752
05141,5,5415,76,2015,N,1,0,0,0
05143,5,10,71,2015,,5652,83343,3476477753,41713
05143,5,51,74,2015,,80,950,44588523,46952
05143,5,5415,76,2015,,73,289,17818633,61692
05145,5,10,71,2015,,1752,20980,745092369,35514
05145,5,51,74,2015,,19,147,4844795,33070
05145,5,5415,76,2015,N,10,0,0,0
05147,5,10,71,2015,,193,1289,44047664,34165
05147,5,51,74,2015,N,3,0,0,0
05149,5,10,71,2015,,368,4995,138548228,27740
05149,5,51,74,2015,N,2,0,0,0
05999,5,10,71,2015,,8290,29152,1624745457,55733
05999,5,51,74,2015,,205,468,33287054,71202
05999,5,5415,76,2015,,886,1553,129015514,83088
06000,5,10,51,2015,,1381039,13916502,852817049214,61281
06000,5,51,54,2015,,20575,482179,70218324950,145627
06000,5,5415,56,2015,,22063,284206,39925485089,140481
06001,5,10,71,2015,,57791,623282,42427374281,68071
06001,5,51,74,2015,,621,13961,1851550133,132625
06001,5,5415,76,2015,,1379,23948,3355908315,140132
06003,5,10,71,2015,,81,234,7112333,30395
06003,5,51,74,2015,N,1,0,0,0
06003,5,5415,76,2015,N,1,0,0,0
06005,5,10,71,2015,,949,7313,269712696,36880
06005,5,51,74,2015,,11,172,9558474,55546
06005,5,5415,76,2015,,8,33,2434217,74899
06007,5,10,71,2015,,7417,63563,2357164654,37084
06007,5,51,74,2015,,55,1036,52210006,50420
06007,5,5415,76,2015,,28,365,26687199,73116
06009,5,10,71,2015,,1160,6229,195272633,31350
06009,5,51,74,2015,,9,106,5912194,56040
06009,5,5415,76,2015,N,2,0,0,0
06011,5,10,71,2015,,732,6887,276020292,40076
06011,5,51,74,2015,,3,15,809634,53382
06011,5,5415,76,2015,N,1,0,0,0
06013,5,10,71,2015,,29901,300660,19266785727,64082
06013,5,51,74,2015,,291,8289,859485325,103695
06013,5,5415,76,2015,,550,4431,525756050,118667
06015,5,10,71,2015,,690,4207,127133792,30219
06015,5,51,74,2015,,6,79,2981545,37701
06015,5,5415,76,2015,N,1,0,0,0
06017,5,10,71,2015,,4829,41434,1804418763,43550
06017,5,51,74,2015,,49,533,29744328,55797
06017,5,5415,76,2015,,103,332,28306393,85153
06019,5,10,71,2015,,30834,299241,11492850963,38407
06019,5,51,74,2015,,146,3908,323919692,82890
06019,5,5415,76,2015,,111,779,50801210,65227
06021,5,10,71,2015,,1099,6841,245995440,35958
06021,5,5415,76,2015,N,1,0,0,0
06023,5,10,71,2015,,4340,34291,1187177637,34620
06023,5,51,74,2015,,43,469,20326522,43371
06023,5,5415,76,2015,,20,80,4938028,61533
06025,5,10,71,2015,,6596,46286,1297892346,28041
06025,5,51,74,2015,,28,316,14255310,45088
06025,5,5415,76,2015,,10,62,3772677,61344
