unit,S_dig_core_d10,S99_dig_core_d10,S_dig_core_d15,S99_dig_core_d15,S_dig_core_d20,S99_dig_core_d20,S_dig_core_cum,S99_dig_core_cum,SP_dig_core_d15,S_dig_broad_d10,S99_dig_broad_d10,S_dig_broad_d15,S99_dig_broad_d15,S_dig_broad_d20,S99_dig_broad_d20,S_dig_broad_cum,S99_dig_broad_cum,SP_dig_broad_d15,S_nondig_d10,S99_nondig_d10,S_nondig_d15,S99_nondig_d15,S_nondig_d20,S99_nondig_d20,S_nondig_cum,S99_nondig_cum,SP_nondig_d15,S_nondig_broad_d10,S99_nondig_broad_d10,S_nondig_broad_d15,S99_nondig_broad_d15,S_nondig_broad_d20,S99_nondig_broad_d20,S_nondig_broad_cum,S99_nondig_broad_cum,SP_nondig_broad_d15,S_total_d10,S99_total_d10,S_total_d15,S99_total_d15,S_total_d20,S99_total_d20,S_total_cum,S99_total_cum,SP_total_d15,S_mech_chem_d10,S99_mech_chem_d10,S_mech_chem_d15,S99_mech_chem_d15,S_mech_chem_d20,S99_mech_chem_d20,S_mech_chem_cum,S99_mech_chem_cum,SP_mech_chem_d15,country,group,pop04,emp04,gva_tot04_eur,gva_ind04_eur,ln_gvapc04,ind_share04,ln_pop04,ln_gvapc00,ind_share00,g_ind,defl,g_ind_real,g_ind_smooth,g_man,g_tot,g_ind_0512,g_ind_1219,g_ind_0004,g_ind_0004_real,g_tot_0004
PL41,3.0982113284228516,3.6601997128196104,2.175833403917914,2.9947994005997267,1.610841211820783,2.5916785028710403,7.82,6.69,9.84602258296875,5.4495123500099485,4.813988975274684,4.287005264141816,4.101777041810415,3.531609274185574,3.662137677568279,10.92,8.02,12.677679088367189,42.86955574030512,15.975631662356877,36.93829261765461,12.87405518759618,32.77971526890014,11.031113491516521,70.49,32.14,94.16086685584374,40.518254718718026,14.821842399901806,34.82712075743071,11.767077546385494,30.858947206535348,9.960654316819284,67.39,30.810000000000002,91.32921035044531,45.96776706872797,19.635831375176487,39.114126021572524,15.868854588195909,34.39055648072092,13.622791994387564,78.31,38.830000000000005,104.00688943881246,27.793175407432628,8.023857148186464,24.271506855416405,6.103328953079428,21.833415548791372,5.046409755833039,45.96000000000001,19.56,60.65203051984374,PL,ACC,3361.9,1318.1,17276.88,4670.63,8.5446181801562,0.27033989933367597,8.120261569326312,8.445110143734654,0.24774117114359,6.60537585095102,0.8591096404121729,5.746266210538847,6.493263209362856,6.792907409396865,6.315757697674508,7.717962749836741,5.492788952065299,7.860302644573558,5.632998425655872,5.677959380559594
PL42,0.3126483346230001,0.5294727000000001,0.18309319603687202,0.412645940625,0.10388452147200006,0.3170304000000001,0.8400000000000001,0.8400000000000001,2.167149448757812,0.4948983346230001,0.5294727000000001,0.336624446036872,0.412645940625,0.23188452147200006,0.3170304000000001,1.09,0.8400000000000001,5.314961217507813,7.0333783929989995,2.1526670951226916,6.305532614033329,1.7004560071237125,5.805254843811243,1.395431041904428,10.360000000000001,4.15,38.45840880048438,6.851128392998999,2.1526670951226916,6.152001364033329,1.7004560071237125,5.677254843811244,1.395431041904428,10.110000000000001,4.15,35.310597031734375,7.342152522731999,2.6755787951226915,6.486309640607368,2.1078818852487125,5.907797188003244,1.708365441904428,11.190000000000001,4.98,40.62555824924219,4.155977060392859,2.008462565653709,3.6273230434040595,1.5941279571766678,3.2987829419916284,1.308541693089686,6.77,3.7,19.666132936249998,PL,ACC,1695.7,529.5,7298.3,1458.2,8.367301088373218,0.19979995341380868,7.4358509139130815,8.36031750933499,0.21119599538565226,5.987048796553206,0.8591096404121729,5.127939156141033,6.00619340819372,6.03978570133048,5.427312775547755,6.682527896462328,5.291569696644086,1.8017682672000657,-0.4255359517176198,3.188474701041377
PL43,13.778613,0.0,13.3054245625,0.0,12.855568,0.0,14.8,0.0,30.69267030804687,13.778613,0.0,13.3054245625,0.0,12.855568,0.0,14.8,0.0,33.62310904547657,4.682589408788909,1.3800223692000004,4.12249030990375,0.8472184112146481,3.7968363004887054,0.5128060928000002,7.620000000000001,3.5,23.395022901140624,4.682589408788909,1.3800223692000004,4.12249030990375,0.8472184112146481,3.7968363004887054,0.5128060928000002,7.620000000000001,3.5,20.46458416371094,18.46120240878891,1.3800223692000004,17.42791487240375,0.8472184112146481,16.652404300488705,0.5128060928000002,22.42,3.5,54.0876932091875,2.558250188738908,1.0847773692000002,2.1240531077333875,0.6253657549646484,1.893149209288704,0.3489660928000001,5.07,3.0,9.186195013679686,PL,ACC,1009.0999999999999,312.2,4286.47,1201.07,8.35415998488907,0.2802002580211689,6.916814123470483,8.264616437430625,0.242276991588828,6.065876417333056,0.8591096404121729,5.206766776920883,6.147413355141463,6.377458528539405,5.29475330682349,7.385582721939902,4.74617011272621,8.935930230441524,6.7086260115238385,5.3002404772474865
PL51,0.19603476743400003,0.3319866,0.11326068673248633,0.25526105625,0.06335076761600004,0.19333120000000006,0.54,0.54,30.03396705699219,7.29908449952865,1.8206650401000004,6.658614747239987,1.5046354605907224,6.174384739704832,1.2707053824,9.56,2.87,34.79361153765625,39.4266063413076,18.256407968479717,32.761418227588116,13.5747926222725,28.3893759770297,10.425830008025207,69.99000000000001,37.050000000000004,94.88342944521875,32.323556609212936,16.76772952837971,26.216064167080614,12.325418217931778,22.27834200494087,9.348455825625207,60.970000000000006,34.720000000000006,90.12378496455469,39.62264110874159,18.58839456847971,32.8746789143206,13.8300536785225,28.4527267446457,10.619161208025204,70.53,37.589999999999996,124.91739650221093,15.298207635862635,7.049570078854227,12.697434299517713,5.141061641036167,11.04829177054609,3.916320100543482,28.039999999999996,15.239999999999998,44.09699873403906,PL,ACC,2895.7,970.8,13939.21,4131.18,8.479234133262246,0.2963711716804611,7.970982156979451,8.400803934385006,0.2716954222366129,6.341715994566156,0.8591096404121729,5.482606354153983,6.191911015053884,6.578971403566568,6.452012146848053,10.851979743960019,1.8314522451722937,7.013998184496328,4.7866939655786425,4.840772723877951
PL52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.012256699132813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.783239355382812,5.795373295218474,3.1465533628316718,4.722953924863452,2.552169380129864,4.026960299565701,2.2468270860769657,11.9,7.109999999999999,17.00093275991406,5.795373295218474,3.1465533628316718,4.722953924863452,2.552169380129864,4.026960299565701,2.2468270860769657,11.9,7.109999999999999,16.229950103664063,5.795373295218474,3.1465533628316718,4.722953924863452,2.552169380129864,4.026960299565701,2.2468270860769657,11.9,7.109999999999999,24.01318945904687,4.034786958229882,0.9921454355363871,3.3987315625137198,0.49504140208760705,3.032206785676552,0.25795527855393113,8.52,4.3999999999999995,8.16953038640625,PL,ACC,1053.6999999999998,322.2,4288.46,1388.18,8.311375193493024,0.32370128204530296,6.960063058605482,8.189522680020984,0.26881834507242697,5.352120785404121,0.8591096404121729,4.493011144991947,5.131841429409064,5.70250604124534,5.190917559331824,5.861638160474517,4.842603410333725,10.288264241016298,8.060960022098612,5.643707257861541
PL61,0.216,0.0,0.204,0.0,0.192,0.0,0.24,0.0,2.035460703125,1.556,0.0,1.544,0.0,1.532,0.0,1.58,0.0,4.692583790624999,6.836287421299893,0.8532869672642946,6.397169301322197,0.3937423023804733,6.178446145960194,0.17518965441953802,10.2,3.62,41.29680479820313,5.496287421299893,0.8532869672642946,5.057169301322197,0.3937423023804733,4.838446145960194,0.17518965441953802,8.86,3.62,38.639681710703115,7.052287421299893,0.8532869672642946,6.601169301322197,0.3937423023804733,6.370446145960194,0.17518965441953802,10.440000000000001,3.62,43.33226550132812,1.6884965773165594,0.6630028913555851,1.4185731003864734,0.3111819860991035,1.3102300131249116,0.14108280372592646,4.0600000000000005,2.73,16.3316112346875,PL,ACC,2067.6,702.2,8714.33,2203.54,8.346335561714687,0.2528639608552809,7.6341437933218845,8.263751595521356,0.2618611445629338,6.101363638205929,0.8591096404121729,5.242253997793756,5.950936907080016,6.135029010976239,5.4575827193047335,7.4606608164245865,4.742066459987271,4.213061670849605,1.9857574519319194,5.087071085431161
PL62,0.378,0.0,0.357,0.0,0.336,0.0,0.42,0.0,1.087539709375,0.432,0.0,0.408,0.0,0.384,0.0,0.48,0.0,1.087539709375,2.7534548141594004,1.5116273165665803,2.337665175903396,1.2758114112131491,2.0411635581018968,1.0858751162777602,4.25,2.2,8.912951681874999,2.6994548141594,1.5116273165665803,2.286665175903396,1.2758114112131491,1.9931635581018967,1.0858751162777602,4.19,2.2,8.912951681874999,3.1314548141594,1.5116273165665803,2.6946651759033964,1.2758114112131491,2.3771635581018966,1.0858751162777602,4.67,2.2,10.000491391249998,1.3364358871000004,1.46079,0.9964358939422852,1.2516303125,0.7635606784000002,1.07488,2.55,2.0,3.4813422539062495,PL,ACC,1428.4,424.0,5159.710000000001,1246.13,8.192080718607698,0.24151163534384681,7.264310215720293,8.120841810915982,0.2134752261129428,5.756339235733053,0.8591096404121729,4.89722959532088,5.8142556143328035,5.7662948725906125,5.337184354170458,7.118789458166118,4.393889013299988,7.958573532444779,5.731269313527093,4.873633037829839
PL63,2.5679381520593996,0.75333731656658,2.172419960281424,0.7048060987131493,1.8454716797018968,0.67099511627776,3.7,0.95,6.082072628125,4.312832357557733,1.12985208480708,3.6976287590333135,0.9998519772812353,3.199168054770323,0.91855485464576,6.26,1.71,8.349703756835936,28.992560094040634,17.00009330224159,23.208336760687537,13.646911367975875,19.248389444038832,11.354948254513031,53.70000000000001,30.56,66.50966293480468,27.24766588854231,16.623578534001094,21.683127961935643,13.351865489407789,17.894693068970405,11.107388516145031,51.14000000000001,29.8,64.24203180609375,31.56049824610004,17.75343061880817,25.38075672096896,14.351717466689024,21.093861123740723,12.025943370790792,57.400000000000006,31.509999999999998,72.59173556292968,15.963279590689902,9.469511068248236,12.866401110884887,7.4970521361176825,10.79732548617704,6.172843890921142,29.93,17.68,40.139560008039055,PL,ACC,2192.5,722.3000000000001,10213.4,2521.21,8.446413417316057,0.24685315370004113,7.692797724246338,8.358427466982416,0.24790342003593205,6.655266334815201,0.8591096404121729,5.796156694403027,6.472739873181251,6.775072222141328,6.3503561421461825,8.944323970442117,4.366208699188284,5.410487900625194,3.1831836817075083,5.516617163542081
PL71,0.26544835320300003,0.017714700000000003,0.22829173213022164,0.013311159374999996,0.19598922547200004,0.009830400000000003,0.36,0.03,13.532623374999998,0.6409917451792171,0.6203673985659656,0.44510836323945185,0.46666710969220576,0.33626556595213747,0.40041981796916926,2.21,1.85,20.95551810625,35.40374803075419,23.15920342555198,28.4572113800024,19.17512990111517,23.78345197198415,16.530554113721163,66.97999999999999,41.02,137.9168960897656,35.02820463877797,22.556550726986018,28.240394748893166,18.72177395079796,23.643175631504015,16.139964695751992,65.13,39.2,130.49400135851562,35.66919638395719,23.17691812555198,28.685503112132615,19.188441060490167,23.979441197456154,16.540384513721165,67.33999999999999,41.05,151.44951946476561,19.20751270000733,12.926172670167709,15.2918974814136,10.386933712707346,12.71396075858808,8.648464229089594,36.99,23.330000000000002,56.49976742727343,PL,ACC,2592.6,977.0,11569.77,3163.16,8.40348970780892,0.27339869331888184,7.860416512165942,8.267602178695904,0.26561952956848994,6.079929755188384,0.8591096404121729,5.2208201147762106,5.976203009145879,5.78954307142494,5.769128925799714,8.283651433084747,3.876208077292022,6.7816529848434115,4.554348765925726,6.060054086976985
PL72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,5.874152799468803,0.6945973673877661,5.329548088744639,0.5615733725176884,4.8694905638917545,0.4806230587516912,7.7,1.42,22.494983546406246,5.874152799468803,0.6945973673877661,5.329548088744639,0.5615733725176884,4.8694905638917545,0.4806230587516912,7.7,1.42,21.504983546406244,5.874152799468803,0.6945973673877661,5.329548088744639,0.5615733725176884,4.8694905638917545,0.4806230587516912,7.7,1.42,22.494983546406246,3.390152799468802,0.6945973673877661,3.07917308874464,0.5615733725176884,2.8374905638917545,0.4806230587516912,4.7,1.42,15.272386297968751,PL,ACC,1290.2,477.09999999999997,5058.54,1127.28,8.274035937981132,0.22284690839649385,7.162552524098142,8.149054908941492,0.22397428080483342,6.1696716456528815,0.8591096404121729,5.310562005240708,5.7541441288902275,5.509389264124463,5.211263992255904,8.353668241336061,3.985675049969701,5.783966625795278,3.5566624068775927,5.9099378027056115
PL81,0.3550500000000001,0.0,0.2865031249999999,0.0,0.22880000000000003,0.0,0.53,0.0,4.62768625,0.3550500000000001,0.0,0.2865031249999999,0.0,0.22880000000000003,0.0,0.53,0.0,7.7862575624999995,6.948215562495633,3.70232444663861,5.448714993174566,2.9059855873926823,4.406500503359575,2.40191804003776,13.59,7.42,49.01470195986718,6.948215562495633,3.70232444663861,5.448714993174566,2.9059855873926823,4.406500503359575,2.40191804003776,13.59,7.42,45.85613064736718,7.303265562495634,3.70232444663861,5.735218118174565,2.9059855873926823,4.635300503359574,2.40191804003776,14.12,7.42,53.64238820986718,4.725525372133871,2.0219231013799916,3.7957675511807754,1.771260178862014,3.067369434639403,1.6020795734845032,7.87,3.12,29.07580785741406,PL,ACC,2187.9,790.5,7527.61,1499.29,8.143390693658313,0.19917211438956056,7.690697458658297,8.056609875819127,0.1979083048883285,6.091115954143193,0.8591096404121729,5.23200631373102,5.833466830643398,5.726494104616301,5.607534365828545,7.756511026220636,4.425720882065752,5.147669554364365,2.920365335446679,4.98841550740301
PL82,3.28,0.0,3.0925,0.0,2.9099999999999997,0.0,3.67,0.0,6.189152521492187,4.26,0.0,4.0475,0.0,3.84,0.0,4.7,0.0,8.469340422468747,11.658480229713213,5.511321495221279,9.83059626314183,4.666024847610609,8.513518438947782,4.089106564171695,19.150000000000002,9.27,42.20215574564843,10.678480229713214,5.511321495221279,8.87559626314183,4.666024847610609,7.583518438947782,4.089106564171695,18.119999999999997,9.27,39.92196784467188,14.938480229713214,5.511321495221279,12.92309626314183,4.666024847610609,11.423518438947783,4.089106564171695,22.819999999999997,9.27,48.391308267140616,6.189895494010371,3.9777057935110993,5.073545153561813,3.4883262831382336,4.263892065296348,3.1258913125498884,10.33,5.76,28.63269710625,PL,ACC,2097.3,746.7,7251.48,2061.51,8.148310061742531,0.284288172897119,7.64840608218605,8.052142713484391,0.2700633775809197,6.695568765835944,0.8591096404121729,5.8364591254237705,6.5688838916768,6.660284294700945,5.998450296427332,7.154652068815156,6.23648546285673,6.689913289805283,4.462609070887597,5.406680730545954
