NUTS_ID,year,co2_region_t,log_emissions,d_log_emissions,dii_regional_composite,n_components,CNTR_CODE
DEG0,2020,2237000000.0,21.528401519454405,0.10700096043700924,,,DE
DEG0,2021,2234000000.0,21.52705953759342,-0.0013419818609854417,,,DE
DEG0,2022,1990000000.0,21.41140047568281,-0.11565906191060904,,,DE
DEG0,2023,1712000000.0,21.260928114665962,-0.15047236101684902,,,DE
DEG0,2024,1515000000.0,21.138681275907743,-0.12224683875821896,,,DE
DK01,2007,4262000000.0,22.173004370622838,,,,DK
DK01,2008,3663000000.0,22.02154832074309,-0.15145604987974792,,,DK
DK01,2009,4355000000.0,22.194590447250878,0.17304212650778794,,,DK
DK01,2010,4084000000.0,22.13034273724883,-0.06424771000204643,,,DK
DK01,2011,3436000000.0,21.95757384106842,-0.17276889618041125,,,DK
DK01,2012,2533000000.0,21.65267020796595,-0.3049036331024695,,,DK
DK01,2013,3113000000.0,21.858852728405882,0.20618252043993124,,,DK
DK01,2014,2571000000.0,21.667560765230164,-0.1912919631757184,,,DK
DK01,2015,2273000000.0,21.54436638181682,-0.12319438341334532,,,DK
DK01,2016,2380000000.0,21.590366324629795,0.04599994281297626,,,DK
DK01,2017,1698000000.0,21.252716924835568,-0.3376493997942269,,,DK
DK01,2018,1839745526.227,21.332893098039257,0.08017617320368942,,,DK
DK01,2019,685760458.88,20.346038939404654,-0.9868541586346034,,,DK
DK01,2020,1358138875.0,21.029381125213625,0.6833421858089714,,,DK
DK01,2021,1305911270.1455631,20.99016692532842,-0.03921419988520469,,,DK
DK01,2022,1362032095.231198,21.032243609176703,0.04207668384828267,,,DK
DK01,2023,4526151228.83,22.23313779695129,1.200894187774587,-0.041878472770481234,2.0,DK
DK01,2024,4475548702.04,22.221894796137633,-0.011243000813657034,0.09603536084295261,2.0,DK
DK01,2025,,,,1.2097115441159292,4.0,DK
DK02,2007,4996000000.0,22.331903429209742,,,,DK
DK02,2008,3804000000.0,22.059318981629556,-0.2725844475801864,,,DK
DK02,2009,2996000000.0,21.820543902601383,-0.23877507902817285,,,DK
DK02,2010,2688000000.0,21.712063259607316,-0.10848064299406701,,,DK
DK02,2011,2324000000.0,21.566555675936076,-0.14550758367123962,,,DK
DK02,2012,1520000000.0,21.141976171804597,-0.42457950413147927,,,DK
DK02,2013,1946000000.0,21.389041820710226,0.24706564890562888,,,DK
DK02,2014,1588000000.0,21.185741199771353,-0.20330062093887236,,,DK
DK02,2015,1250000000.0,20.94640938826062,-0.23933181151073413,,,DK
DK02,2016,1384000000.0,21.04824369414189,0.10183430588126896,,,DK
DK02,2017,1594000000.0,21.189512417314436,0.1412687231725478,,,DK
DK02,2018,1135129898.0,20.850012928908246,-0.33949948840619015,,,DK
DK02,2019,987424101.2,20.7106101922414,-0.13940273666684533,,,DK
DK02,2020,807054589.012,20.50890186832315,-0.20170832391825044,,,DK
DK02,2021,813785789.66,20.51720773166891,0.00830586334576111,,,DK
DK02,2022,791264690.3,20.489143097190283,-0.028064634478628392,,,DK
DK02,2023,892929813.0,20.610018538887378,0.12087544169709474,0.5491701957920407,2.0,DK
DK02,2024,582939486.0,20.183593941328795,-0.426424597558583,1.21881213432443,2.0,DK
DK02,2025,,,,1.7494114697493783,4.0,DK
DK03,2007,4925000000.0,22.317590111570464,,,,DK
DK03,2008,6605000000.0,22.6110927749207,0.29350266335023534,,,DK
DK03,2009,6532000000.0,22.59997901205463,-0.011113762866070687,,,DK
DK03,2010,6337000000.0,22.56967130728779,-0.030307704766837418,,,DK
DK03,2011,5452000000.0,22.4192483507807,-0.15042295650709292,,,DK
DK03,2012,4578000000.0,22.244528058476785,-0.17472029230391328,,,DK
DK03,2013,4835000000.0,22.29914696585167,0.054618907374884174,,,DK
DK03,2014,3779000000.0,22.052725261313764,-0.24642170453790513,,,DK
DK03,2015,2091000000.0,21.46090825739291,-0.5918170039208555,,,DK
DK03,2016,2970000000.0,21.81182778976102,0.3509195323681098,,,DK
DK03,2017,2480000000.0,21.6315243971233,-0.18030339263771822,,,DK
DK03,2018,2771438880.7790003,21.742632473822173,0.11110807669887279,,,DK
DK03,2019,2853041745.3271,21.77165154115173,0.029019067329556947,,,DK
DK03,2020,2690122955.474,21.71285273787021,-0.058798803281518985,,,DK
DK03,2021,3065562244.3945,21.843496829770697,0.13064409190048565,,,DK
DK03,2022,3169801314.590561,21.876934746086018,0.03343791631532156,,,DK
DK03,2023,2203812245.1046,21.513454536361802,-0.3634802097242158,0.4904971031702707,2.0,DK
