country_code,year,verified_emissions_t,log_emissions,d_log_emissions,digital_multi,digital_single,genai_share,climate_target_share,energy_efficiency_invest_share,energy_efficiency_firms_share,gdp_per_capita,industry_va_share,electricity_price,log_gdp_per_capita
EE,2025,4123789.0,15.232282958891544,-0.08666123312268326,0.4,0.32,0.37,0.33,0.08,0.34,21820,16.5,0.1242,9.990582259387061
EL,2023,25466136.0,17.052860127555196,-0.2167673434183648,0.39,0.23,,0.25,0.11,0.33,18600,14.8,0.1543,9.830916859701293
EL,2024,26549389.0,17.094517292204742,0.041657164649546274,0.32,0.22,,0.29,0.09,0.37,19020,15.1,0.147,9.853246336099382
EL,2025,25797702.0,17.065795976157457,-0.028721316047285228,0.31,0.26,0.19,0.33,0.1,0.38,19400,15.2,0.15795,9.87302834505142
ES,2023,81133557.0,18.211607206624755,-0.17140159700627322,0.56,0.22,,0.49,0.14,0.49,27150,16.1,0.14745,10.20913232536208
ES,2024,76911171.0,18.15816169050568,-0.05344551611907633,0.59,0.22,,0.5,0.16,0.54,27800,15.6,0.1225,10.232791299678729
ES,2025,78478629.0,18.17833690364983,0.020175213144149495,0.66,0.19,0.5,0.6,0.12,0.6,28320,15.7,0.11975,10.251323547807656
FI,2023,15359928.0,16.547272598172814,-0.21376624019067236,0.54,0.28,,0.49,0.11,0.57,43280,20.6,0.0925,10.675445913520363
FI,2024,13267526.0,16.400829953358166,-0.1464426448146483,0.62,0.18,,0.6,0.11,0.63,43330,20.1,0.08125,10.676600514733956
FI,2025,11870873.0,16.28959831063795,-0.11123164272021668,0.58,0.21,0.66,0.61,0.12,0.7,43450,19.9,0.07,10.679366130693538
FR,2023,70652409.0,18.073282764178042,-0.18412052737665974,0.23,0.36,,0.53,0.12,0.44,37730,14.7,0.2005,10.538210812958356
FR,2024,63827920.0,17.971701270143242,-0.1015814940348001,0.33,0.3,,0.57,0.14,0.46,38180,14.0,0.15195,10.550067097279738
FR,2025,52360859.0,17.77366990452457,-0.19803136561867163,0.29,0.32,0.24,0.52,0.12,0.42,38360,13.5,0.13035,10.554770528997375
HR,2023,6567049.0,15.697575126695448,0.01714711415829484,0.32,0.32,,0.29,0.12,0.49,16490,18.0,0.23804999999999998,9.710509415553645
HR,2024,5513270.0,15.522668471522223,-0.17490665517322412,0.33,0.28,,0.32,0.14,0.51,17060,15.5,0.1724,9.74449182104567
HR,2025,5740215.0,15.563007224040266,0.04033875251804275,0.29,0.26,0.23,0.36,0.12,0.44,17590,14.9,0.14945,9.775085837731604
HU,2023,13436680.0,16.41349883873435,-0.1466502615761911,0.28,0.26,,0.51,0.18,0.58,16050,23.3,0.2494,9.683464128558162
HU,2024,12799176.0,16.364891351817686,-0.04860748691666217,0.25,0.27,,0.49,0.17,0.57,16210,21.7,0.1847,9.693383614729722
HU,2025,11063058.0,16.2191220077042,-0.14576934411348574,0.37,0.24,0.21,0.52,0.14,0.54,16370,20.7,0.17495,9.70320567036518
IE,2023,12193816.0,16.31643949594783,-0.18598097355108933,0.48,0.3,,0.35,0.06,0.5,87630,33.0,0.26544999999999996,11.380878684049897
IE,2024,11294199.0,16.239799789034898,-0.07663970691293187,0.47,0.28,,0.4,0.1,0.56,89300,32.0,0.22875,11.39975676686459
IE,2025,10670686.0,16.18301091361989,-0.05678887541500899,0.45,0.27,0.34,0.32,0.08,0.45,94930,32.2,0.2255,11.460895056875843
IT,2023,114784026.0,18.558562885826525,-0.1717672793491687,0.42,0.28,,0.38,0.1,0.47,32630,20.3,0.20975,10.392987389587367
IT,2024,101392574.0,18.43451041172556,-0.12405247410096365,0.44,0.28,,0.4,0.12,0.48,32900,19.8,0.1739,10.401227936753463
IT,2025,101173099.0,18.432343459323096,-0.0021669524024652276,0.45,0.29,0.2,0.35,0.13,0.48,33080,19.7,0.18464999999999998,10.406684149137627
LT,2023,4752053.0,15.374087293161075,-0.06403462509548774,0.36,0.32,,0.32,0.09,0.45,19220,19.8,,9.863706682524283
LT,2024,4961894.0,15.417298080651815,0.04321078749073948,0.34,0.3,,0.31,0.18,0.49,19690,18.0,,9.88786617163317
LT,2025,4612455.0,15.344270811185767,-0.07302726946604743,0.44,0.27,0.44,0.32,0.11,0.33,20260,17.3,0.1461,9.916403777802675
LU,2023,883632.0,13.691795965354453,-0.24888361789946778,0.36,0.36,,0.38,0.09,0.32,102250,5.7,0.19485,11.535176073905049
LU,2024,831051.0,13.630446443795567,-0.06134952155888662,0.3,0.25,,0.37,0.13,0.32,101000,5.7,0.15635,11.522875795823397
LU,2025,667686.0,13.411573282125765,-0.21887316166980142,0.36,0.4,0.43,0.41,0.11,0.44,100380,5.1,0.1454,11.516718263208924
LV,2023,1739119.0,14.368889221127445,0.02866729413873159,0.39,0.19,,0.3,0.07,0.44,16770,16.8,,9.727346854817254
LV,2024,1600151.0,14.28560855775697,-0.08328066337047524,0.35,0.24,,0.49,0.1,0.43,16910,15.3,0.1499,9.735660441892627
LV,2025,1659267.0,14.321886496548574,0.03627793879160457,0.6,0.15,0.38,0.4,0.1,0.43,17520,15.1,0.14065,9.771098364490383
MT,2023,797185.0,13.588842051288262,0.0008219788818948359,0.55,0.2,,0.45,0.1,0.39,32760,7.9,,10.396963537967006
MT,2024,736465.0,13.509616991691798,-0.07922505959646386,0.54,0.22,,0.45,0.13,0.53,33540,7.6,,10.4204940353772
MT,2025,718878.0,13.485446942194619,-0.02417004949717949,0.6,0.17,0.41,0.4,0.13,0.42,34360,7.1,,10.444648376098192
NL,2023,58888869.0,17.891162649438318,-0.1515054407855274,0.56,0.23,,0.49,0.09,0.54,50660,15.1,0.20955000000000001,10.832891923555666
NL,2024,59865342.0,17.907608297970683,0.016445648532364743,0.57,0.33,,0.5,0.1,0.6,50870,15.0,0.16255,10.837028637816811
NL,2025,61854185.0,17.940290318216192,0.03268202024550959,0.65,0.2,0.54,0.57,0.14,0.65,51400,15.0,0.1523,10.847393451443256
PL,2023,153018903.0,18.846072020744767,-0.18516663301958047,0.32,0.29,,0.37,0.15,0.55,15950,25.6,0.14905,9.67721410821299
PL,2024,148707821.0,18.8174940058778,-0.028578014866965873,0.41,0.25,,0.44,0.17,0.57,16510,22.9,0.13615,9.711721536914174
PL,2025,113915915.0,18.550971146487818,-0.2665228593899833,0.42,0.23,0.26,0.45,0.17,0.53,17170,21.6,0.13945,9.75091895389152
PT,2023,12762063.0,16.36198749992857,-0.23799576022565105,0.32,0.24,,0.39,0.13,0.48,22130,16.6,0.158,10.004689433045096
PT,2024,11322162.0,16.24227260190245,-0.11971489802612112,0.41,0.24,,0.36,0.12,0.48,22370,16.4,0.1149,10.015476054484175
PT,2025,11396005.0,16.24877341335028,0.00650081144782888,0.41,0.29,0.24,0.43,0.12,0.46,22560,15.9,0.11755,10.023933705611995
RO,2023,23830020.0,16.986456688352792,-0.1669860524503477,0.35,0.31,,0.3,0.11,0.47,12970,20.9,0.1554,9.47039427731049
