country_name,year,co2_eprtr,country_code,log_co2,d_log_co2
Estonia,2013,14835000000.0,EE,23.420255090689196,0.19334263258073037
Estonia,2014,14358800000.0,EE,23.387628831615093,-0.0326262590741031
Estonia,2015,2384984000.0,EE,21.592458252668827,-1.7951705789462657
Estonia,2016,12987915000.0,EE,23.287285146662978,1.6948268939941507
Estonia,2017,14193650000.0,EE,23.376060518438855,0.08877537177587769
Estonia,2018,13649427600.0,EE,23.336963423632188,-0.03909709480666734
Estonia,2019,7994850000.0,EE,22.802063421330246,-0.5349000023019421
Estonia,2020,5191930000.0,EE,22.37037133397688,-0.4316920873533654
Estonia,2021,6410124000.0,EE,22.581144452465672,0.21077311848879177
Estonia,2022,8070393700.0,EE,22.811468103664062,0.2303236511983897
Estonia,2023,5196450200.0,EE,22.371241575573404,-0.4402265280906583
Estonia,2024,4435202000.0,EE,22.212838998457652,-0.15840257711575134
Finland,2009,30214084000.0,FI,24.131574010232214,
Finland,2010,38311025000.0,FI,24.36900355071739,0.23742954048517717
Finland,2011,32323565000.0,FI,24.199062367734175,-0.1699411829832158
Finland,2012,26589330000.0,FI,24.003775844441233,-0.1952865232929426
Finland,2013,28869351000.0,FI,24.086046350285443,0.08227050584421036
Finland,2014,25494950000.0,FI,23.96174623028275,-0.12430012000269386
Finland,2015,23035219000.0,FI,23.86029014256064,-0.10145608772210934
Finland,2016,24139734000.0,FI,23.907125033499575,0.04683489093893556
Finland,2017,21303229000.0,FI,23.782124494416372,-0.12500053908320297
Finland,2018,24091258000.0,FI,23.90511487304825,0.12299037863187934
Finland,2019,23118915900.0,FI,23.863916989512802,-0.04119788353544962
Finland,2020,17617200200.0,FI,23.592141545850232,-0.27177544366256967
Finland,2021,18391267900.0,FI,23.635141818264884,0.043000272414651874
Finland,2022,17280375400.0,FI,23.572837324623382,-0.062304493641502035
Finland,2023,13901551200.0,FI,23.355266267978863,-0.2175710566445197
Finland,2024,11606958900.0,FI,23.174870660359968,-0.18039560761889462
Ireland,2021,849233430.0,IE,20.55984465348109,
Ireland,2022,721163830.0,IE,20.396376895512184,-0.1634677579689061
Ireland,2023,609555980.0,IE,20.228241348443262,-0.1681355470689212
Ireland,2024,646845475.9,IE,20.287617992255647,0.059376643812385055
Malta,2008,2015000000.0,MT,21.42388503234506,
Malta,2009,1897000000.0,MT,21.363539527899288,-0.06034550444577036
Malta,2010,1878000000.0,MT,21.353473217732482,-0.010066310166806147
Malta,2011,1936000000.0,MT,21.383889825800797,0.030416608068314588
