instrument,sample,spec,n,G,F_cluster,p_F,partial_R2,fs_coef,fs_se,k,cr1_reliable
Z_DOCSISxFTTP,all,S5 country FE + year FE + GDPpc2013 x year FE,265,26,3.0062633750879217,0.09526075432476944,0.03626798994804903,0.26788257316599196,0.1545008769980597,50,False
Z_DOCSISxFTTP,EU15,S1 Phase-D controls,136,13,0.780493627944358,0.3943452964901265,0.02502876265491827,0.17094346451380335,0.19349414169294332,14,False
Z_DOCSISxFTTP,EU15,S2 +GDPpc2013 x EU-FTTP shock,136,13,0.28801845409282917,0.601301489920794,0.010230314578604571,0.10500440879322402,0.19565789487555538,15,False
Z_DOCSISxFTTP,EU15,S3 +GDPpc2013 x year FE,136,13,0.36345339500588775,0.5578165613364907,0.013379909585386707,0.1164524151733605,0.19316308597466597,25,False
Z_DOCSISxFTTP,ACC2004+,S1 Phase-D controls,129,13,3.9872421278541483,0.0690404856094935,0.11409580485524351,0.18449205748794215,0.09239348945888796,14,False
Z_DOCSISxFTTP,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,1.9677594058709291,0.186025245531946,0.04569420881407893,0.10138840549156779,0.07227736223359013,15,False
Z_DOCSISxFTTP,ACC2004+,S3 +GDPpc2013 x year FE,129,13,1.0948674893594452,0.3160147959835573,0.03577347065021641,0.08970872993571832,0.08573416610818166,25,False
Z_DOCSISxG100,all,S1 Phase-D controls,265,26,4.280266736594355,0.04904608234352159,0.053292004636053214,0.14140685420654853,0.06834945308969144,15,True
Z_DOCSISxG100,all,S2 +GDPpc2013 x EU-FTTP shock,265,26,1.380437408565362,0.2510963778734746,0.018442548892116162,0.07806212767149674,0.06644036725947682,16,True
Z_DOCSISxG100,all,S3 +GDPpc2013 x year FE,265,26,1.154882856850208,0.2927923778686887,0.016333605449002198,0.07214605849165172,0.06713417281783111,26,True
Z_DOCSISxG100,all,S4 country FE + year FE,265,26,9.400858773962797,0.00514884791742265,0.055766113374428716,0.38824935039880204,0.1266271911745682,39,False
Z_DOCSISxG100,all,S5 country FE + year FE + GDPpc2013 x year FE,265,26,1.7135286294323009,0.20243333747368952,0.020419108053662205,0.23635648591389968,0.18056012299120838,50,False
Z_DOCSISxG100,EU15,S1 Phase-D controls,136,13,0.6636241235581513,0.43115383596768997,0.022554916949131143,0.12074904386520047,0.14822539561173037,14,False
Z_DOCSISxG100,EU15,S2 +GDPpc2013 x EU-FTTP shock,136,13,0.25092273328516623,0.6254875845149287,0.009547181719039233,0.0752574898259693,0.1502379758551101,15,False
Z_DOCSISxG100,EU15,S3 +GDPpc2013 x year FE,136,13,0.2844230474165884,0.6035543375512864,0.011174031175998578,0.07919487448125484,0.1484959749825133,25,False
Z_DOCSISxG100,ACC2004+,S1 Phase-D controls,129,13,4.241676749987393,0.061821852836307034,0.10792475744225527,0.130179975542724,0.06320848792747981,14,False
Z_DOCSISxG100,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,1.7347314431992626,0.212404578089749,0.03914665327859368,0.06823257776844217,0.05180547423363078,15,False
Z_DOCSISxG100,ACC2004+,S3 +GDPpc2013 x year FE,129,13,1.0078872719807943,0.33522458842520964,0.03379805380863299,0.0639288468276115,0.06367821634885822,25,False
Z_DOCSISzxFTTP,all,S1 Phase-D controls,284,28,18.713645476215447,0.0001859658198831715,0.15349634346133656,0.29523151974423767,0.06824699337933657,15,True
Z_DOCSISzxFTTP,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,8.033101503313006,0.008589992067762564,0.07021756819452674,0.18783930389811918,0.06627425322961167,16,True
Z_DOCSISzxFTTP,all,S3 +GDPpc2013 x year FE,284,28,5.4620154393571205,0.027099258808298554,0.052601016120804034,0.1591398897469473,0.06809301923080191,26,True
Z_DOCSISzxFTTP,all,S4 country FE + year FE,284,28,6.573326334965039,0.016235195456543616,0.06665718484534289,0.3111005513265953,0.12134117162219096,41,False
Z_DOCSISzxFTTP,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,2.0586294472777076,0.16282900405329837,0.028439622625749172,0.20144463308374805,0.14039983938215547,52,False
Z_DOCSISzxFTTP,EU15,S1 Phase-D controls,155,15,11.890441847025649,0.003918240103169213,0.1621898968379596,0.34180871981408123,0.09912521472790932,14,True
Z_DOCSISzxFTTP,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,5.62914229370398,0.03253107900204566,0.07745091010419758,0.22989449846765642,0.09689636050952316,15,True
Z_DOCSISzxFTTP,EU15,S3 +GDPpc2013 x year FE,155,15,4.223880978169109,0.059011910046438354,0.06428473781755428,0.2037063312187583,0.09911712380505994,25,False
Z_DOCSISzxFTTP,ACC2004+,S1 Phase-D controls,129,13,3.9872421278541483,0.0690404856094935,0.11409580485524351,0.18449205748794215,0.09239348945888796,14,False
Z_DOCSISzxFTTP,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,1.9677594058709291,0.186025245531946,0.04569420881407893,0.10138840549156779,0.07227736223359013,15,False
Z_DOCSISzxFTTP,ACC2004+,S3 +GDPpc2013 x year FE,129,13,1.0948674893594452,0.3160147959835573,0.03577347065021641,0.08970872993571832,0.08573416610818166,25,False
Z_DOCSISzxG100,all,S1 Phase-D controls,284,28,17.137539916598072,0.0003054948649123812,0.15047926868561123,0.21466091739881596,0.05185357948758121,15,True
Z_DOCSISzxG100,all,S2 +GDPpc2013 x EU-FTTP shock,284,28,7.663913692302931,0.010055001410863906,0.07143330720074081,0.13829980925995286,0.04995699173194307,16,True
Z_DOCSISzxG100,all,S3 +GDPpc2013 x year FE,284,28,4.912667469106221,0.035274168033610054,0.05038894446664355,0.11467201539419282,0.0517367044340953,26,True
Z_DOCSISzxG100,all,S4 country FE + year FE,284,28,5.5496118652191715,0.02600114998082126,0.04943121826530128,0.32011602561922237,0.1358864369628243,41,False
Z_DOCSISzxG100,all,S5 country FE + year FE + GDPpc2013 x year FE,284,28,1.173249768520211,0.2883131301712645,0.01576802079039641,0.1788669773944216,0.16513340251443592,52,False
Z_DOCSISzxG100,EU15,S1 Phase-D controls,155,15,11.426968999794848,0.0044845517293123915,0.16327187952718802,0.2530277259777956,0.07485185847877775,14,True
Z_DOCSISzxG100,EU15,S2 +GDPpc2013 x EU-FTTP shock,155,15,5.780395463919155,0.030618906224819997,0.08231337408397976,0.17353328960645856,0.07217786370893121,15,True
Z_DOCSISzxG100,EU15,S3 +GDPpc2013 x year FE,155,15,4.047091642464511,0.06390447216003325,0.06332160186750202,0.1489985439943341,0.07406456990013115,25,False
Z_DOCSISzxG100,ACC2004+,S1 Phase-D controls,129,13,4.241676749987393,0.061821852836307034,0.10792475744225527,0.130179975542724,0.06320848792747981,14,False
Z_DOCSISzxG100,ACC2004+,S2 +GDPpc2013 x EU-FTTP shock,129,13,1.7347314431992626,0.212404578089749,0.03914665327859368,0.06823257776844217,0.05180547423363078,15,False
