NUTS_ID,year,dii_regional_composite,n_components
ES63,2023,0.588348627905714,4
ES63,2024,-0.4614518370119581,2
ES63,2025,-1.0539240774457816,4
ES64,2023,-1.5602271946407056,4
ES64,2024,-1.8730102168443095,2
ES64,2025,-0.08859285289760563,4
ES70,2023,0.06402069128990395,4
ES70,2024,-0.5756174493342827,2
ES70,2025,0.5269874977490319,4
HR02,2023,-0.331919868086474,4
HR02,2024,0.11214137700484988,2
HR02,2025,-0.47181450529439073,4
HR03,2023,-0.07313368234955178,4
HR03,2024,0.36733609112955595,2
HR03,2025,-0.6858052469827715,4
HR05,2023,0.5917943711087739,4
HR05,2024,1.2086058830956516,2
HR05,2025,0.4919398793152987,4
HR06,2023,0.029206934325783807,4
HR06,2024,-0.029532823499781646,2
HR06,2025,0.1042794932181065,4
HU11,2023,-0.34973689856375684,4
HU11,2024,-0.5600122323904337,2
HU11,2025,-0.1747159580204374,4
HU12,2023,-0.40470362653557695,4
HU12,2024,-0.321328528826233,2
HU12,2025,-0.4800173411131327,4
HU21,2023,-0.4332924239952196,4
HU21,2024,-0.6326057453253221,2
HU21,2025,-0.320902504044723,4
HU22,2023,-0.5088176883523231,4
HU22,2024,-0.9423947021213872,2
HU22,2025,-0.44141411131817604,4
HU23,2023,-0.501751473051468,4
HU23,2024,-0.5819350519678135,2
HU23,2025,-0.20329517749882725,4
HU31,2023,-0.6670162748650018,4
HU31,2024,-0.477625554247772,2
HU31,2025,0.03593234499003381,4
HU32,2023,-0.644446313862965,4
HU32,2024,-0.6363253581686421,2
HU32,2025,-0.6103602137977938,4
HU33,2023,-0.6151304822073643,4
HU33,2024,-0.778625306344459,2
HU33,2025,-0.5112875767695182,4
LT01,2023,0.6218504505519846,2
LT01,2024,1.0049989153537786,2
LT01,2025,1.4077984250714342,4
LT02,2023,0.050963756995949294,2
LT02,2024,0.34400129348081027,2
LT02,2025,0.8536494035423912,4
NO02,2023,0.46226751918566367,4
NO02,2024,-0.12496954898036303,2
NO02,2025,0.5527423077861979,4
NO06,2023,0.7343865538273672,4
NO06,2024,0.19753723028696424,2
NO06,2025,0.7153549740176873,4
NO07,2023,0.20871388114181488,4
NO07,2024,-0.1182139519013842,2
NO07,2025,-0.06684799066376163,4
NO08,2023,0.7396235046261359,4
NO08,2024,1.2208428909371847,2
