country_code,year,d_log_emissions,digital_multi,log_gdp_per_capita,industry_va_share,electricity_price,log_gdp_per_capita_lag,industry_va_share_lag,electricity_price_lag,d_log_gdp,d_industry_va_share,d_electricity_price
DE,2024,-0.05831564213295337,0.5,10.683958561267747,23.4,0.1767,10.68670393018494,24.3,0.18075000000000002,-0.002745368917192792,-0.9000000000000021,-0.004050000000000026
DE,2025,-0.034992461189474966,0.56,10.68624689178576,22.8,0.1623,10.683958561267747,23.4,0.1767,0.0022883305180130264,-0.5999999999999979,-0.014399999999999996
DK,2024,-0.1115581568211308,0.64,10.979683801919906,22.2,0.11725,10.946763296164772,20.4,0.13235,0.0329205057551345,1.8000000000000007,-0.015100000000000002
DK,2025,-0.18921003564855354,0.72,11.008578807301946,22.9,0.12310000000000001,10.979683801919906,22.2,0.11725,0.02889500538204004,0.6999999999999993,0.005850000000000022
EE,2024,-0.15678294037115847,0.4,9.974411890872826,16.7,0.13365,9.979522238812125,17.7,0.14235,-0.005110347939298876,-1.0,-0.008700000000000013
EE,2025,-0.08666123312268326,0.4,9.990582259387061,16.5,0.1242,9.974411890872826,16.7,0.13365,0.016170368514234923,-0.1999999999999993,-0.009449999999999986
EL,2024,0.041657164649546274,0.32,9.853246336099382,15.1,0.147,9.830916859701293,14.8,0.1543,0.022329476398088133,0.29999999999999893,-0.007300000000000001
EL,2025,-0.028721316047285228,0.31,9.87302834505142,15.2,0.15795,9.853246336099382,15.1,0.147,0.01978200895203841,0.09999999999999964,0.010950000000000015
ES,2024,-0.05344551611907633,0.59,10.232791299678729,15.6,0.1225,10.20913232536208,16.1,0.14745,0.023658974316647985,-0.5000000000000018,-0.02495
ES,2025,0.020175213144149495,0.66,10.251323547807656,15.7,0.11975,10.232791299678729,15.6,0.1225,0.01853224812892762,0.09999999999999964,-0.0027500000000000024
FI,2024,-0.1464426448146483,0.62,10.676600514733956,20.1,0.08125,10.675445913520363,20.6,0.0925,0.0011546012135923434,-0.5,-0.011249999999999996
FI,2025,-0.11123164272021668,0.58,10.679366130693538,19.9,0.07,10.676600514733956,20.1,0.08125,0.002765615959582135,-0.20000000000000284,-0.011249999999999996
FR,2024,-0.1015814940348001,0.33,10.550067097279738,14.0,0.15195,10.538210812958356,14.7,0.2005,0.011856284321382304,-0.6999999999999993,-0.04855000000000001
FR,2025,-0.19803136561867163,0.29,10.554770528997375,13.5,0.13035,10.550067097279738,14.0,0.15195,0.0047034317176368745,-0.5,-0.021600000000000008
HR,2024,-0.17490665517322412,0.33,9.74449182104567,15.5,0.1724,9.710509415553645,18.0,0.23804999999999998,0.03398240549202569,-2.5,-0.06564999999999999
HR,2025,0.04033875251804275,0.29,9.775085837731604,14.9,0.14945,9.74449182104567,15.5,0.1724,0.030594016685933312,-0.5999999999999996,-0.022949999999999998
