country_code,nace_r2,year,dii_version,dii_high_share
SE,C16-C18,2017,1,0.25220000000000004
SE,C24_C25,2017,1,0.12179999999999999
SI,C16-C18,2017,1,0.078
SI,C24_C25,2017,1,0.0989
SK,C,2017,1,0.09889999999999999
SK,C16-C18,2017,1,0.060899999999999996
SK,C24_C25,2017,1,0.0245
TR,C,2017,1,0.0504
TR,C24_C25,2017,1,0.0364
UK,C,2017,1,0.13019999999999998
UK,C16-C18,2017,1,0.1649
UK,C24_C25,2017,1,0.053
AT,C,2018,1,0.1522
AT,C24_C25,2018,1,0.1023
BE,C16-C18,2018,1,0.15460000000000002
BE,C24_C25,2018,1,0.09359999999999999
BG,C24_C25,2018,1,0.0151
CY,C,2018,1,0.046000000000000006
CY,C16-C18,2018,1,0.0
CY,C24_C25,2018,1,0.0434
CZ,C,2018,1,0.10700000000000001
CZ,C16-C18,2018,1,0.1193
CZ,C24_C25,2018,1,0.0487
DE,C,2018,1,0.1088
DE,C16-C18,2018,1,0.1324
DE,C24_C25,2018,1,0.06649999999999999
DK,C,2018,1,0.3398
DK,C16-C18,2018,1,0.47609999999999997
DK,C24_C25,2018,1,0.125
EE,C,2018,1,0.1097
EE,C16-C18,2018,1,0.08839999999999999
EE,C24_C25,2018,1,0.07239999999999999
EL,C,2018,1,0.067
EL,C16-C18,2018,1,0.0103
EL,C24_C25,2018,1,0.0645
ES,C,2018,1,0.08900000000000001
ES,C24_C25,2018,1,0.0436
FI,C,2018,1,0.4757
FI,C24_C25,2018,1,0.3394
FR,C,2018,1,0.1008
FR,C24_C25,2018,1,0.030899999999999997
HR,C,2018,1,0.0673
HR,C16-C18,2018,1,0.0373
HR,C24_C25,2018,1,0.0183
HU,C,2018,1,0.0818
HU,C16-C18,2018,1,0.0581
HU,C24_C25,2018,1,0.0347
IE,C,2018,1,0.1708
IE,C16-C18,2018,1,0.26080000000000003
IE,C24_C25,2018,1,0.15760000000000002
IT,C,2018,1,0.0794
IT,C16-C18,2018,1,0.0655
IT,C24_C25,2018,1,0.0248
LT,C,2018,1,0.2051
LT,C16-C18,2018,1,0.19310000000000002
LT,C24_C25,2018,1,0.1533
LU,C,2018,1,0.1666
LU,C24_C25,2018,1,0.11420000000000002
LV,C,2018,1,0.0379
LV,C16-C18,2018,1,0.0181
