country_code,year,verified_emissions_t,log_emissions,d_log_emissions,pct_change_emissions,digital_multi,digital_single,genai_share,climate_target_share,physical_risk_major,transition_risk_share,already_invested_climate,digital_any
DE,2023,289340809.0,19.483115821180334,-0.20141204586039052,-0.18242451645394175,0.41,0.33,,0.42,0.17,0.37,0.55,0.74
DE,2024,272950271.0,19.42480017904738,-0.05831564213295337,-0.05664786124241461,0.5,0.26,,0.51,0.18,0.41,0.66,0.76
DE,2025,263564247.0,19.389807717857906,-0.034992461189474966,-0.034387304198719826,0.56,0.26,0.39,0.45,0.2,0.37,0.66,0.8200000000000001
DK,2023,9244100.0,16.039496068145677,-0.19325586861085498,-0.17572895793169052,0.53,0.24,,0.42,0.08,0.24,0.69,0.77
DK,2024,8268287.0,15.927937911324547,-0.1115581568211308,-0.10556062785993225,0.64,0.23,,0.62,0.17,0.29,0.58,0.87
DK,2025,6842939.0,15.738727875675993,-0.18921003564855354,-0.17238733972345177,0.72,0.2,0.58,0.64,0.23,0.32,0.61,0.9199999999999999
EE,2023,5260450.0,15.475727132385385,-0.46890283254300513,-0.37431162324887657,0.38,0.24,,0.26,0.21,0.44,0.51,0.62
EE,2024,4497104.0,15.318944192014227,-0.15678294037115847,-0.14511039930044012,0.4,0.27,,0.41,0.19,0.48,0.47,0.67
EE,2025,4123789.0,15.232282958891544,-0.08666123312268326,-0.08301231192340675,0.4,0.32,0.37,0.33,0.11,0.45,0.51,0.72
EL,2023,25466136.0,17.052860127555196,-0.2167673434183648,-0.19488273665313283,0.39,0.23,,0.25,0.2,0.21,0.24,0.62
EL,2024,26549389.0,17.094517292204742,0.041657164649546274,0.042536998938511816,0.32,0.22,,0.29,0.32,0.29,0.35,0.54
EL,2025,25797702.0,17.065795976157457,-0.028721316047285228,-0.028312779627433282,0.31,0.26,0.19,0.33,0.23,0.3,0.42,0.5700000000000001
ES,2023,81133557.0,18.211607206624755,-0.17140159700627322,-0.1575168331930087,0.56,0.22,,0.49,0.38,0.33,0.66,0.78
ES,2024,76911171.0,18.15816169050568,-0.05344551611907633,-0.05204241199482973,0.59,0.22,,0.5,0.38,0.31,0.68,0.8099999999999999
ES,2025,78478629.0,18.17833690364983,0.020175213144149495,0.020380108372033412,0.66,0.19,0.5,0.6,0.35,0.34,0.75,0.8500000000000001
FI,2023,15359928.0,16.547272598172814,-0.21376624019067236,-0.19246286731282558,0.54,0.28,,0.49,0.09,0.23,0.72,0.8200000000000001
FI,2024,13267526.0,16.400829953358166,-0.1464426448146483,-0.13622472709507494,0.62,0.18,,0.6,0.06,0.15,0.72,0.8
FI,2025,11870873.0,16.28959831063795,-0.11123164272021668,-0.10526853310858408,0.58,0.21,0.66,0.61,0.03,0.21,0.7,0.7899999999999999
FR,2023,70652409.0,18.073282764178042,-0.18412052737665974,-0.1681644611708525,0.23,0.36,,0.53,0.19,0.36,0.66,0.59
FR,2024,63827920.0,17.971701270143242,-0.1015814940348001,-0.09659244598439665,0.33,0.3,,0.57,0.23,0.4,0.7,0.63
FR,2025,52360859.0,17.77366990452457,-0.19803136561867163,-0.17965587786661386,0.29,0.32,0.24,0.52,0.3,0.43,0.71,0.61
HR,2023,6567049.0,15.697575126695448,0.01714711415829484,0.017294969810560223,0.32,0.32,,0.29,0.19,0.22,0.31,0.64
HR,2024,5513270.0,15.522668471522223,-0.17490665517322412,-0.16046461660328715,0.33,0.28,,0.32,0.21,0.2,0.48,0.6100000000000001
HR,2025,5740215.0,15.563007224040266,0.04033875251804275,0.04116341118791578,0.29,0.26,0.23,0.36,0.21,0.24,0.43,0.55
HU,2023,13436680.0,16.41349883873435,-0.1466502615761911,-0.1364040427048313,0.28,0.26,,0.51,0.15,0.43,0.36,0.54
HU,2024,12799176.0,16.364891351817686,-0.04860748691666217,-0.047445053391165115,0.25,0.27,,0.49,0.14,0.37,0.4,0.52
HU,2025,11063058.0,16.2191220077042,-0.14576934411348574,-0.13564295076495547,0.37,0.24,0.21,0.52,0.18,0.32,0.44,0.61
IE,2023,12193816.0,16.31643949594783,-0.18598097355108933,-0.16971060770964685,0.48,0.3,,0.35,0.15,0.27,0.3,0.78
IE,2024,11294199.0,16.239799789034898,-0.07663970691293187,-0.07377649457725133,0.47,0.28,,0.4,0.21,0.41,0.43,0.75
IE,2025,10670686.0,16.18301091361989,-0.05678887541500899,-0.055206482549138736,0.45,0.27,0.34,0.32,0.13,0.32,0.53,0.72
IT,2023,114784026.0,18.558562885826525,-0.1717672793491687,-0.15782485808823077,0.42,0.28,,0.38,0.23,0.28,0.38,0.7
IT,2024,101392574.0,18.43451041172556,-0.12405247410096365,-0.11666651246402526,0.44,0.28,,0.4,0.23,0.22,0.57,0.72
IT,2025,101173099.0,18.432343459323096,-0.0021669524024652276,-0.0021646062560755075,0.45,0.29,0.2,0.35,0.23,0.3,0.65,0.74
LT,2023,4752053.0,15.374087293161075,-0.06403462509548774,-0.06202747841966816,0.36,0.32,,0.32,0.12,0.48,0.72,0.6799999999999999
LT,2024,4961894.0,15.417298080651815,0.04321078749073948,0.04415796709338049,0.34,0.3,,0.31,0.21,0.59,0.71,0.64
LT,2025,4612455.0,15.344270811185767,-0.07302726946604743,-0.07042451934684624,0.44,0.27,0.44,0.32,0.17,0.59,0.74,0.71
LU,2023,883632.0,13.691795965354453,-0.24888361789946778,-0.22032929218063424,0.36,0.36,,0.38,0.28,0.36,0.58,0.72
LU,2024,831051.0,13.630446443795567,-0.06134952155888662,-0.05950554076810255,0.3,0.25,,0.37,0.2,0.32,0.71,0.55
LU,2025,667686.0,13.411573282125765,-0.21887316166980142,-0.19657638339885275,0.36,0.4,0.43,0.41,0.19,0.46,0.73,0.76
LV,2023,1739119.0,14.368889221127445,0.02866729413873159,0.02908215584764462,0.39,0.19,,0.3,0.12,0.25,0.39,0.5800000000000001
LV,2024,1600151.0,14.28560855775697,-0.08328066337047524,-0.07990712538934941,0.35,0.24,,0.49,0.2,0.46,0.48,0.59
LV,2025,1659267.0,14.321886496548574,0.03627793879160457,0.036944013408734655,0.6,0.15,0.38,0.4,0.22,0.44,0.57,0.75
MT,2023,797185.0,13.588842051288262,0.0008219788818948359,0.0008223167991161517,0.55,0.2,,0.45,0.22,0.41,0.72,0.75
MT,2024,736465.0,13.509616991691798,-0.07922505959646386,-0.07616801620702851,0.54,0.22,,0.45,0.18,0.27,0.79,0.76
MT,2025,718878.0,13.485446942194619,-0.02417004949717949,-0.023880293021392718,0.6,0.17,0.41,0.4,0.15,0.2,0.72,0.77
NL,2023,58888869.0,17.891162649438318,-0.1515054407855274,-0.14058679362273085,0.56,0.23,,0.49,0.17,0.22,0.78,0.79
NL,2024,59865342.0,17.907608297970683,0.016445648532364743,0.01658162258134044,0.57,0.33,,0.5,0.1,0.3,0.58,0.8999999999999999
NL,2025,61854185.0,17.940290318216192,0.03268202024550959,0.033221943340773,0.65,0.2,0.54,0.57,0.13,0.32,0.75,0.8500000000000001
PL,2023,153018903.0,18.846072020744767,-0.18516663301958047,-0.16903419402646536,0.32,0.29,,0.37,0.17,0.39,0.55,0.61
PL,2024,148707821.0,18.8174940058778,-0.028578014866965873,-0.02817352572446552,0.41,0.25,,0.44,0.14,0.47,0.54,0.6599999999999999
PL,2025,113915915.0,18.550971146487818,-0.2665228593899833,-0.23396150764659518,0.42,0.23,0.26,0.45,0.21,0.52,0.51,0.65
PT,2023,12762063.0,16.36198749992857,-0.23799576022565105,-0.21179396709759413,0.32,0.24,,0.39,0.23,0.3,0.5,0.56
PT,2024,11322162.0,16.24227260190245,-0.11971489802612112,-0.11282666446639544,0.41,0.24,,0.36,0.27,0.27,0.54,0.6499999999999999
PT,2025,11396005.0,16.24877341335028,0.00650081144782888,0.006521987585056621,0.41,0.29,0.24,0.43,0.29,0.31,0.64,0.7
RO,2023,23830020.0,16.986456688352792,-0.1669860524503477,-0.15378858616940871,0.35,0.31,,0.3,0.23,0.32,0.5,0.6599999999999999
RO,2024,22903082.0,16.946782044621536,-0.03967464373125651,-0.038897911122189543,0.32,0.39,,0.41,0.26,0.27,0.59,0.71
RO,2025,21101835.0,16.864870561489543,-0.08191148313199292,-0.07864648958598675,0.48,0.27,0.31,0.4,0.29,0.35,0.54,0.75
