country_code,year,verified_emissions_t,log_emissions,d_log_emissions,dii_high_share_manufacturing,dii_version,dii_high_share_d35,dii_high_share_c_or_d35,eibis_digital_multi,gdp_per_capita,d_log_gdp_per_capita,energy_import_dependency_pct,eu_accession_cohort,dii_version_break_vs_prior_year
EL,2012,61440385.0,17.9335779130601,0.043276374184429756,,,,,,16050.0,-0.08191012184833113,65.889,EU-15,True
EL,2013,58632976.0,17.886807826649303,-0.046770086410795386,,,,,,15800.0,-0.015698909543104378,61.75,EU-15,True
EL,2014,55372015.0,17.829584879684763,-0.05722294696454,,,,,,16030.0,0.0144520265885415,65.455,EU-15,True
EL,2015,49876100.0,17.725052488068936,-0.10453239161582673,0.0712,1,,0.0712,,16100.0,0.004357305368955622,71.047,EU-15,True
EL,2016,46299722.0,17.650646514718783,-0.07440597335015298,0.1233,1,,0.1233,,16160.0,0.003719781102532238,72.911,EU-15,False
EL,2017,49572075.0,17.718938229116617,0.06829171439783366,,,,,,16430.0,0.016569878956227413,71.282,EU-15,False
EL,2018,47105832.0,17.667907372977428,-0.051030856139188785,0.067,1,,0.067,,16810.0,0.02286501537134633,70.681,EU-15,False
EL,2019,40476026.0,17.516220406187546,-0.1516869667898817,,,,,,17210.0,0.023516662802924415,74.103,EU-15,False
EL,2020,31728304.0,17.272719711138073,-0.24350069504947314,,,,,,15660.0,-0.09438091966079121,81.415,EU-15,True
EL,2021,33250959.0,17.319594166755476,0.04687445561740233,0.11720000000000001,3,0.4325,0.27485,,17110.0,0.0885533973414443,73.819,EU-15,True
EL,2022,31630344.0,17.26962747097356,-0.04996669578191515,0.14679999999999999,4,0.6437,0.39525,,18160.0,0.05955828526904661,79.506,EU-15,True
EL,2023,25466136.0,17.052860127555196,-0.2167673434183648,0.1432,3,0.184,0.1636,0.39,18600.0,0.023940207546008452,75.447,EU-15,True
EL,2024,26549389.0,17.094517292204742,0.041657164649546274,0.1384,4,0.3395,0.23895,0.32,19020.0,0.022329476398088133,77.714,EU-15,True
EL,2025,25797702.0,17.065795976157457,-0.028721316047285228,0.20190000000000002,3,0.5128,0.35735000000000006,0.31,19400.0,0.01978200895203841,,EU-15,True
ES,2005,183627216.0,19.028418260459016,,,,,,,25000.0,0.016535968640098986,81.534,EU-15,True
ES,2006,179724889.0,19.00693784522378,-0.02148041523523503,,,,,,25600.0,0.02371652661731538,81.304,EU-15,True
