country_code,year,verified_emissions_t,log_emissions,d_log_emissions,pct_change_emissions
EL,2023,25466136.0,17.052860127555196,-0.2167673434183648,-0.19488273665313283
EL,2024,26549389.0,17.094517292204742,0.041657164649546274,0.042536998938511816
EL,2025,25797702.0,17.065795976157457,-0.028721316047285228,-0.028312779627433282
ES,2005,183627216.0,19.028418260459016,,
ES,2006,179724889.0,19.00693784522378,-0.02148041523523503,-0.02125135415656465
ES,2007,186573449.0,19.044335547936317,0.03739770271253562,0.03810579624283417
ES,2008,163462312.0,18.91209301408535,-0.13224253385096674,-0.12387152150464886
ES,2009,136935766.0,18.735022512528694,-0.17707050155665627,-0.1622792781739194
ES,2010,121483473.0,18.615288786801322,-0.11973372572737162,-0.1128433677436762
ES,2011,132687966.0,18.70351080943289,0.08822202263156598,0.09223059502093744
ES,2012,135639644.0,18.72551225062375,0.02200144119086289,0.022245257719905043
ES,2013,122808166.0,18.626134069837732,-0.09937818078601879,-0.09459976170388651
ES,2014,124851227.0,18.642633402435116,0.016499332597383898,0.01663619828016971
ES,2015,137270031.0,18.73746057306012,0.09482717062500257,0.0994688181959158
ES,2016,123556983.0,18.6322130084294,-0.10524756463071938,-0.09989833833431572
ES,2017,136316842.0,18.73049245469713,0.09827944626773188,0.10327104701156387
ES,2018,127373884.0,18.66263728793787,-0.06785516675926218,-0.06560420465139594
ES,2019,109522705.0,18.51164243732463,-0.15099485061323747,-0.1401478736410362
ES,2020,89044166.0,18.30464305179751,-0.20699938552712283,-0.18697985043375254
ES,2021,91665975.0,18.333661821479723,0.02901876968221373,0.02944391662896817
ES,2022,96302882.0,18.38300880363103,0.04934698215130595,0.050584821685472736
ES,2023,81133557.0,18.211607206624755,-0.17140159700627322,-0.1575168331930087
ES,2024,76911171.0,18.15816169050568,-0.05344551611907633,-0.05204241199482973
ES,2025,78478629.0,18.17833690364983,0.020175213144149495,0.020380108372033412
FI,2005,33099647.0,17.315033175637854,,
FI,2006,44621436.0,17.613724929328438,0.29869175369058354,0.3480940144165283
FI,2007,42541345.0,17.56598698453791,-0.0477379447905264,-0.04661640651815868
FI,2008,36163966.0,17.403573766677464,-0.16241321786044693,-0.14991014035874983
FI,2009,34354708.0,17.352249626920578,-0.05132413975688621,-0.05002930264894068
FI,2010,41297856.0,17.536321143750815,0.1840715168302367,0.20210179053188293
FI,2011,35089924.0,17.373424581697833,-0.16289656205298186,-0.15032092707185574
FI,2012,29504184.0,17.200042641761527,-0.17338193993630568,-0.15918358785844056
FI,2013,31344451.0,17.260547807781677,0.06050516602014966,0.06237308579691603
FI,2014,28630675.0,17.169989253464202,-0.09055855431747517,-0.08657915239925562
FI,2015,25345406.0,17.048108048698932,-0.12188120476526976,-0.11474647384317693
FI,2016,27121173.0,17.115825272313508,0.06771722361457577,0.07006267723626136
FI,2017,25043551.0,17.036126907240686,-0.07969836507282224,-0.07660516748298463
FI,2018,26170972.0,17.08016141558197,0.04403450834128364,0.045018416118385085
FI,2019,23242612.0,16.96149787605928,-0.11866353952268938,-0.11189343674357988
FI,2020,19580017.0,16.790020063299153,-0.17147781276012708,-0.15758104123581296
FI,2021,20312533.0,16.826748642668296,0.03672857936914298,0.037411407763333404
FI,2022,19020708.0,16.761038838363486,-0.06570980430480944,-0.06359743514016691
FI,2023,15359928.0,16.547272598172814,-0.21376624019067236,-0.19246286731282558
FI,2024,13267526.0,16.400829953358166,-0.1464426448146483,-0.13622472709507494
FI,2025,11870873.0,16.28959831063795,-0.11123164272021668,-0.10526853310858408
FR,2005,131263794.0,18.69271955105655,,
FR,2006,126979057.0,18.659532725312644,-0.03318682574390408,-0.03264218463775315
FR,2007,126634815.0,18.65681802986878,-0.0027146954438634907,-0.002711013990283506
FR,2008,124129806.0,18.636838398613282,-0.01997963125549873,-0.01978136107357209
FR,2009,111092554.0,18.5258742316618,-0.11096416695148292,-0.10502918211279566
FR,2010,115543172.0,18.565154801636236,0.039280569974437185,0.040062252957115296
FR,2011,105575300.0,18.47493500036206,-0.09021980127417706,-0.08626967589222845
FR,2012,103660840.0,18.456634974108013,-0.01830002625404603,-0.018133597536544976
FR,2013,114589342.0,18.556865356174782,0.10023038206676915,0.10542555896710848
FR,2014,100273317.0,18.423410185635113,-0.13345517053966915,-0.12493330313389883
FR,2015,99694769.0,18.417623766153397,-0.0057864194817156545,-0.0057697104006243505
FR,2016,101715243.0,18.437687731793503,0.020063965640105152,0.02026659994568014
FR,2017,106842018.0,18.486861834084564,0.04917410229106167,0.050403212427069466
FR,2018,97489683.0,18.395257114984616,-0.09160471909994783,-0.08753424144422284
FR,2019,94310187.0,18.36209976934071,-0.03315734564390738,-0.03261366641227048
FR,2020,82145955.0,18.224008162038672,-0.1380916073020373,-0.12898110360018689
