dropped,n_dropped_units,n,G,coef,se,p_t_Gm1,p_wild,sample,regression
LV,2,993,24,-0.024829758641321725,0.06830270659272239,0.7195326327195382,0.840368073614723,NUTS3,A3
MT,2,993,24,-0.024651841347207087,0.06819963335379799,0.721050603439017,0.8415683136627325,NUTS3,A3
NL,23,972,24,-0.028826113748682585,0.07005593153253911,0.6845349714245126,0.8043608721744349,NUTS3,A3
PL,51,944,24,-0.03529438653148979,0.0743246762433545,0.6393594568217431,0.8091618323664733,NUTS3,A3
PT,5,990,24,-0.02508369829557676,0.06891385841160616,0.7191929737859064,0.843368673734747,NUTS3,A3
RO,39,956,24,-0.022347559599706666,0.07153311361088202,0.7575448633634951,0.8739747949589918,NUTS3,A3
SE,20,975,24,-0.03105646164064603,0.06997209977234686,0.6613053837059839,0.7991598319663933,NUTS3,A3
SI,7,988,24,-0.02526369124493761,0.06985908133344049,0.7209237728043885,0.8501700340068014,NUTS3,A3
SK,8,987,24,-0.025470526390604944,0.06803401975956733,0.7115516595807074,0.839367873574715,NUTS3,A3
AT,9,191,16,-0.014988053843847724,0.11809154419013422,0.9006902880097467,0.9051810362072414,NUTS2_lenient,A3
BE,11,189,16,-0.048050804589863716,0.12096168540043088,0.6967857241900883,0.7113422684536908,NUTS2_lenient,A3
BG,6,194,16,-0.028509641414919525,0.12012149767958154,0.8156041047308658,0.8209641928385677,NUTS2_lenient,A3
CZ,8,192,16,-0.04162495448876512,0.12445029800913052,0.7426554537702295,0.7549509901980396,NUTS2_lenient,A3
DE,35,165,16,-0.08577244439726454,0.11866806250423581,0.48092590216057496,0.5269053810762152,NUTS2_lenient,A3
EL,9,191,16,-0.022074942722641384,0.1172560160662703,0.8531939522353129,0.8671734346869374,NUTS2_lenient,A3
ES,17,183,16,-0.052828674933761435,0.12623969450540498,0.6815269108885049,0.7029405881176235,NUTS2_lenient,A3
FI,5,195,16,0.046104489893635074,0.0863685938236526,0.6012942273867403,0.6057211442288458,NUTS2_lenient,A3
FR,24,176,16,-0.08761614198477986,0.1319782770463395,0.5168497217398207,0.6083216643328666,NUTS2_lenient,A3
HU,6,194,16,-0.03485268612798431,0.1212521187256582,0.7777085595247077,0.7973594718943788,NUTS2_lenient,A3
IT,21,179,16,0.025790475978292676,0.12937270771913703,0.8446659602155147,0.8475695139027806,NUTS2_lenient,A3
NL,10,190,16,-0.05138104774819585,0.12968828450695136,0.69754442481522,0.7241448289657931,NUTS2_lenient,A3
PL,15,185,16,-0.051774823125354086,0.1391558832262578,0.715049398300698,0.7307461492298459,NUTS2_lenient,A3
PT,4,196,16,-0.040204303152383936,0.12623511697026593,0.7545066196275703,0.7689537907581516,NUTS2_lenient,A3
RO,8,192,16,-0.028243434176608018,0.12444582184323541,0.8235238169194055,0.8415683136627325,NUTS2_lenient,A3
SE,8,192,16,-0.055705023655485755,0.12494702670985935,0.662088385554573,0.6857371474294859,NUTS2_lenient,A3
SK,4,196,16,-0.03594908190081419,0.11793203089456776,0.7646851834883557,0.7811562312462492,NUTS2_lenient,A3
AT,35,960,24,0.0687692843690882,0.031786603708014664,0.0411386517333272,0.15583116623324664,NUTS3,A2
BE,36,959,24,0.07020524488732663,0.03010662143247968,0.028825022855959892,0.1194238847769554,NUTS3,A2
BG,23,972,24,0.06784953901095041,0.030469967722494634,0.036038692949176054,0.1408281656331266,NUTS3,A2
