state_fips,year,total_co2e,total_co2e_excl_petro_ng,n_facilities,log_emissions,d_log_emissions,log_emissions_excl_petro_ng,d_log_emissions_excl_petro_ng,tech_emp_share,emp_total,emp_tech,tech_emp_share_diff
40,2018,73670687.4151259,53269866.742000006,348,18.115115549620295,0.035567760729389164,17.790881377331953,0.053027488473507134,0.022736959673455164,1285704.0,29233.0,-0.0003077036948063473
40,2019,67392371.89620093,46873402.457,361,18.02604239286335,-0.08907315675694605,17.66296096075675,-0.12792041657520414,0.0226616723927005,1296418.0,29379.0,-7.528728075466284e-05
40,2020,63598269.7196103,44980953.334,372,17.968096822273765,-0.057945570589584605,17.62174969889067,-0.04121126186607782,0.02270649675255818,1230661.0,27944.0,4.482435985767724e-05
40,2021,62057066.714167394,44529102.936000004,378,17.943564950546286,-0.02453187172747917,17.611653531934405,-0.010096166956266472,0.022597398251958004,1255233.0,28365.0,-0.00010909850060017434
40,2022,59695218.60784334,44683847.6536,382,17.904762484834546,-0.03880246571173984,17.615122644249823,0.0034691123154182435,0.02233856224681034,1304605.0,29143.0,-0.0002588360051476654
40,2023,59413571.551165625,44542381.994510405,386,17.900033235528262,-0.0047292493062833785,17.611951698258206,-0.0031709459916164917,0.022449286564234536,1342938.0,30148.0,0.00011072431742419758
41,2010,13696991.616807,13407563.052807001,53,16.43268677667085,,16.411329512629354,,,,,
41,2011,10688309.7939054,10386546.8419054,67,16.184661159546717,-0.24802561712413151,16.156021953830248,-0.2553075587991067,,,,
41,2012,11396947.9248048,11128236.3528048,67,16.248856151625432,0.06419499207871482,16.2249962518283,0.06897429799805366,,,,
41,2013,13394331.304201396,13146425.806201398,71,16.41034213841585,0.16148598679041726,16.39166047783346,0.1666642260051603,,,,
41,2014,12633361.480481,12403111.016480999,71,16.351851609388476,-0.05849052902737384,16.333457887533914,-0.05820259029954755,,,,
41,2015,13150973.4281593,12917319.574159298,71,16.392006338803416,0.04015472941494025,16.374079571494878,0.040621683960964106,0.031734671427397526,1509012.0,47888.0,
41,2016,12156818.596603403,11918575.816603402,73,16.31340077170277,-0.07860556710064515,16.29360873399049,-0.08047083750438944,0.03144624992771642,1556370.0,48942.0,-0.00028842149968110603
41,2017,11968029.011642,11680138.819642,73,16.29774940329456,-0.015651368408210686,16.273400420537047,-0.020208313453441207,0.03157898691989808,1596853.0,50427.0,0.00013273699218165763
41,2018,12983280.280749999,12661903.40875,73,16.379172955397898,0.08142355210333818,16.354108311621637,0.08070789108458953,0.03064629929934849,1648323.0,50515.0,-0.0009326876205495889
41,2019,15243604.265945002,14894818.931945,73,16.53967058065106,0.1604976252531607,16.516523987757882,0.16241567613624497,0.031008907118124374,1677647.0,52022.0,0.0003626078187758848
41,2020,13700664.312537001,13331162.698537001,74,16.43295487958896,-0.10671570106210027,16.405614912547406,-0.11090907521047555,0.03182601641856713,1570539.0,49984.0,0.0008171093004427574
41,2021,13183780.360992301,12755356.056992302,74,16.394497871480507,-0.03845700810845187,16.361461824259948,-0.044153088287458786,0.0321792856540733,1613336.0,51916.0,0.00035326923550616646
41,2022,12186991.7509967,11731567.212996697,75,16.315879690936345,-0.07861818054416148,16.2777938189511,-0.08366800530884788,0.03249699217966714,1675632.0,54453.0,0.0003177065255938402
41,2023,13858879.0275893,13381042.365589302,76,16.4444366702149,0.12855697927855303,16.4093495143825,0.1315556954314019,0.03180578492011849,1702772.0,54158.0,-0.0006912072595486457
42,2010,152925723.41125602,151198033.74925599,262,18.84546289357873,,18.834101017321288,,,,,
42,2011,157409265.692518,150622928.460518,317,18.87435975938472,0.028896865805990046,18.830290109155403,-0.0038109081658852517,,,,
42,2012,146195277.7367436,140732078.017696,335,18.800453804736023,-0.07390595464869776,18.76236848485319,-0.06792162430221182,,,,
42,2013,149716697.705,142039422.703,366,18.824255384285173,0.02380157954915063,18.771615201703952,0.009246716850761061,,,,
42,2014,140983626.919,133384440.597,386,18.764154320458015,-0.060101063827158185,18.708746047439252,-0.06286915426469974,,,,
42,2015,129184123.11973003,123809562.28973001,376,18.676749255691462,-0.08740506476655341,18.634255155052042,-0.0744908923872103,0.030559529019132104,5015915.0,153284.0,
42,2016,121976001.99276,115635573.15875998,400,18.61933487837119,-0.05741437732027066,18.56595419315138,-0.06830096190066115,0.030657921350622754,5062672.0,155211.0,9.839233149065013e-05
42,2017,116149720.7097,109784729.4777,405,18.570390612612155,-0.048944265759036654,18.514032001572687,-0.0519221915786936,0.0300603615291067,5124456.0,154043.0,-0.0005975598215160541
42,2018,114656091.94959098,107569287.40759099,416,18.557447701047064,-0.012942911565090753,18.49364573193325,-0.020386269639438126,0.0302059365276602,5193979.0,156889.0,0.0001455749985534993
42,2019,116109764.115743,109551852.58774301,430,18.57004654404263,0.012598842995565462,18.51190853475042,0.01826280281717274,0.030230305089859827,5249732.0,158701.0,2.4368562199627436e-05
42,2020,105247344.00193998,98658785.24394,439,18.471823795072392,-0.09822274897023675,18.407177841145312,-0.10473069360510934,0.031906335692279214,4829417.0,154089.0,0.0016760306024193872
42,2021,112442566.10371,105826513.49770999,448,18.537953125724666,0.06612933065227367,18.47731164616089,0.0701338050155762,0.03210845001643443,4998653.0,160499.0,0.00020211432415521285
42,2022,109385699.18706,102751545.76905999,451,18.51039071899671,-0.027562406727955846,18.44782445520858,-0.02948719095230956,0.03294565795451034,5210459.0,171662.0,0.0008372079380759151
42,2023,103605363.46332279,97118722.85932279,451,18.456099657331084,-0.05429106166562647,18.391444735058467,-0.05637972015011172,0.032056737749186826,5301444.0,169947.0,-0.0008889202053235165
44,2010,3642999.382,3612145.0500000007,12,15.10831790635028,,15.099812350520018,,,,,
44,2011,4086826.2679999997,3872839.926,13,15.223279253201506,0.11496134685122605,15.169498626891395,0.06968627637137637,,,,
44,2012,4013539.1320000007,3797319.1720000003,13,15.205183986599671,-0.01809526660183458,15.149805894675122,-0.019692732216272546,,,,
44,2013,3030877.2939999998,2819651.588,13,14.924362671551698,-0.28082131504797303,14.852123884926712,-0.2976820097484101,,,,
44,2014,2994200.05,2783195.362,13,14.912187658696824,-0.012175012854873657,14.839110236391347,-0.013013648535364908,,,,
44,2015,3299446.792,3091966.8619999997,13,15.009265373595877,0.09707771489905248,14.944317971296961,0.10520773490561375,0.03701910679271538,411058.0,15217.0,
44,2016,3029421.8,2833129.4099999997,13,14.923882334193621,-0.08538303940225589,14.856892457261083,-0.0874255140358784,0.03563620569001713,414410.0,14768.0,-0.0013829011026982516
44,2017,3389205.7730000005,3180329.887,13,15.036106166656818,0.11222383246319723,14.972495487426254,0.11560303016517182,0.031016969021308766,417997.0,12965.0,-0.004619236668708365
44,2018,3682040.8750000005,3484324.521,13,15.118977742017181,0.08287157536036283,15.063784758713144,0.09128927128688957,0.0316975960660744,421767.0,13369.0,0.0006806270447656318
44,2019,3361294.323,3157712.3489999995,13,15.02783667294164,-0.09114106907554032,14.965358383201984,-0.09842637551115985,0.03143868807968394,424477.0,13345.0,-0.0002589079863904581
44,2020,3634966.7860000003,3437689.1520000002,13,15.106110531631533,0.0782738586898919,15.050310045479451,0.08495166227746687,0.03324786258173628,384927.0,12798.0,0.0018091745020523409
44,2021,3831479.596,3629331.994,13,15.15876160404891,0.052651072417377875,15.104559165615136,0.05424912013568495,0.03482700280001187,404284.0,14080.0,0.0015791402182755918
44,2022,3158998.571,2969665.295,13,14.965765627425778,-0.1929959766231324,14.903959809142096,-0.20059935647303995,0.03487667738004461,420969.0,14682.0,4.967458003273667e-05
44,2023,4238399.6,4055670.624,13,15.259696303124702,0.29393067569892395,15.21562661385509,0.3116668047129938,0.03413621243015092,427171.0,14582.0,-0.0007404649498936877
