county_fips,state_fips,year,total_co2e,total_co2e_excl_petro_ng,n_facilities,log_emissions,d_log_emissions,log_emissions_excl_petro_ng,d_log_emissions_excl_petro_ng,tech_emp_share,emp_total,emp_tech,tech_emp_share_diff
21045,21,2022,111431.16,,1,11.621162280109862,-0.13980411218972932,,,0.004987531172069825,3208.0,16.0,-5.5015313905591896e-05
21045,21,2023,107551.408,,1,11.585724226195492,-0.035438053914370826,,,0.005151515151515152,3300.0,17.0,0.00016398397944532642
21047,21,2010,116925.852,116925.852,2,11.669295269289798,,11.669295269289798,,,,,
21047,21,2011,107175.07,107175.07,2,11.582218944603357,-0.087076324686441,11.582218944603357,-0.087076324686441,,,,
21047,21,2012,93524.48999999999,93524.48999999999,2,11.44597860611407,-0.13624033848928718,11.44597860611407,-0.13624033848928718,,,,
21047,21,2013,103450.35399999999,103450.35399999999,2,11.546847105110801,0.10086849899673211,11.546847105110801,0.10086849899673211,,,,
21047,21,2014,107230.19200000001,107230.19200000001,2,11.58273312975628,0.03588602464547819,11.58273312975628,0.03588602464547819,,,,
21047,21,2015,99885.822,99885.822,2,11.511783032642853,-0.07095009711342648,11.511783032642853,-0.07095009711342648,0.021627356565739,24506.0,530.0,
21047,21,2016,91908.04800000001,91908.04800000001,2,11.42854387795885,-0.08323915468400322,11.42854387795885,-0.08323915468400322,0.02220642355302777,23912.0,531.0,0.0005790669872887677
21047,21,2017,91256.95199999999,91256.95199999999,2,11.421434454844078,-0.007109423114771474,11.421434454844078,-0.007109423114771474,0.02283754391835369,23908.0,546.0,0.0006311203653259212
21047,21,2018,104740.802,104740.802,2,11.55924402485973,0.13780957001565142,11.55924402485973,0.13780957001565142,0.02269830173938073,24319.0,552.0,-0.0001392421789729592
21047,21,2019,113467.17,113467.17,2,11.639268822961105,0.08002479810137508,11.639268822961105,0.08002479810137508,0.02185680308373657,24386.0,533.0,-0.00084149865564416
21047,21,2020,110802.528,110802.528,2,11.615504868919519,-0.023763954041585933,11.615504868919519,-0.023763954041585933,0.01979943430187709,23334.0,462.0,-0.0020573687818594803
21047,21,2021,111807.22399999999,111807.22399999999,2,11.624531453000268,0.009026584080748634,11.624531453000268,0.009026584080748634,0.0183849585191979,23987.0,441.0,-0.0014144757826791907
21047,21,2022,116941.504,116941.504,2,11.669429122943347,0.04489766994307942,11.669429122943347,0.04489766994307942,0.017639022822243652,24888.0,439.0,-0.0007459356969542474
21047,21,2023,105457.25,105457.25,2,11.566060936507034,-0.10336818643631318,11.566060936507034,-0.10336818643631318,0.018187569191839316,25292.0,460.0,0.0005485463695956636
21049,21,2010,1289387.044,1289387.044,2,14.069677503723794,,14.069677503723794,,,,,
21049,21,2011,1194241.774,1194241.774,3,13.993022043223462,-0.07665546050033178,13.993022043223462,-0.07665546050033178,,,,
21049,21,2012,837842.932,837842.932,3,13.638585929915743,-0.3544361133077185,13.638585929915743,-0.3544361133077185,,,,
21049,21,2013,384886.99399999995,384886.99399999995,3,12.860705048105963,-0.7778808818097804,12.860705048105963,-0.7778808818097804,,,,
21049,21,2014,352291.844,352291.844,3,12.772215213337532,-0.08848983476843131,12.772215213337532,-0.08848983476843131,,,,
21049,21,2015,299803.436,299803.436,3,12.61088232555894,-0.16133288777859178,12.61088232555894,-0.16133288777859178,0.04266088214027477,12447.0,531.0,
21049,21,2016,167749.116,167749.116,3,12.030224785073397,-0.580657540485543,12.030224785073397,-0.580657540485543,0.031107680432265535,12955.0,403.0,-0.011553201708009234
21049,21,2017,131898.128,131898.128,3,11.789785146034562,-0.24043963903883458,11.789785146034562,-0.24043963903883458,0.03278563240351547,13085.0,429.0,0.0016779519712499386
21049,21,2018,271304.40400000004,271304.40400000004,3,12.51099673146772,0.7212115854331582,12.51099673146772,0.7212115854331582,0.030201342281879196,13112.0,396.0,-0.002584290121636277
21049,21,2019,243935.232,243935.232,3,12.404658026416259,-0.1063387050514617,12.404658026416259,-0.1063387050514617,0.025481617929234784,13029.0,332.0,-0.004719724352644412
21049,21,2020,212314.176,212314.176,3,12.26582241889592,-0.1388356075203383,12.26582241889592,-0.1388356075203383,0.028601694915254237,12272.0,351.0,0.003120076986019453
21049,21,2021,384804.08759999997,384804.08759999997,3,12.860489620378392,0.594667201482471,12.860489620378392,0.594667201482471,0.03265589716866423,11514.0,376.0,0.004054202253409994
21049,21,2022,489497.5088,489497.5088,3,13.101134651664982,0.24064503128658998,13.101134651664982,0.24064503128658998,0.03644103873988931,11745.0,428.0,0.00378514157122508
21049,21,2023,284980.92600000004,284980.92600000004,3,12.560177530695332,-0.5409571209696491,12.560177530695332,-0.5409571209696491,0.029281579843377595,11748.0,344.0,-0.007159458896511716
21059,21,2010,2876448.554,2876448.554,4,14.872066950195945,,14.872066950195945,,,,,
