model,target,n,G_clusters,coef,se_cluster,t_stat,ci_lo,ci_hi,p_naive_z,p_t_Gminus1,p_wild_bootstrap,dropped_state_fips
C1 drop 26,tech_emp_share,14539,52,-0.0472979741338555,0.13561488554953868,-0.34876683294901323,-0.31955621737634893,0.22496026910863792,0.7272643652268269,0.7287001418020416,,26
C1 drop 27,tech_emp_share,14582,52,-0.09338196220993802,0.12592580966986566,-0.7415633256975162,-0.3461885739670413,0.1594246495471652,0.4583519506716738,0.461753279433043,,27
C1 drop 28,tech_emp_share,14702,52,-0.041478899894716474,0.13596575665587898,-0.3050687240295145,-0.3144415462757715,0.23148374648633852,0.7603138110801533,0.7615553939247115,,28
C1 drop 29,tech_emp_share,14648,52,-0.03856102062171354,0.13624849816259998,-0.2830197847443025,-0.3120912942628563,0.2349692530194292,0.777161670753999,0.7783072892450347,,29
C1 drop 30,tech_emp_share,14901,52,-0.054911145897029036,0.1339167611844674,-0.41003938126453143,-0.32376026222422755,0.21393797043016946,0.6817770591265266,0.6834944584160239,,30
C1 drop 31,tech_emp_share,14779,52,-0.06228131804489695,0.13401941506731438,-0.4647186231458681,-0.3313365206412589,0.206773884551465,0.6421329701077607,0.6441109599988328,,31
C1 drop 32,tech_emp_share,14980,52,-0.05603736592705664,0.13343045785114224,-0.41997432092733333,-0.32391018757482104,0.21183545572070775,0.6745042130110837,0.6762683153491285,,32
C1 drop 33,tech_emp_share,14981,52,-0.054107842775723294,0.13399460623339465,-0.40380612546058087,-0.3231132395597475,0.21489755400830096,0.6863552917343958,0.6880435371127307,,33
C1 drop 34,tech_emp_share,14850,52,-0.07006313222258265,0.13381128882138218,-0.5235965727533372,-0.3387005039454344,0.1985742395002691,0.6005591657688893,0.6028270852372324,,34
C1 drop 35,tech_emp_share,14874,52,-0.0586050069772432,0.1335659869557511,-0.4387719382230027,-0.3267499146558257,0.20953990070133932,0.6608267954605993,0.6626800518718672,,35
C1 drop 36,tech_emp_share,14553,52,-0.017749439590172937,0.13494386611804918,-0.13153202217169094,-0.2886605551124415,0.2531616759320956,0.8953544565876959,0.8958719796418659,,36
C1 drop 37,tech_emp_share,14596,52,-0.06537350178751072,0.13514588852828235,-0.48372542072435915,-0.33669019422180346,0.20594319064678202,0.6285807497290554,0.6306513139907426,,37
C1 drop 38,tech_emp_share,14894,52,-0.05294841544366422,0.13420595532510368,-0.3945310423475674,-0.3223781132340745,0.21648128234674605,0.6931890133951413,0.6948340893787694,,38
C1 drop 39,tech_emp_share,14404,52,-0.048594127652133244,0.13717050071843892,-0.35426077325385935,-0.3239753986605679,0.22678714335630143,0.7231434623248258,0.7246040412871777,,39
C1 drop 40,tech_emp_share,14655,52,-0.055712263090121214,0.13449265486793213,-0.4142401913682872,-0.32571753422967087,0.2142930080494284,0.6786982101329071,0.6804353216497336,,40
C1 drop 41,tech_emp_share,14847,52,-0.05104240174397974,0.1347382756711802,-0.37882629482765035,-0.32154077722178215,0.2194559737338227,0.7048168597286646,0.7063894181604673,,41
C1 drop 42,tech_emp_share,14485,52,-0.03688297144604652,0.1373264902226512,-0.2685787089311549,-0.3125774044514774,0.23881146155938437,0.7882538982746725,0.7893373687180723,,42
C1 drop 44,tech_emp_share,15003,52,-0.05660137273163791,0.13346215055785737,-0.42410055955977244,-0.32453782014304094,0.21133507467976514,0.6714924774436632,0.6732760617092648,,44
C1 drop 45,tech_emp_share,14801,52,-0.049044566004812495,0.13607274553137033,-0.36042901767941266,-0.32222200151590824,0.22413286950628325,0.7185263298275322,0.7200148600431895,,45
C1 drop 46,tech_emp_share,14856,52,-0.0604578428006303,0.1332606050715989,-0.45368128689005444,-0.3279896707648404,0.2070739851635798,0.650058237606397,0.6519829331327074,,46
C1 drop 47,tech_emp_share,14599,52,-0.0674482214800916,0.13302601993088078,-0.5070302901277294,-0.3345091001230388,0.1996126571628556,0.6121335655650837,0.6143189796769197,,47
C1 drop 48,tech_emp_share,13893,52,-0.07257407978419864,0.1388006408234814,-0.5228655959628755,-0.35122799361085755,0.2060798340424603,0.6010677876916648,0.6033320519719263,,48
C1 drop 49,tech_emp_share,14908,52,-0.07322298837430657,0.13289598502573224,-0.5509796880630263,-0.34002281105210297,0.19357683430348982,0.5816475986840264,0.5840533834820167,,49
C1 drop 50,tech_emp_share,14985,52,-0.05268898216402305,0.13403168208991503,-0.39310841543178343,-0.3217688118358682,0.2163908475078221,0.6942394088216484,0.6958778858241597,,50
C1 drop 51,tech_emp_share,14413,52,-0.0020800595381432786,0.16191704782276753,-0.012846451723972184,-0.3271420968845844,0.32298197780829785,0.9897502964294735,0.9898004194273418,,51
C1 drop 53,tech_emp_share,14828,52,-0.06716886086571833,0.135931902516707,-0.4941361050799888,-0.34006354222641366,0.205725820494977,0.6212100607492583,0.6233317510343559,,53
C1 drop 54,tech_emp_share,14729,52,-0.07351675233979597,0.1322860443831962,-0.5557408015530211,-0.339092068082781,0.192058563403189,0.5783880596683295,0.5808179954408756,,54
C1 drop 55,tech_emp_share,14642,52,-0.09196546292765218,0.1274127378283961,-0.7217917493580152,-0.34775720752344674,0.1638262816681424,0.4704225228325878,0.47371896605817376,,55
C1 drop 56,tech_emp_share,14878,52,-0.10191393547307268,0.12162908935380216,-0.8379075763415376,-0.3460945212580605,0.14226665031191518,0.4020826133383393,0.40599242243837175,,56
C1 drop 72,tech_emp_share,14917,52,-0.05758379319470992,0.13531791073285818,-0.42554450392299253,-0.32924583461504303,0.2140782482256232,0.6704397861786691,0.6722301997344311,,72
C1 drop 78,tech_emp_share,15024,52,-0.057616411605566735,0.13326910715142917,-0.432331339476141,-0.32516530820725803,0.20993248499612455,0.6655006127322387,0.667323206728506,,78
