model,target,n,G_clusters,coef,se_cluster,t_stat,ci_lo,ci_hi,p_naive_z,p_t_Gminus1,p_wild_bootstrap,dropped_state_fips
S1 drop 24,tech_emp_share,468,52,-0.03670115587569761,0.163661564395929,-0.22425030587456937,-0.36526545638146474,0.2918631446300695,0.8225625416291471,0.8234585267913217,,24
S1 drop 25,tech_emp_share,468,52,-0.04740448858528136,0.1701746293488998,-0.2785637833715537,-0.3890443125856455,0.2942353354150828,0.7805796095663866,0.7817059929086212,,25
S1 drop 26,tech_emp_share,468,52,-0.09360467888590487,0.17562446389206682,-0.5329820049639059,-0.4461855022660378,0.258976144494228,0.5940460370849667,0.5963610053969308,,26
S1 drop 27,tech_emp_share,468,52,-0.09319938191787122,0.17446474652103325,-0.5342018016610319,-0.44345197552576376,0.2570532116900214,0.5932019227735337,0.5955230217598735,,27
S1 drop 28,tech_emp_share,468,52,-0.03924222578416026,0.1681344911262303,-0.23339783242153678,-0.37678630139949215,0.29830184983117164,0.8154524961801239,0.8163867815981998,,28
S1 drop 29,tech_emp_share,468,52,-0.0901780756580098,0.1738959491324812,-0.5185749070515057,-0.4392887608600472,0.25893260954402764,0.6040572113235032,0.6063000474526263,,29
S1 drop 30,tech_emp_share,468,52,-0.08752081337873437,0.1755559831921418,-0.498535064355767,-0.4399641560171179,0.2649225292596492,0.6181069610401435,0.6202503417998164,,30
S1 drop 31,tech_emp_share,468,52,-0.09255827849431364,0.17470920985770014,-0.5297847696163352,-0.44330165272933586,0.2581850957407086,0.5962611661535693,0.5985600824519353,,31
S1 drop 32,tech_emp_share,468,52,-0.0890874565750142,0.17893511076981924,-0.49787577290862506,-0.44831468089616966,0.27013976774614123,0.618571604336946,0.6207117309666401,,32
S1 drop 33,tech_emp_share,468,52,-0.08399201490857094,0.17385352424009642,-0.48311942640044325,-0.4330175285851993,0.26503349876805743,0.6290109413051959,0.6310785386355588,,33
S1 drop 34,tech_emp_share,468,52,-0.09093557361952652,0.1744830467443839,-0.5211713992634844,-0.44122490645881096,0.2593537592197579,0.6022473761449678,0.6045031738887054,,34
S1 drop 35,tech_emp_share,468,52,-0.1287556257478603,0.17304927785694726,-0.7440402372224707,-0.4761665474383432,0.2186552959426226,0.4568521327416746,0.46026660245129536,,35
S1 drop 36,tech_emp_share,468,52,-0.11069127202258311,0.17867617101881395,-0.6195077462843533,-0.4693986531021307,0.24801610905696447,0.5355819204403376,0.538339860144561,,36
S1 drop 37,tech_emp_share,468,52,-0.089376829623692,0.17361742862420332,-0.514791805937577,-0.4379283615736106,0.25917470232622664,0.6066985119003181,0.6089224935054225,,37
S1 drop 38,tech_emp_share,468,52,-0.07977819461913235,0.17546424785473788,-0.4546692308804616,-0.43203737088297933,0.2724809816447147,0.6493472201094312,0.6512766719051386,,38
S1 drop 39,tech_emp_share,468,52,-0.09559193761992445,0.17558268005272348,-0.5444269195072109,-0.4480888764423302,0.2569050012024813,0.5861477255151293,0.5885203564190276,,39
S1 drop 40,tech_emp_share,468,52,-0.1064136475835777,0.17768333474930806,-0.5988949258168518,-0.46312782668188435,0.250300531514729,0.5492429553739608,0.5518940100520404,,40
