freq,unit,inet_tec,terrtypo,geo,time,value
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CY,2025,87.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CZ,2022,2.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CZ,2023,4.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CZ,2024,8.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,CZ,2025,14.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DE,2022,2.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DE,2023,4.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DE,2024,6.7
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DE,2025,8.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DK,2022,21.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DK,2023,24.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DK,2024,27.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,DK,2025,28.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EE,2022,6.7
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EE,2023,40.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EE,2024,49.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EE,2025,57.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EL,2022,4.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EL,2023,6.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EL,2024,41.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,EL,2025,64.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,ES,2022,1.9
A,PC_HH,5G_GHZ3P4-3P8,DEG3,ES,2023,10.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,ES,2024,22.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,ES,2025,63.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FI,2022,30.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FI,2023,50.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FI,2024,58.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FI,2025,63.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FR,2022,6.2
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FR,2023,15.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FR,2024,24.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,FR,2025,31.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HR,2022,5.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HR,2023,8.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HR,2024,8.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HR,2025,13.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HU,2022,2.0
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HU,2023,3.1
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HU,2024,6.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,HU,2025,12.6
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IE,2022,8.8
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IE,2023,10.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IE,2024,18.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IE,2025,22.5
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IT,2022,53.3
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IT,2023,68.9
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IT,2024,74.4
A,PC_HH,5G_GHZ3P4-3P8,DEG3,IT,2025,94.1
